protocol_id,query_id,task,operation,hypothesis,alternatives,material_basis,reference_label,group_foil,input_prompt_status,position_control,runtime_pending
EA-3169-hate-v1,3169,hate,single_demo_removal_dictionary_fixed,在词典内容完全固定时移除同形异义示例 3660，检验该示例包对错误方向分数的增量作用。,"[""length_and_position"",""demo_label_count_change"",""demo_numbering_change""]","[{""frozen_record_sha256"":""bf1f88ad0375915b0f5ab377c5ef12b98fe8cdbdcbd899478e15415c00588a8b"",""record_id"":""demo:3660""},{""frozen_record_sha256"":""1743f984c4249b028960087eeb23a0ef230687e8677932c5af7cfc0c066e55e3"",""record_id"":""relation:3169:3660""},{""frozen_record_sha256"":""9e82dab23b3bf5be145d7fc2addfcbc250329ff8328c751006ad47c527146eea"",""record_id"":""definition:lex-0419:sense:01""}]",non-hate,null,text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-3169-group-v1,3169,group,single_demo_removal_dictionary_fixed,在词典内容完全固定时移除同形异义示例 3660，检验该示例包对错误方向分数的增量作用。,"[""length_and_position"",""demo_label_count_change"",""demo_numbering_change""]","[{""frozen_record_sha256"":""bf1f88ad0375915b0f5ab377c5ef12b98fe8cdbdcbd899478e15415c00588a8b"",""record_id"":""demo:3660""},{""frozen_record_sha256"":""1743f984c4249b028960087eeb23a0ef230687e8677932c5af7cfc0c066e55e3"",""record_id"":""relation:3169:3660""},{""frozen_record_sha256"":""9e82dab23b3bf5be145d7fc2addfcbc250329ff8328c751006ad47c527146eea"",""record_id"":""definition:lex-0419:sense:01""}]",[],"{""fixed_across_new_arms"":true,""labels"":[""Racism""],""ordinal"":1,""selection"":""best_non_reviewed_candidate_in_frozen_SD; canonical_tie_order"",""source_prompt_sha256"":""27e40eb37b581d71c889d47c95eca669c19f9c15e70a1566879cd6e6399033c8""}",text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-5086-hate-v1,5086,hate,related_demo_source_factor,关联示例 7248 与其独有 txl 词条的增量作用可能不同，分别检验并报告双向或无效结果。,"[""demo_label_count_change"",""length_and_position"",""shared_topic_and_rule_information""]","[{""frozen_record_sha256"":""629dee7b4182efa68e7f438168f38e42e24a7ac1f450f1c049cd4766af5be51f"",""record_id"":""demo:7248""},{""frozen_record_sha256"":""6536a0055b2ed81dddae3ffe366ff858f309bbcc641020f965dfcce2c1c56bb2"",""record_id"":""relation:5086:7248""},{""frozen_record_sha256"":""da39ca9c2f0f1cb263fbdc3f20174a8eba2e366fce7f5c992020c98e3ea624de"",""record_id"":""definition:lex-0073:sense:01""}]",hate,null,text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-5086-group-v1,5086,group,single_demo_answer_reference_change,仅替换指定示例的任务答案，测量其对查询候选分数和集合预测的总效应；不预设改善。,"[""label_prior_change"",""answer_length_and_position"",""policy_definition_difference""]","[{""frozen_record_sha256"":""5a2853bde4228d3732044e01eb93beab4a88e480e007cc5b13913ee77e87cda6"",""record_id"":""demo:127""},{""frozen_record_sha256"":""e5d36f38387773c1fa9e695f583b64f6775828feac888fafd2860d835b7864ee"",""record_id"":""relation:5086:127""}]","[""LGBTQ""]","{""fixed_across_new_arms"":true,""labels"":[""LGBTQ"",""others""],""ordinal"":20,""selection"":""best_non_reviewed_candidate_in_frozen_SD; canonical_tie_order"",""source_prompt_sha256"":""c41d07b720126238771ee2fbddbeda14f2d74f54805459553b4798ad3c20e049""}",text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-541-hate-v1,541,hate,single_demo_removal_dictionary_fixed,固定词典后移除已确认规则直接相关的示例 826，检验其对 non-hate 支持分数的贡献。,"[""length_and_position"",""demo_label_count_change"",""demo_numbering_change""]","[{""frozen_record_sha256"":""96de360569b475e30984f78894a796b0e87ba1998d4bb112cded29c100c151ca"",""record_id"":""demo:826""},{""frozen_record_sha256"":""45b2e1bc88a717e3dcf30b9cd864af0210104ec0cd58c98e5577f72de5c777d7"",""record_id"":""relation:541:826""}]",non-hate,null,text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-541-group-v1,541,group,single_demo_answer_reference_change,仅替换指定示例的任务答案，测量其对查询候选分数和集合预测的总效应；不预设改善。,"[""label_prior_change"",""answer_length_and_position"",""policy_definition_difference""]","[{""frozen_record_sha256"":""96de360569b475e30984f78894a796b0e87ba1998d4bb112cded29c100c151ca"",""record_id"":""demo:826""},{""frozen_record_sha256"":""45b2e1bc88a717e3dcf30b9cd864af0210104ec0cd58c98e5577f72de5c777d7"",""record_id"":""relation:541:826""}]","[""LGBTQ"",""Sexism""]","{""fixed_across_new_arms"":true,""labels"":[""LGBTQ""],""ordinal"":4,""selection"":""best_non_reviewed_candidate_in_frozen_SD; canonical_tie_order"",""source_prompt_sha256"":""37fd736418e0354c0b37a3d965263a51221e9d9d26e5a62e135a95a0d7e55cf6""}",text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-6037-hate-v1,6037,hate,single_source_edge_mask,屏蔽已确认的法国女性→国女误命中边，检验该词条在原示例包背景下的增量作用。,"[""length_and_position"",""definition_information_amount"",""unchanged_demo_answer_background""]","[{""frozen_record_sha256"":""660ca9cfd8ab415eeabf67b5615e5a0b17c45205c945bec7371012f642be1f54"",""record_id"":""hit:6037:demo:5230:lex-0069:sense:01:32:34""},{""frozen_record_sha256"":""797d71885892f8d255809b1a5629aa3382ec578c95d1c5797591f789bc6fa1e3"",""record_id"":""definition:lex-0069:sense:01""},{""frozen_record_sha256"":""e779a130e4ac6f24ddfbabf63b1efaceb5abbacdc23fe058d734b0a9257de5ef"",""record_id"":""demo:5230""}]",hate,null,text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-6037-group-v1,6037,group,single_source_edge_mask,屏蔽已确认的法国女性→国女误命中边，检验该词条在原示例包背景下的增量作用。,"[""length_and_position"",""definition_information_amount"",""unchanged_demo_answer_background""]","[{""frozen_record_sha256"":""660ca9cfd8ab415eeabf67b5615e5a0b17c45205c945bec7371012f642be1f54"",""record_id"":""hit:6037:demo:5230:lex-0069:sense:01:32:34""},{""frozen_record_sha256"":""797d71885892f8d255809b1a5629aa3382ec578c95d1c5797591f789bc6fa1e3"",""record_id"":""definition:lex-0069:sense:01""},{""frozen_record_sha256"":""e779a130e4ac6f24ddfbabf63b1efaceb5abbacdc23fe058d734b0a9257de5ef"",""record_id"":""demo:5230""}]","[""Sexism""]","{""fixed_across_new_arms"":true,""labels"":[],""ordinal"":0,""selection"":""best_non_reviewed_candidate_in_frozen_SD; canonical_tie_order"",""source_prompt_sha256"":""582f36433317f733b8640b9138d56cabe89980d180c2b22b56e1e49eac3815c2""}",text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-1128-hate-v1,1128,hate,single_demo_removal_dictionary_fixed,对稳定正确案例施加相同的一条示例删除操作，记录一般扰动及方向变化。,"[""length_and_position"",""demo_label_count_change"",""demo_numbering_change""]","[{""frozen_record_sha256"":""8053fadd2e0c01bc66ecfeed9d3483b20bf51e62600a7d039210bf71c3aa0e91"",""record_id"":""demo:387""},{""frozen_record_sha256"":""1e73569a3a5cc8068137b48ac4f3ed16a106af5c849624993202e3328b710b84"",""record_id"":""relation:1128:387""}]",non-hate,null,text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
EA-1128-group-v1,1128,group,single_demo_removal_dictionary_fixed,对稳定正确案例施加相同的一条示例删除操作，记录一般扰动及方向变化。,"[""length_and_position"",""demo_label_count_change"",""demo_numbering_change""]","[{""frozen_record_sha256"":""8053fadd2e0c01bc66ecfeed9d3483b20bf51e62600a7d039210bf71c3aa0e91"",""record_id"":""demo:387""},{""frozen_record_sha256"":""1e73569a3a5cc8068137b48ac4f3ed16a106af5c849624993202e3328b710b84"",""record_id"":""relation:1128:387""}]",[],"{""fixed_across_new_arms"":true,""labels"":[""Sexism""],""ordinal"":8,""selection"":""best_non_reviewed_candidate_in_frozen_SD; canonical_tie_order"",""source_prompt_sha256"":""05551f3ec1410017bda3cf8d11eb0ad12510a4357c821ba042785f71e0adb0bb""}",text_and_tokens_verified,natural_edit_only,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run""]"
