group,module,layer,role,view,direction,surface,recipient_margin,recipient_label,recipient_resolved,donor_under_estimand_margin,donor_under_estimand_label,donor_under_estimand_resolved,patched_margin,patched_label,patched_resolved,matches_donor_under_estimand_label,changed_recipient_label
F1:O-N1,attention,35,pre_answer,original/answer_sum,R,A,-0.517822265625,hate,True,13.309013366699219,non-hate,True,-0.02687835693359375,hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/answer_sum,R,H,0.0672607421875,non-hate,True,13.29477310180664,non-hate,True,0.7376213073730469,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/answer_sum,K,A,13.309013366699219,non-hate,True,-0.517822265625,hate,True,12.359413146972656,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/answer_sum,K,H,13.29477310180664,non-hate,True,0.0672607421875,non-hate,True,12.167999267578125,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/answer_mean,R,A,-0.03392588297526042,hate,True,4.436339823404948,non-hate,True,0.0953389485677083,non-hate,True,True,True
F1:O-N1,attention,35,pre_answer,original/answer_mean,R,H,0.11689097086588543,non-hate,True,4.4315945943196615,non-hate,True,0.3069201151529948,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/answer_mean,K,A,4.436339823404948,non-hate,True,-0.03392588297526042,hate,True,4.119807434082031,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/answer_mean,K,H,4.4315945943196615,non-hate,True,0.11689097086588543,non-hate,True,4.056004333496094,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/total_with_eos,R,A,-0.517822265625,hate,True,13.309013366699219,non-hate,True,-0.02687835693359375,hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/total_with_eos,R,H,0.0672607421875,non-hate,True,13.29477310180664,non-hate,True,0.7376213073730469,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/total_with_eos,K,A,13.309013366699219,non-hate,True,-0.517822265625,hate,True,12.359413146972656,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/total_with_eos,K,H,13.29477310180664,non-hate,True,0.0672607421875,non-hate,True,12.167999267578125,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/mean_with_eos,R,A,-0.04277960459391275,hate,True,3.32725461324056,non-hate,True,0.05846691131591797,non-hate,True,True,True
F1:O-N1,attention,35,pre_answer,original/mean_with_eos,R,H,0.07585938771565755,non-hate,True,3.323695500691732,non-hate,True,0.22255929311116535,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,original/mean_with_eos,K,A,3.32725461324056,non-hate,True,-0.04277960459391275,hate,True,3.089855194091797,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,original/mean_with_eos,K,H,3.323695500691732,non-hate,True,0.07585938771565755,non-hate,True,3.0420026779174805,non-hate,True,True,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_sum,R,A,-8.204593658447266,hate,True,14.717096328735352,non-hate,True,-8.250106811523438,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_sum,R,H,-7.286907196044922,hate,True,13.344139099121094,non-hate,True,-7.350276947021484,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_sum,K,A,14.717096328735352,non-hate,True,-8.204593658447266,hate,True,13.9945068359375,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_sum,K,H,13.344139099121094,non-hate,True,-7.286907196044922,hate,True,12.591056823730469,non-hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_mean,R,A,-4.102296829223633,hate,True,7.358548164367676,non-hate,True,-4.125053405761719,hate,True,False,False
F1:O-N1,attention,35,pre_answer,ab_forward/answer_mean,R,H,-3.643453598022461,hate,True,6.672069549560547,non-hate,True,-3.675138473510742,hate,True,False,False
