material_id	text	ai_label	ai_severity	ai_rationale	human_label	human_severity	human_text_adoption
CMAD-HP-Q1	这束花太高了，得换个深一点的花瓶。	无	0	评价插花器物是否合用，没有针对人的贬损或伤害主张。			
CMAD-HP-Q2	客厅那个花瓶裂了，先别往里面倒水。	无	0	描述实际器物状态并提醒停止倒水，没有作者认可的人身攻击。			
CMAD-HP-Q3	你除了长得好看还有什么用？就是个花瓶。	有	2	当前作者直接以花瓶贬低对方的能力和作用，不只是讨论工作行为。			
CMAD-HP-Q4	她在组里就是个花瓶，什么活都干不了。	有	2	当前作者认可对人的贬称并概括其没有能力。			
CMAD-HP-D-L-P	你嘴怎么这么贱？我只是把客厅的花瓶搬到柜子上，你就到处说我偷东西。	有	2	花瓶是被搬放的实物；作者另行直接辱骂听者嘴贱，二元答案为有。			
CMAD-HP-D-L-A	你嘴怎么这么贱？我只是把客厅里插花用的瓶子搬到柜子上，你就到处说我偷东西。	有	2	以可见描述指插花器物，未出现完整词形花瓶；独立辱骂保留。			
CMAD-HP-D-F-P	你嘴怎么这么贱？她有自己的成绩，你却到处说她是个花瓶。	有	2	花瓶是被反对的对人贬称；作者同时独立辱骂听者，所以仍为有。			
CMAD-HP-D-F-A	你嘴怎么这么贱？她有自己的成绩，你却到处说她只有长相、没什么真本事。	有	2	以可见描述表达只有外表缺乏能力的评价，作者反对该评价但保留独立辱骂。			
CMAD-HP-D-ANCHOR	雨停了我再去取快递，你不用等我。	无	0	只说明日常安排，没有人身贬损或伤害主张。			
CMAD-HP-L1	花瓶：用来插花或摆放花枝的瓶状器物，通常作为室内陈设。			AI建议释义正确；普通义／比喻义边界待审核。			
CMAD-HP-L2	花瓶：用来贬低一个人，指其只有好看的外表，却缺乏实际能力或作用。			AI建议释义正确；普通义／比喻义边界待审核。			
CMAD-HP-N	花瓶：这个词由“花”和“瓶”两个汉字组成，书写时按这两个字的顺序排列。			词形与资料格式对照；不宣称心理中性、严格长度匹配或提供查询义项。			
CMAD-XC-Q1	生日会上，小丑正在给孩子们拧气球。	无	0	正常称述表演角色和活动；提到人或职业不构成攻击。			
CMAD-XC-Q2	游乐园新来的小丑一出场，孩子们就围了过去。	无	0	描述演员出场及观众反应，没有贬损。			
CMAD-XC-Q3	你还真把自己当回事了？在大家眼里就是个小丑。	有	1	当前作者以小丑轻蔑地嘲讽对方；建议1级，若审核为2级也仍对应有。			
CMAD-XC-Q4	别再出来丢人了，你就是个自以为是的小丑。	有	2	当前作者直接贬损对方的人格和言行；1／2级边界需审核，二元答案均为有。			
CMAD-XC-D-L-P	小丑在台上给孩子们表演，你就在台下故意起哄捣乱，你这人真他妈缺德。	有	2	小丑是正常表演者；作者独立以缺德贬损听者，不仅批评行为。			
CMAD-XC-D-L-A	那个涂着花脸的滑稽演员在台上给孩子们表演，你就在台下故意起哄捣乱，你这人真他妈缺德。	有	2	可见描述提供实际滑稽表演角色信息，未出现小丑；独立辱骂保留。			
CMAD-XC-D-F-P	人家在台上认真发言，你就在台下喊他小丑，你这人真他妈缺德。	有	2	小丑是被反对的嘲讽性称呼；作者同时独立贬损听者。			
CMAD-XC-D-F-A	人家在台上认真发言，你就在台下喊他是个自以为是、惹人笑话的家伙，你这人真他妈缺德。	有	2	以可见描述表达嘲讽人的意义；作者反对这项嘲讽，但另行辱骂听者。			
CMAD-XC-D-ANCHOR	活动改到周六下午了，已经买的票还可以用。	无	0	说明活动安排和票务效力，没有人身贬损或伤害主张。			
CMAD-XC-L1	小丑：以滑稽的装扮和表演逗人发笑的角色或演员。			AI建议释义正确；普通义／比喻义边界待审核。			
CMAD-XC-L2	小丑：用来嘲讽一个人，指其言行可笑、爱出风头或自以为是。			AI建议释义正确；普通义／比喻义边界待审核。			
CMAD-XC-N	小丑：这个词由“小”和“丑”两个汉字组成，书写时按这两个字的顺序排列。			词形与资料格式对照；不宣称心理中性、严格长度匹配或提供查询义项。			
