query_id,task,reference_eligible,original_label,reviewed_label,query_material_label,original_status,core_order,original_mask,reviewed_mask,mask_changed,original_flags,reviewed_flags,original_bucket,input_control_eligible,explanation_status
3683,hate,True,hate,non-hate,null,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,1100,True,[],"[""SD_loses_S_correctness""]",H_rescue,False,behavior_description_only
541,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",H_rescue,False,behavior_description_only
4615,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,0011,False,[],[],H_rescue,False,behavior_description_only
7903,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,1111,False,"[""stable_correct"",""S_and_D_each_correct""]","[""stable_correct"",""S_and_D_each_correct""]",H_rescue,False,behavior_description_only
5086,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,0110,False,"[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]","[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]",H_residual,False,behavior_description_only
3169,hate,True,non-hate,non-hate,non-hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1110,False,"[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]","[""S_and_D_each_correct"",""SD_loses_D_correctness"",""SD_loses_S_correctness""]",H_residual,False,behavior_description_only
1160,hate,True,hate,non-hate,non-hate,suspected_error,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,1101,True,"[""SD_loses_D_correctness""]","[""SD_gains_over_D""]",H_residual,False,behavior_description_only
3898,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",H_residual,False,behavior_description_only
61,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,1010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",H_removal_harm,False,behavior_description_only
5423,hate,True,hate,hate,hate,accepted,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,0010,False,"[""SD_loses_D_correctness""]","[""SD_loses_D_correctness""]",H_removal_harm,False,behavior_description_only
