job_id	query_id	condition	native_m	upstream_m	restored_m	upstream_delta_m	remaining_delta_m	removed_delta_m	removed_fraction	absolute_effect_reduced	absolute_effect_increased	upstream_prediction	restored_prediction
J05-D01-restore-L26-attention	J05	restore-L26-attention	9.07918930053711	14.103252410888672	13.85186767578125	5.0240631103515625	4.772678375244141	0.2513847351074219	0.0500361419802768	True	False	无	无
J05-D02-restore-L26-attention	J05	restore-L26-attention	25.239273071289062	24.0969181060791	24.203580856323242	-1.142354965209961	-1.0356922149658203	-0.10666275024414062	0.0933709341601508	True	False	无	无
J06-D01-restore-L26-attention	J06	restore-L26-attention	7.141300201416016	12.296089172363281	11.82784652709961	5.154788970947266	4.686546325683594	0.4682426452636719	0.09083643344135302	True	False	无	无
J06-D02-restore-L26-attention	J06	restore-L26-attention	27.44451141357422	25.020395278930664	25.13196563720703	-2.4241161346435547	-2.3125457763671875	-0.11157035827636719	0.046025170445380764	True	False	无	无
J07-D01-restore-L26-attention	J07	restore-L26-attention	-18.999263763427734	-18.654701232910156	-18.64311981201172	0.3445625305175781	0.3561439514160156	-0.0115814208984375	-0.03361195682258511	False	True	有	有
J07-D02-restore-L26-attention	J07	restore-L26-attention	-17.337478637695312	-18.064712524414062	-17.887035369873047	-0.72723388671875	-0.5495567321777344	-0.17767715454101562	0.24431913554343265	True	False	有	有
J08-D01-restore-L26-attention	J08	restore-L26-attention	-11.271629333496094	-11.759723663330078	-11.575874328613281	-0.4880943298339844	-0.3042449951171875	-0.18384933471679688	0.3766676305773304	True	False	有	有
J08-D02-restore-L26-attention	J08	restore-L26-attention	-12.461105346679688	-11.449455261230469	-11.826148986816406	1.0116500854492188	0.6349563598632812	0.3766937255859375	0.37235574928921034	True	False	有	有
J09-D01-restore-L26-attention	J09	restore-L26-attention	-23.253013610839844	-22.957263946533203	-22.97079086303711	0.2957496643066406	0.2822227478027344	0.01352691650390625	0.045737723948457994	True	False	有	有
J09-D02-restore-L26-attention	J09	restore-L26-attention	-21.13751220703125	-21.586669921875	-21.507423400878906	-0.44915771484375	-0.36991119384765625	-0.07924652099609375	0.17643361869819268	True	False	有	有
J10-D01-restore-L26-attention	J10	restore-L26-attention	-21.369144439697266	-21.417369842529297	-21.427448272705078	-0.04822540283203125	-0.0583038330078125	0.01007843017578125	-0.2089859199493751	False	True	有	有
J10-D02-restore-L26-attention	J10	restore-L26-attention	-19.336795806884766	-19.218795776367188	-19.200218200683594	0.11800003051757812	0.13657760620117188	-0.01857757568359375	-0.1574370413474283	False	True	有	有
