object_id,term,original_definition,definition_verdict,verdict_provenance,assessment_status,adopted_definition,rewrite_instruction,ai_suggested_definition,instruction_applied_definition_ai
definition:lex-0090:sense:01,女拳,'女拳'是'女权'的中文谐音，常用于对中国女权主义者的贬义表达。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0117:sense:01,地域黑,即地域歧视，是由于认知群体对某一地区的认知性偏差所造成的刻板印象导致的社会行为。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0327:sense:01,它们,通常用于指称非人的多个事物。在明确指人且伴随动物化等贬损的语境中，可能有贬低或去人格化作用；不能仅凭代词形式认定目标或贬损性质。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0112:sense:01,基佬,'基'同粤语中'gay'的发音，对男同性恋群体的侮辱性表达。,other_problem,human_with_ai,human_answered,源自 gay 的粤语音译，指男同性恋者；可带贬损或调侃色彩，也可用于自称。是否构成攻击须结合语境。,,源自 gay 的粤语音译，指男同性恋者；可带贬损或调侃色彩，也可用于自称。是否构成攻击须结合语境。,
definition:lex-0037:sense:01,幕刃,'幕刃'是'母人'的中文谐音，是对女性群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0068:sense:01,国男,“中国男性”的网络简称，在部分性别争论中带有概括、嘲讽或贬损意味；不等同于“中国男人”等普通完整表达中的任意两字片段，也不预设使用者的身份。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0104:sense:01,鸡,在部分粗俗语境中可借与“妓”的近音贬损女性或指称性工作者；应描述说话者的用法，不能把对女性的道德指控当作事实。“嫁鸡随鸡”等普通表达不套用该义项。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0108:sense:01,lkd,'lkd'是'烂裤裆'的首字母缩写，对一些私生活不检点甚至糜烂的女人的侮辱性表达。,other_problem,ai_note,ai_reviewed,,,“烂裤裆”的拼音首字母缩写，用于以性关系或私生活方面的指控贬损女性；这些是使用者的污名化评价，不是对对象行为的事实认定。,
definition:lex-0057:sense:01,黑子,网络用语，指针对现实或虚拟的人物、作品进行贬低、侮辱的群体，也常用于对黑人群体的侮辱性用词。,reasonable,ai_note,ai_reviewed,,,,
definition:lex-0111:sense:01,基,在部分网络或粤语相关表达中与 gay、男同性恋指称有关；“基本”“基因”等普通词里的“基”不属于这一用法。不能把对“基佬”整词的解释直接当成所有单字“基”的含义。,reasonable,ai_note,ai_reviewed,,,,
