bucket,split,raw_queries,numeric_eligible_queries,target,selected,shortfall,selected_by_task,shortfall_reason
H_rescue,discovery,32,32,4,4,0,"{""hate"":4}",null
H_rescue,reserve,18,18,2,2,0,"{""hate"":2}",null
H_residual,discovery,67,67,4,4,0,"{""hate"":4}",null
H_residual,reserve,22,21,2,2,0,"{""hate"":2}",null
H_removal_harm,discovery,20,19,4,4,0,"{""hate"":4}",null
H_removal_harm,reserve,7,7,2,2,0,"{""hate"":2}",null
G_category_support,discovery,47,47,4,4,0,"{""group"":4}",null
G_category_support,reserve,13,13,2,2,0,"{""group"":2}",null
H_joint_only,discovery,6,6,4,4,0,"{""hate"":4}",null
H_joint_only,reserve,3,3,2,2,0,"{""hate"":2}",null
G_joint_only,discovery,10,10,4,4,0,"{""group"":4}",null
G_joint_only,reserve,7,7,2,2,0,"{""group"":2}",null
Stable_correct,discovery,187,187,4,4,0,"{""group"":2,""hate"":2}",null
Stable_correct,reserve,82,82,2,2,0,"{""group"":1,""hate"":1}",null
Stable_wrong,discovery,75,75,4,4,0,"{""group"":2,""hate"":2}",null
Stable_wrong,reserve,36,36,2,2,0,"{""group"":1,""hate"":1}",null
