relation_id	source	target	sense_fit	semantic_reference_fit	rule_fit	source_quality	word_overlap	human_decision
CMAD-lexicon_to_query-HP-L1-HP-Q1	CMAD-HP-L1	CMAD-HP-Q1	direct			accepted	present	
CMAD-lexicon_to_query-HP-L2-HP-Q1	CMAD-HP-L2	CMAD-HP-Q1	none			accepted	present	
CMAD-demo_to_query-HP-D-ANCHOR-HP-Q1	CMAD-HP-D-ANCHOR	CMAD-HP-Q1		none	direct	accepted	absent	
CMAD-demo_to_query-HP-D-ANCHOR-SWAP-HP-Q1	CMAD-HP-D-ANCHOR-SWAP	CMAD-HP-Q1		none	direct	disputed	absent	
CMAD-demo_to_query-HP-D-F-A-HP-Q1	CMAD-HP-D-F-A	CMAD-HP-Q1		none	none	accepted	absent	
CMAD-demo_to_query-HP-D-F-P-HP-Q1	CMAD-HP-D-F-P	CMAD-HP-Q1		none	none	accepted	present	
CMAD-demo_to_query-HP-D-F-P-SWAP-HP-Q1	CMAD-HP-D-F-P-SWAP	CMAD-HP-Q1		none	none	disputed	present	
CMAD-demo_to_query-HP-D-L-A-HP-Q1	CMAD-HP-D-L-A	CMAD-HP-Q1		direct	none	accepted	absent	
CMAD-demo_to_query-HP-D-L-A-SWAP-HP-Q1	CMAD-HP-D-L-A-SWAP	CMAD-HP-Q1		direct	none	disputed	absent	
CMAD-demo_to_query-HP-D-L-P-HP-Q1	CMAD-HP-D-L-P	CMAD-HP-Q1		direct	none	accepted	present	
CMAD-lexicon_to_query-HP-L1-HP-Q2	CMAD-HP-L1	CMAD-HP-Q2	direct			accepted	present	
CMAD-lexicon_to_query-HP-L2-HP-Q2	CMAD-HP-L2	CMAD-HP-Q2	none			accepted	present	
CMAD-demo_to_query-HP-D-ANCHOR-HP-Q2	CMAD-HP-D-ANCHOR	CMAD-HP-Q2		none	direct	accepted	absent	
CMAD-demo_to_query-HP-D-ANCHOR-SWAP-HP-Q2	CMAD-HP-D-ANCHOR-SWAP	CMAD-HP-Q2		none	direct	disputed	absent	
