job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J05-D01-upstream	J05	jctx-J05-D02	jctx-J05-D01	upstream	14.103252410888672	5.0240631103515625	5.0240631103515625	无	unchanged	38.29669053908408
J05-D01-preceding	J05	jctx-J05-D02	jctx-J05-D01	preceding	9.3416748046875	0.2624855041503906	0.2624855041503906	无	unchanged	25.052002461246474
J05-D01-whole-query	J05	jctx-J05-D02	jctx-J05-D01	whole-query	18.130245208740234	9.051055908203125	9.051055908203125	无	unchanged	60.92711057728122
J05-D01-query-complement	J05	jctx-J05-D02	jctx-J05-D01	query-complement	14.166595458984375	5.087406158447266	5.087406158447266	无	unchanged	47.38645689487492
J05-D02-upstream	J05	jctx-J05-D01	jctx-J05-D02	upstream	24.0969181060791	-1.142354965209961	-1.142354965209961	无	unchanged	38.29669053908408
J05-D02-preceding	J05	jctx-J05-D01	jctx-J05-D02	preceding	25.208415985107422	-0.030857086181640625	-0.030857086181640625	无	unchanged	25.052002461246474
J05-D02-whole-query	J05	jctx-J05-D01	jctx-J05-D02	whole-query	22.584205627441406	-2.6550674438476562	-2.6550674438476562	无	unchanged	60.92711057728122
J05-D02-query-complement	J05	jctx-J05-D01	jctx-J05-D02	query-complement	24.251598358154297	-0.9876747131347656	-0.9876747131347656	无	unchanged	47.38645689487492
J06-D01-upstream	J06	jctx-J06-D02	jctx-J06-D01	upstream	12.296089172363281	5.154788970947266	5.154788970947266	无	unchanged	49.6326158194843
J06-D01-preceding	J06	jctx-J06-D02	jctx-J06-D01	preceding	7.3003082275390625	0.15900802612304688	0.15900802612304688	无	unchanged	34.869168979244165
J06-D01-whole-query	J06	jctx-J06-D02	jctx-J06-D01	whole-query	12.441322326660156	5.300022125244141	5.300022125244141	无	unchanged	95.90391183097435
J06-D01-query-complement	J06	jctx-J06-D02	jctx-J06-D01	query-complement	5.565452575683594	-1.5758476257324219	-1.5758476257324219	无	unchanged	82.06195069213673
J06-D02-upstream	J06	jctx-J06-D01	jctx-J06-D02	upstream	25.020395278930664	-2.4241161346435547	-2.4241161346435547	无	unchanged	49.6326158194843
J06-D02-preceding	J06	jctx-J06-D01	jctx-J06-D02	preceding	27.360767364501953	-0.08374404907226562	-0.08374404907226562	无	unchanged	34.869168979244165
J06-D02-whole-query	J06	jctx-J06-D01	jctx-J06-D02	whole-query	24.231287002563477	-3.213224411010742	-3.213224411010742	无	unchanged	95.90391183097435
J06-D02-query-complement	J06	jctx-J06-D01	jctx-J06-D02	query-complement	26.55137825012207	-0.8931331634521484	-0.8931331634521484	无	unchanged	82.06195069213673
J07-D01-upstream	J07	jctx-J07-D02	jctx-J07-D01	upstream	-18.654701232910156	0.3445625305175781	0.3445625305175781	有	unchanged	41.41616883457926
J07-D01-preceding	J07	jctx-J07-D02	jctx-J07-D01	preceding	-18.981571197509766	0.01769256591796875	0.01769256591796875	有	unchanged	27.366459764292415
J07-D01-whole-query	J07	jctx-J07-D02	jctx-J07-D01	whole-query	-19.32879638671875	-0.3295326232910156	-0.3295326232910156	有	unchanged	87.02749756797098
J07-D01-query-complement	J07	jctx-J07-D02	jctx-J07-D01	query-complement	-19.686756134033203	-0.6874923706054688	-0.6874923706054688	有	unchanged	76.54074922555195
