schema_version,stratum,n,contrast,before,after,task,label,00,01,10,11,FN_to_TP,TP_to_FN,FP_to_TN,TN_to_FP
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,hate,hate,185,57,27,374,54,14,3,13
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,Racism,34,14,11,584,8,5,6,6
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,Region,67,11,16,549,2,1,9,15
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,LGBTQ,18,2,1,622,0,0,2,1
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,Sexism,55,14,28,546,6,8,8,20
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,others,29,45,9,560,0,7,45,2
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,hate,hate,327,14,10,292,14,9,0,1
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,Racism,43,16,23,561,10,13,6,10
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,Region,49,13,19,562,5,11,8,8
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,LGBTQ,19,7,15,602,2,7,5,8
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,Sexism,56,17,60,510,10,34,7,26
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,others,34,27,5,577,0,5,27,0
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,hate,hate,109,60,103,371,9,99,51,4
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,Racism,34,33,11,565,12,8,21,3
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,Region,62,19,21,541,3,4,16,17
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,LGBTQ,15,8,4,616,2,0,6,4
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,Sexism,58,36,25,524,13,7,23,18
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,others,24,10,14,595,3,6,7,8
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,hate,hate,317,44,20,262,43,19,1,1
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,Racism,26,39,40,538,14,29,25,11
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,Region,36,28,32,547,7,18,21,14
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,LGBTQ,16,10,18,599,6,6,4,12
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,Sexism,67,48,49,479,33,25,15,24
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,others,38,0,1,604,0,0,0,1
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,hate,hate,60,301,109,173,301,1,0,108
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,Racism,33,32,34,544,19,9,13,25
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,Region,35,29,46,533,22,1,7,45
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,LGBTQ,13,13,10,607,11,0,2,10
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,Sexism,36,79,58,470,70,3,9,55
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,others,25,13,9,596,13,0,0,9
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,hate,hate,145,192,67,239,192,6,0,61
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,Racism,24,42,21,556,32,3,10,18
