job_id	query_id	recipient	donor	upstream_job_id	A_job_id	B_job_id	native_m	upstream_m	A_m	B_m	AB_m	AB_minus_A	AB_minus_B	pair_difference_bound	interaction_m	interaction_bound	interaction_resolved	interaction_fraction	additional_removed_after_A	additional_removed_after_B	additional_fraction_after_A	additional_fraction_after_B	absolute_reduced_vs_A	absolute_reduced_vs_B	denominator_safe	meaning
J01-D01-restore-joint	J01	ctm-J01-D01	ctm-J01-D02	J01-D01-upstream	J01-D01-restore-L26-attention	J01-D01-restore-L28-mlp	-6.866451263427734	6.597324371337891	1.92608642578125	3.615398406982422	-0.09335708618164062	-2.0194435119628906	-3.7087554931640625	0.0002899169921875	0.9624824523925781	0.000579833984375	True	0.07148681606868836	2.0194435119628906	3.7087554931640625	0.14999087676033193	0.27546177192580823	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J01-D02-restore-joint	J01	ctm-J01-D02	ctm-J01-D01	J01-D02-upstream	J01-D02-restore-L26-attention	J01-D02-restore-L28-mlp	21.959318161010742	15.741401672363281	16.292240142822266	16.837894439697266	17.2059326171875	0.9136924743652344	0.3680381774902344	0.0002899169921875	-0.18280029296875	0.000579833984375	True	0.02939896238595402	-0.9136924743652344	-0.3680381774902344	0.1469451183581244	0.059189951837113064	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J02-D01-restore-joint	J02	ctm-J02-D01	ctm-J02-D02	J02-D01-upstream	J02-D01-restore-L26-attention	J02-D01-restore-L28-mlp	-23.59368133544922	-23.566795349121094	-23.55264663696289	-23.569480895996094	-23.567909240722656	-0.015262603759765625	0.0015716552734375	0.0002899169921875	-0.012577056884765625	0.000579833984375	True	-0.4677922814982974	0.015262603759765625	-0.0015716552734375	0.5676787741203179	-0.058456299659477864	True	False	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J02-D02-restore-joint	J02	ctm-J02-D02	ctm-J02-D01	J02-D02-upstream	J02-D02-restore-L26-attention	J02-D02-restore-L28-mlp	-23.86591339111328	-23.94670867919922	-23.972543716430664	-23.87278175354004	-23.883996963500977	0.0885467529296875	-0.0112152099609375	0.0002899169921875	0.014619827270507812	0.000579833984375	True	-0.18094900849858356	-0.0885467529296875	0.0112152099609375	1.095939565627951	-0.1388101983002833	True	False	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J03-D01-restore-joint	J03	ctm-J03-D01	ctm-J03-D02	J03-D01-upstream	J03-D01-restore-L26-attention	J03-D01-restore-L28-mlp	0.6060066223144531	0.10279464721679688	0.6045265197753906	0.19728851318359375	0.5808601379394531	-0.0236663818359375	0.3835716247558594	0.0002899169921875	-0.11816024780273438	0.000579833984375	True	0.23481207453340813	0.0236663818359375	-0.3835716247558594	-0.04703064117531119	0.7622466152190063	False	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J03-D02-restore-joint	J03	ctm-J03-D02	ctm-J03-D01	J03-D02-upstream	J03-D02-restore-L26-attention	J03-D02-restore-L28-mlp	-17.44255828857422	-17.157718658447266	-17.35226821899414	-17.071887969970703	-17.194652557373047	0.15761566162109375	-0.12276458740234375	0.0002899169921875	0.07178497314453125	0.000579833984375	True	0.2520189101233444	-0.15761566162109375	0.12276458740234375	-0.553348779279219	0.43099545996330474	False	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J04-D01-restore-joint	J04	ctm-J04-D01	ctm-J04-D02	J04-D01-upstream	J04-D01-restore-L26-attention	J04-D01-restore-L28-mlp	-19.068363189697266	-18.860767364501953	-18.969364166259766	-18.88818359375	-18.971027374267578	-0.0016632080078125	-0.08284378051757812	0.0002899169921875	0.025753021240234375	0.000579833984375	True	0.12405365674384418	0.0016632080078125	0.08284378051757812	0.008011760382212421	0.3990628445424476	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
J04-D02-restore-joint	J04	ctm-J04-D02	ctm-J04-D01	J04-D02-upstream	J04-D02-restore-L26-attention	J04-D02-restore-L28-mlp	-16.649524688720703	-16.909927368164062	-16.778141021728516	-16.862567901611328	-16.75959014892578	0.018550872802734375	0.10297775268554688	0.0002899169921875	-0.02880859375	0.000579833984375	True	0.11063094209161625	-0.018550872802734375	-0.10297775268554688	0.07123917788553095	0.39545581061482793	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
G01-D01-restore-joint	G01	ctm-G01-D01	ctm-G01-D02	G01-D01-upstream	G01-D01-restore-L26-attention	G01-D01-restore-L28-mlp	19.29629898071289	17.433124542236328	17.595989227294922	17.823501586914062	17.957122802734375	0.3611335754394531	0.1336212158203125	0.0002899169921875	-0.02924346923828125	0.000579833984375	True	0.01569550796445682	-0.3611335754394531	-0.1336212158203125	0.1938270341099873	0.07171696490725196	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
G01-D02-restore-joint	G01	ctm-G01-D02	ctm-G01-D01	G01-D02-upstream	G01-D02-restore-L26-attention	G01-D02-restore-L28-mlp	16.426597595214844	18.037044525146484	17.881587982177734	17.721511840820312	17.576499938964844	-0.3050880432128906	-0.14501190185546875	0.0002899169921875	0.01044464111328125	0.000579833984375	True	0.006485554363300006	0.3050880432128906	0.14501190185546875	0.18944309032638587	0.09004450824195998	True	True	True	Finite conditional interaction on m scale; no independent mediation shares or statistical CI.
