category,kind,module,layer,role,encoding,probe_id,requests,candidates
baseline,baseline,,,,ab_forward,,12,24
baseline,baseline,,,,ab_reverse,,12,24
baseline,baseline,,,,original,empty,12,24
baseline,baseline,,,,original,lorem,12,24
baseline,baseline,,,,original,mask,12,24
baseline,baseline,,,,original,na,12,24
baseline,baseline,,,,original,space,12,24
baseline,baseline,,,,original,,12,24
block_benchmark,patch,block,34,pre_answer,ab_forward,,16,32
block_benchmark,patch,block,34,pre_answer,ab_reverse,,16,32
block_benchmark,patch,block,34,pre_answer,original,empty,16,32
block_benchmark,patch,block,34,pre_answer,original,lorem,16,32
block_benchmark,patch,block,34,pre_answer,original,mask,16,32
block_benchmark,patch,block,34,pre_answer,original,na,16,32
block_benchmark,patch,block,34,pre_answer,original,space,16,32
block_benchmark,patch,block,34,pre_answer,original,,16,32
engineering,capture_only,,,,ab_forward,,12,24
engineering,capture_only,,,,ab_reverse,,12,24
engineering,capture_only,,,,original,empty,12,24
engineering,capture_only,,,,original,lorem,12,24
engineering,capture_only,,,,original,mask,12,24
engineering,capture_only,,,,original,na,12,24
engineering,capture_only,,,,original,space,12,24
engineering,capture_only,,,,original,,12,24
engineering,embedding_reconstruction,embedding,,lexicon_slot,ab_forward,,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,ab_reverse,,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,empty,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,lorem,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,mask,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,na,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,space,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,,16,32
engineering,identical_prefix,attention,33,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,attention,33,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,empty,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,lorem,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,mask,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,na,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,space,16,32
engineering,identical_prefix,attention,33,before_lexicon,original,,16,32
engineering,identical_prefix,attention,34,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,attention,34,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,empty,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,lorem,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,mask,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,na,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,space,16,32
engineering,identical_prefix,attention,34,before_lexicon,original,,16,32
engineering,identical_prefix,attention,35,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,attention,35,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,empty,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,lorem,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,mask,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,na,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,space,16,32
engineering,identical_prefix,attention,35,before_lexicon,original,,16,32
engineering,identical_prefix,mlp,33,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,mlp,33,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,empty,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,lorem,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,mask,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,na,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,space,16,32
engineering,identical_prefix,mlp,33,before_lexicon,original,,16,32
engineering,identical_prefix,mlp,34,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,mlp,34,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,empty,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,lorem,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,mask,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,na,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,space,16,32
engineering,identical_prefix,mlp,34,before_lexicon,original,,16,32
engineering,identical_prefix,mlp,35,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,mlp,35,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,empty,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,lorem,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,mask,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,na,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,space,16,32
engineering,identical_prefix,mlp,35,before_lexicon,original,,16,32
engineering,self_patch,attention,33,pre_answer,ab_forward,,12,24
engineering,self_patch,attention,33,pre_answer,ab_reverse,,12,24
engineering,self_patch,attention,33,pre_answer,original,empty,12,24
engineering,self_patch,attention,33,pre_answer,original,lorem,12,24
engineering,self_patch,attention,33,pre_answer,original,mask,12,24
engineering,self_patch,attention,33,pre_answer,original,na,12,24
engineering,self_patch,attention,33,pre_answer,original,space,12,24
engineering,self_patch,attention,33,pre_answer,original,,12,24
engineering,self_patch,attention,33,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,attention,33,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,empty,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,mask,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,na,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,space,12,24
engineering,self_patch,attention,33,unrelated_demo_end,original,,12,24
engineering,self_patch,attention,34,pre_answer,ab_forward,,12,24
engineering,self_patch,attention,34,pre_answer,ab_reverse,,12,24
engineering,self_patch,attention,34,pre_answer,original,empty,12,24
engineering,self_patch,attention,34,pre_answer,original,lorem,12,24
engineering,self_patch,attention,34,pre_answer,original,mask,12,24
engineering,self_patch,attention,34,pre_answer,original,na,12,24
engineering,self_patch,attention,34,pre_answer,original,space,12,24
engineering,self_patch,attention,34,pre_answer,original,,12,24
engineering,self_patch,attention,34,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,attention,34,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,empty,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,mask,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,na,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,space,12,24
engineering,self_patch,attention,34,unrelated_demo_end,original,,12,24
engineering,self_patch,attention,35,pre_answer,ab_forward,,12,24
engineering,self_patch,attention,35,pre_answer,ab_reverse,,12,24
engineering,self_patch,attention,35,pre_answer,original,empty,12,24
engineering,self_patch,attention,35,pre_answer,original,lorem,12,24
engineering,self_patch,attention,35,pre_answer,original,mask,12,24
engineering,self_patch,attention,35,pre_answer,original,na,12,24
engineering,self_patch,attention,35,pre_answer,original,space,12,24
engineering,self_patch,attention,35,pre_answer,original,,12,24
engineering,self_patch,attention,35,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,attention,35,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,empty,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,mask,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,na,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,space,12,24
engineering,self_patch,attention,35,unrelated_demo_end,original,,12,24
engineering,self_patch,block,34,pre_answer,ab_forward,,12,24
engineering,self_patch,block,34,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,34,pre_answer,original,empty,12,24
engineering,self_patch,block,34,pre_answer,original,lorem,12,24
engineering,self_patch,block,34,pre_answer,original,mask,12,24
engineering,self_patch,block,34,pre_answer,original,na,12,24
engineering,self_patch,block,34,pre_answer,original,space,12,24
