family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L_given_D,Lnew given D,all,643,-2.524618225928228,-2.5017929077148438,-6.711515045166015,1.462342834472656,-4.091379165649414,-0.8847274780273438,3.2066516876220703,-13.189590454101562,7.923107147216797,defined,0.002685546875,-1,negative,92,547,4,0.14307931570762053,0.8506998444790047,0.006220839813374806,-2.7262491615526785,-2.324764620349344
contrast,hate,hate,answer_sum,answer_sum/margin/hate,D_given_L,D given Lnew,all,643,6.508078072341752,6.152814865112305,-0.6647993087768554,15.11475658416748,2.7809858322143555,9.666703224182129,6.885717391967773,-4.584569931030273,19.154481887817383,defined,0.002685546875,1,positive,594,48,1,0.9237947122861586,0.07465007776049767,0.0015552099533437014,6.136270488958522,6.892827637570086
contrast,hate,hate,answer_sum,answer_sum/margin/hate,CL_minus_PL,CLnew minus PLnew,all,643,0.5329530220565677,0.18940353393554688,-5.843310546875,9.08500823974609,-2.891653060913086,3.275876998901367,6.167530059814453,-10.475412368774414,15.50739860534668,defined,0.002685546875,1,positive,329,311,3,0.5116640746500778,0.48367029548989116,0.004665629860031105,0.17704776138020897,0.8789305274631147
contrast,hate,hate,answer_sum,answer_sum/margin/hate,CD_minus_PD,CD minus PD,all,643,6.102027074359994,5.5399169921875,1.1736810684204102,12.572455406188963,3.643587112426758,8.229353904724121,4.585766792297363,-3.515727996826172,19.573932647705078,defined,0.002685546875,1,positive,629,14,0,0.9782270606531882,0.02177293934681182,0.0,5.816464311783644,6.3860580606742365
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,L_given_D,Lnew given D,all,643,-3.0150161987974133,-2.7174270274798005,-17.885988554643195,10.458998700673817,-7.811527317880106,1.5694879792148497,9.381015297094956,-35.30132660344327,31.847400108641054,defined,0.002685546875,-1,negative,211,428,4,0.328149300155521,0.6656298600311042,0.006220839813374806,-3.6990357856673963,-2.357018214239403
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,D_given_L,D given Lnew,all,643,6.764785178273497,7.376037543812881,-11.749755979524615,23.129819012640958,0.176525951779535,13.34095841291272,13.164432461133185,-35.86245385349484,37.514730221131636,defined,0.002685546875,1,positive,484,159,0,0.7527216174183515,0.24727838258164853,0.0,5.969145965958399,7.5790154750903485
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,CL_minus_PL,CLnew minus PLnew,all,643,-1.4304689287639485,-3.542680815869261,-17.566611505771643,22.63301047508935,-9.08193540477147,4.326967315641809,13.408902720413279,-33.25689424068846,48.754325137825575,defined,0.002685546875,-1,negative,232,407,4,0.3608087091757387,0.6329704510108864,0.006220839813374806,-2.3550658346925943,-0.49656211138426465
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,CD_minus_PD,CD minus PD,all,643,-3.78846367998134,-3.847249884585402,-22.94634419472423,15.740274683510245,-10.954224661570603,3.247624159934878,14.20184882150548,-33.64859283260815,32.79678074803961,defined,0.002685546875,-1,negative,230,412,1,0.35769828926905134,0.640746500777605,0.0015552099533437014,-4.6481568174459715,-2.915679078170443
contrast,group,Region,answer_sum,answer_sum/margin/Region,L_given_D,Lnew given D,all,643,-1.9942392704043257,-1.3660837676710145,-17.879943335968687,10.443810706961113,-5.8359377934245025,2.5988014058559252,8.434739199280427,-33.73194354601718,42.80234283633015,defined,0.002685546875,-1,negative,250,389,4,0.38880248833592534,0.6049766718506998,0.006220839813374806,-2.6415984193013635,-1.3467913305675767
contrast,group,Region,answer_sum,answer_sum/margin/Region,D_given_L,D given Lnew,all,643,7.1649277750356495,7.257810719592811,-10.93034044583034,25.061334662338787,0.31431579525078845,14.086653567381664,13.772337772130875,-30.838528070939564,38.14082150283461,defined,0.002685546875,1,positive,490,153,0,0.7620528771384136,0.2379471228615863,0.0,6.33839107467717,8.01054509050249
