id,content,label,x,y,cluster
2448,我的天啊，求求你坦白吧，放过人家,non-hate,10.016194,2.502601,0
5977,出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多,non-hate,5.7881284,3.5749276,5
1942,她没必要这么敏感,non-hate,9.261865,2.2067618,4
7140,这种东西是上面的锅，甩给女性不大好,non-hate,9.422719,1.2357546,4
6442,说明现在法制社会啊←_←大家都挺爱护女性的,non-hate,9.425251,0.94895893,4
7108,大哥你私信没开,non-hate,11.335656,4.357026,7
2234,答主回答的时候是不是有些难过啊，抱抱，我们都理解你的,non-hate,10.588773,3.3617685,6
4452,为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。,non-hate,5.124068,3.9147322,5
291,我主张拆掉屋顶的时候才有人同意开窗户。,non-hate,8.61259,2.549028,2
3787,妇女报是妇联名下的么？,non-hate,9.426862,0.85205775,4
5962,因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的,non-hate,9.523745,0.6284452,4
7978,怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？,non-hate,11.632873,3.8648922,7
2733,对啊，好看的很多的都是混血,non-hate,7.8963804,1.2837471,3
7725,反串一律水葬,non-hate,10.803131,4.382906,7
2125,这贴看的我鸡皮疙瘩起来了,non-hate,10.995056,3.5745378,7
3909,真想不到这人居然还在！,non-hate,8.444647,4.856946,8
5721,不要随意评论。毕竟大家都是人，你的评论会伤害到别人。性取向是别人的自由。请你善良,non-hate,10.902673,0.8050759,1
3204,如果你已经不会听风就是雨，那么说明你成熟了,non-hate,8.787364,3.0132706,0
1374,你可以不给，她可以不嫁，很公平啊,non-hate,8.916456,0.25257045,4
2033,吧里没落了,non-hate,12.095229,3.6039405,7
7890,省都没出过几次，你就不要说话了好吧！最基本的人文地理知识都缺乏😆,non-hate,5.7385297,3.548446,5
1256,说的好，生动代表了河南人那股聪明劲,non-hate,4.6098895,2.579534,5
6720,世界女权组织，这名听着就吓人,non-hate,9.482215,0.7541642,4
7237,没有广西吗？,non-hate,5.0020328,3.779074,5
4744,可以说，以上的地域歧视只能说是略有夸大。但是几乎全部都有事实依据。要真是空穴来风根本不可能流传开来。,non-hate,6.2150793,3.4755065,5
7688,你是个什么逻辑，臆想别人喜欢你?,non-hate,10.996532,1.3710229,0
5832,难道不是小孩贫血，好心人献血过多，改变了血型吗?,non-hate,8.702019,1.4044597,2
1652,反正我遇见的河南人都还不错,non-hate,4.634164,2.7129629,5
5720,这个赞太少了点吧。,non-hate,9.888695,3.7738338,8
5436,花呗干什么的,non-hate,10.727277,2.542658,7
7934,这人老挠弹了，之前就被人举报封过，大过年又出来发病了,non-hate,11.195709,3.8201823,7
3822,没必要纠结这么多，我敢说99.9%的女性都是想为自己的丈夫生孩子的，如果你要是遇到0.1%，那就是你自己的问题了，话说我只想要一个孩子，我老婆想要两个。,non-hate,9.317874,-0.0074976576,4
2655,很难不赞同，不过补充一点，杨靖宇将军是河南的，本名马尚德，驻马店的骄傲🍉,non-hate,4.847504,2.5988393,5
6339,个人感觉浙江比苏南上海友好非常多，实地都去过,non-hate,4.6642947,4.357743,5
6903,湖北也跑了,non-hate,4.7038,4.078359,5
7851,你比苏维埃联盟还要牢不可破,non-hate,8.881037,5.2875366,0
533,谁说你了，给自己加这么多戏,non-hate,9.409394,4.6298223,0
2627,我帮你，我浴霸六级,non-hate,10.576346,4.0278945,7
3846,逐字逐句看完，有一个观点我有一点反对意见，异性之间的行为符合人伦天道,non-hate,10.59948,1.2281331,1
2184,我沈阳人，我当兵的时候好多战友都是黑龙江富拉尔基的，我们相处的一直很好，我还想以后去哈尔滨定居，不用因为少数低素质人就敌视整个地区。,non-hate,5.700825,4.465649,5
7328,王者荣耀要做的速速，在大厅发消息，一个人，一分钟3条，10分钟30一小时180条！每条0.2，时薪36！！不限量，而且发出去就算进扣扣群,non-hate,11.377679,3.3813586,7
6268,跟这个没关系，主要是80年代，河南是全国小偷各地集团的汇聚中心，因为当时铁路为主，而河南是全国铁路交汇的枢纽，小偷最多，导致河南名声被连累，,non-hate,4.66845,2.4925177,5
2708,动物都有同性恋，人类能没有？😅多读书，别读死书,non-hate,11.189776,0.41631544,1
6560,因为牛奶和巧克力都挺好吃的,non-hate,10.332388,1.7962304,8
3612,rush，增加kuai感的,non-hate,11.035475,4.567293,8
5739,知乎的三观很正，所以我喜欢这里,non-hate,10.361579,4.4647756,8
7041,没办法我天生的改不了,non-hate,11.118205,1.7331321,8
605,我是高贵的中国人,non-hate,7.008426,2.5937436,8
6814,👍️ 金庸大师，诚不我欺啊,non-hate,8.085268,4.654813,8
323,还是我们的子女好看，白白的精致,non-hate,9.652636,2.4930096,8
3813,唉，不得不说彼此都任重道远啊,non-hate,8.170253,3.8534336,8
5342,穷黑龙江也不是最穷的,non-hate,5.425309,4.4376574,5
1148,一个有正常工作生活的人根本没那精力天天发这种帖子，这玩意估计也是靠这个赚钱的,non-hate,11.300679,3.3934655,7
