comparison_id	query_id	family_id	scope	contrast_type	effect	bound	raw_direction	reference_aligned_change	reference_aligned_resolution	verified_classification_transition	terms
CTDJ-G1-none-L_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	none-L_absent	1.6326484680175781	0.0009002685546875	positive	-1.6326484680175781	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":-1}]"
CTDJ-G1-none-N_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	none-N_absent	3.513296127319336	0.0009002685546875	positive	-3.513296127319336	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":-1}]"
CTDJ-G1-none-L_N	CTD-G1-v2	CTD-family-01	within_query_fixed_D	none-L_N	-1.8806476593017578	0.0009002685546875	negative	1.8806476593017578	positive	stable_correct	"[{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":-1}]"
CTDJ-G1-same_A-L_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_A-L_absent	0.23824119567871094	0.0009002685546875	positive	-0.23824119567871094	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_A"",""coefficient"":-1}]"
CTDJ-G1-same_A-N_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_A-N_absent	0.8854331970214844	0.0009002685546875	positive	-0.8854331970214844	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_A"",""coefficient"":-1}]"
CTDJ-G1-same_A-L_N	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_A-L_N	-0.6471920013427734	0.0009002685546875	negative	0.6471920013427734	positive	stable_correct	"[{""condition_id"":""CTDJ-G1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-N-same_A"",""coefficient"":-1}]"
CTDJ-G1-same_B-L_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_B-L_absent	0.9701309204101562	0.0009002685546875	positive	-0.9701309204101562	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_B"",""coefficient"":-1}]"
CTDJ-G1-same_B-N_absent	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_B-N_absent	2.8691864013671875	0.0009002685546875	positive	-2.8691864013671875	negative	stable_correct	"[{""condition_id"":""CTDJ-G1-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_B"",""coefficient"":-1}]"
CTDJ-G1-same_B-L_N	CTD-G1-v2	CTD-family-01	within_query_fixed_D	same_B-L_N	-1.8990554809570312	0.0009002685546875	negative	1.8990554809570312	positive	stable_correct	"[{""condition_id"":""CTDJ-G1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-N-same_B"",""coefficient"":-1}]"
CTDJ-G1-same_A-interaction-L_absent	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_absent	-1.3944072723388672	0.001800537109375	negative	1.3944072723388672	positive		"[{""condition_id"":""CTDJ-G1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":1}]"
CTDJ-G1-same_A-interaction-N_absent	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-N_absent	-2.6278629302978516	0.001800537109375	negative	2.6278629302978516	positive		"[{""condition_id"":""CTDJ-G1-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":1}]"
CTDJ-G1-same_A-interaction-L_N	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_A-interaction-L_N	1.2334556579589844	0.001800537109375	positive	-1.2334556579589844	negative		"[{""condition_id"":""CTDJ-G1-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G1-N-same_A"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":1}]"
CTDJ-G1-same_B-interaction-L_absent	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_absent	-0.6625175476074219	0.001800537109375	negative	0.6625175476074219	positive		"[{""condition_id"":""CTDJ-G1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":1}]"
CTDJ-G1-same_B-interaction-N_absent	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-N_absent	-0.6441097259521484	0.001800537109375	negative	0.6441097259521484	positive		"[{""condition_id"":""CTDJ-G1-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-absent-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-absent-none"",""coefficient"":1}]"
CTDJ-G1-same_B-interaction-L_N	CTD-G1-v2	CTD-family-01	fixed_pack_lexicon_interaction	same_B-interaction-L_N	-0.018407821655273438	0.001800537109375	negative	0.018407821655273438	positive		"[{""condition_id"":""CTDJ-G1-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G1-N-same_B"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-L-none"",""coefficient"":-1},{""condition_id"":""CTDJ-G1-N-none"",""coefficient"":1}]"
CTDJ-G2-none-L_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	none-L_absent	-7.741249084472656	0.0009002685546875	negative	-7.741249084472656	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":-1}]"
CTDJ-G2-none-N_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	none-N_absent	-1.501241683959961	0.0009002685546875	negative	-1.501241683959961	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-none"",""coefficient"":-1}]"
CTDJ-G2-none-L_N	CTD-G2-v2	CTD-family-01	within_query_fixed_D	none-L_N	-6.240007400512695	0.0009002685546875	negative	-6.240007400512695	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-L-none"",""coefficient"":1},{""condition_id"":""CTDJ-G2-N-none"",""coefficient"":-1}]"
CTDJ-G2-same_A-L_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_A-L_absent	0.8970794677734375	0.0009002685546875	positive	0.8970794677734375	positive	stable_correct	"[{""condition_id"":""CTDJ-G2-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_A"",""coefficient"":-1}]"
CTDJ-G2-same_A-N_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_A-N_absent	-0.1232452392578125	0.0009002685546875	negative	-0.1232452392578125	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-N-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_A"",""coefficient"":-1}]"
CTDJ-G2-same_A-L_N	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_A-L_N	1.02032470703125	0.0009002685546875	positive	1.02032470703125	positive	stable_correct	"[{""condition_id"":""CTDJ-G2-L-same_A"",""coefficient"":1},{""condition_id"":""CTDJ-G2-N-same_A"",""coefficient"":-1}]"
CTDJ-G2-same_B-L_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_B-L_absent	-2.492755889892578	0.0009002685546875	negative	-2.492755889892578	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_B"",""coefficient"":-1}]"
CTDJ-G2-same_B-N_absent	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_B-N_absent	-2.682035446166992	0.0009002685546875	negative	-2.682035446166992	negative	stable_correct	"[{""condition_id"":""CTDJ-G2-N-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-absent-same_B"",""coefficient"":-1}]"
CTDJ-G2-same_B-L_N	CTD-G2-v2	CTD-family-01	within_query_fixed_D	same_B-L_N	0.18927955627441406	0.0009002685546875	positive	0.18927955627441406	positive	stable_correct	"[{""condition_id"":""CTDJ-G2-L-same_B"",""coefficient"":1},{""condition_id"":""CTDJ-G2-N-same_B"",""coefficient"":-1}]"
