id,content,label,x,y,cluster
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,13.290016,0.18640797,1
1646,我190+，但是这种墓垢还是铁鲨鼻,Sexism,10.787718,3.4506066,7
2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,LGBTQ,12.065096,4.4989076,0
4460,居然没有一个拳师冲。,Sexism,11.790886,2.7603254,4
1460,征尼大将军,Racism,10.958086,1.8366154,7
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,10.926881,-1.0074337,2
1313,举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人,Sexism,14.181735,1.9505022,3
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,12.369235,-0.2099932,1
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,9.837293,1.7461147,2
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,13.402391,2.0397475,0
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,6.887355,1.499439,8
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,5.5887322,2.122,8
4683,要把一滴血原则带到中国来,Racism,11.076072,-0.17064634,4
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,10.727447,-0.96706074,2
7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,LGBTQ,11.914337,5.648906,9
7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,Sexism,13.332206,1.3482203,0
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,14.569487,2.3938925,3
927,广州就是黑河南、黑北方的总部,Region,6.9272733,1.983251,8
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,11.036332,0.2121512,4
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,4.7384176,1.5828164,6
3235,好家伙，间接黑了一波北京（玩笑）,Region,6.4140954,0.48451883,6
6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,Racism,12.652393,-0.95405114,1
6091,默滚出中国就行了。,Racism,11.231141,0.7485417,4
1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,others,12.561273,-0.10427084,1
2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,others,14.158582,5.2213264,5
1442,失足妇女是要钱，可以理解。,Sexism,13.303516,1.9742357,3
2269,女quan真的是要挑起争端吗？大言不惭的攻击郭嘉的执fa制度，明明厌男，却又想结婚找男人要20万的彩礼，讨厌男人还让它的哥哥帮它寻找yan遇。不理解，实在是不理解。搞女quan是为了压榨男性的剩余价值吗？,Sexism,14.088843,2.4769862,3
460,没有世界帮助，非洲还生活在原始社会。,Racism,11.041846,-1.2693715,2
638,女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,Sexism,14.101423,2.6981208,3
1950,无艾不是真基,others,13.462578,5.1863976,5
1037,第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。,Sexism,14.242907,1.8728638,3
2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,Racism,11.837053,-0.15295593,0
7090,性取向都扭曲了的人怎么会觉得恶心呢😓,LGBTQ,11.872411,5.0712366,9
3319,精神科医生好久不见我是反同二局的,LGBTQ,11.192308,5.2140803,0
6035,哈哈雀食，上大人果然都是你这样😄,Region,11.195708,2.1735048,7
7526,钓鱼的吧，除非让你全家女性照顾黑人,others,12.3371105,-0.89113325,2
1558,我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。,Region,6.335763,1.2024966,6
5267,提啥？我已经不考虑母的,Sexism,13.369322,2.250703,4
1266,本来我们才是白种人，被西方丑化才被说成是黄祸,Racism,10.730819,-0.6156077,2
4743,这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,others,13.358121,0.02046046,1
2919,这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道,others,12.79595,-0.3010969,1
3084,作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立,Racism,12.559893,-0.9549683,1
913,其实没啥的，就是炮友吗，艾滋病毒多点而已,others,14.134184,5.1387615,5
6789,结婚纯累赘,Sexism,14.180797,1.3133782,3
508,黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。,Racism,10.980007,-0.98283297,2
3382,到时候好看的妹妹一个不剩，剩下的全是重型坦克,Sexism,12.787327,2.4175456,7
5564,害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了,Region,5.8570933,0.9832142,6
5955,选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄,others,13.164774,0.35316262,3
5902,直接规定新法，嫁给外国人，自动失去中国国籍。,others,13.09053,-0.29664746,4
1660,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,LGBTQ,12.018686,5.269931,9
73,我嫌弃他们丑😅,others,11.307059,0.20321573,4
65,告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,Sexism,12.720478,3.568585,0
1680,美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语,Region,6.1720147,1.0581887,4
