task,condition,candidate_id,cardinality,queries,eos_logprob_mean,eos_logprob_median,eos_logprob_p05,eos_logprob_p95
hate,C0,hate,,643,-5.280063089278771e-07,0.0,-3.814697265625e-06,0.0
hate,C0,non-hate,,643,0.0,0.0,0.0,0.0
hate,CLnew,hate,,643,-9.195615492564152e-07,0.0,-3.814697265625e-06,0.0
hate,CLnew,non-hate,,643,0.0,0.0,0.0,0.0
hate,CD,hate,,643,-5.339389640843701e-08,0.0,0.0,0.0
hate,CD,non-hate,,643,0.0,0.0,0.0,0.0
hate,CLDnew,hate,,643,-1.9577762016426906e-07,0.0,0.0,0.0
hate,CLDnew,non-hate,,643,0.0,0.0,0.0,0.0
hate,PLnew,hate,,643,-1.4238372375583205e-07,0.0,0.0,0.0
hate,PLnew,non-hate,,643,0.0,0.0,0.0,0.0
hate,PD,hate,,643,-4.152858609545101e-08,0.0,0.0,0.0
hate,PD,non-hate,,643,0.0,0.0,0.0,0.0
hate,CLq,hate,,643,-4.924103779889191e-07,0.0,-3.814697265625e-06,0.0
hate,CLq,non-hate,,643,0.0,0.0,0.0,0.0
hate,CLqD,hate,,643,-5.339389640843701e-08,0.0,0.0,0.0
hate,CLqD,non-hate,,643,0.0,0.0,0.0,0.0
group,C0,group-00,0,643,-6.169961362752722e-07,0.0,0.0,0.0
group,C0,group-01,1,643,-4.627471022064541e-07,0.0,-3.814697265625e-06,0.0
group,C0,group-02,1,643,0.0,0.0,0.0,0.0
group,C0,group-03,2,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,C0,group-04,1,643,0.0,0.0,0.0,0.0
group,C0,group-05,2,643,-1.1865310312986004e-07,0.0,0.0,0.0
group,C0,group-06,2,643,0.0,0.0,0.0,0.0
group,C0,group-07,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,C0,group-08,1,643,0.0,0.0,0.0,0.0
group,C0,group-09,2,643,-4.152858609545101e-08,0.0,0.0,0.0
group,C0,group-10,2,643,0.0,0.0,0.0,0.0
group,C0,group-11,3,643,-2.3730620625972006e-08,0.0,0.0,0.0
group,C0,group-12,2,643,0.0,0.0,0.0,0.0
group,C0,group-13,3,643,-5.9326551564930015e-09,0.0,0.0,0.0
group,C0,group-14,3,643,0.0,0.0,0.0,0.0
group,C0,group-15,4,643,0.0,0.0,0.0,0.0
group,C0,group-16,1,643,0.0,0.0,0.0,0.0
group,C0,group-17,2,643,-1.1865310312986003e-08,0.0,0.0,0.0
group,C0,group-18,2,643,0.0,0.0,0.0,0.0
group,C0,group-19,3,643,0.0,0.0,0.0,0.0
group,C0,group-20,2,643,0.0,0.0,0.0,0.0
group,C0,group-21,3,643,0.0,0.0,0.0,0.0
group,C0,group-22,3,643,0.0,0.0,0.0,0.0
group,C0,group-23,4,643,0.0,0.0,0.0,0.0
group,C0,group-24,2,643,0.0,0.0,0.0,0.0
group,C0,group-25,3,643,0.0,0.0,0.0,0.0
group,C0,group-26,3,643,0.0,0.0,0.0,0.0
group,C0,group-27,4,643,0.0,0.0,0.0,0.0
group,C0,group-28,3,643,0.0,0.0,0.0,0.0
group,C0,group-29,4,643,0.0,0.0,0.0,0.0
group,C0,group-30,4,643,0.0,0.0,0.0,0.0
group,C0,group-31,5,643,0.0,0.0,0.0,0.0
group,CLnew,group-00,0,643,-6.229287914317651e-07,0.0,-3.814697265625e-06,0.0
