schema_version,stratum,n,task,core_order,core_mask,count
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,49
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,9
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,90
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,169
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,2
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,5
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,37
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,2
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,4
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,14
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,56
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,51
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,4
general-model-nolabel-paired-cases/v1,all,643,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,151
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,89
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,17
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,10
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,58
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,32
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,10
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,3
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,44
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,19
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,6
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,11
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,41
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,45
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,19
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,2
general-model-nolabel-paired-cases/v1,all,643,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,237
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,19
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,42
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,75
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,5
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,35
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,11
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,17
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,34
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,9
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,3
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,27
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,33
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,10
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,7
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1011,12
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1100,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1101,2
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1110,1
general-model-nolabel-paired-cases/v1,Lq_hit,223,group,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1111,66
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0000,30
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0001,6
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0010,48
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0011,94
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0100,1
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0101,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0110,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",0111,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1000,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1001,0
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,hate,"[""C0"",""CLnewNoCat"",""CD"",""CLDnewNoCat""]",1010,1
