query_id	recipient	donor	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J01	ctm-J01-D01	ctm-J01-D02	J01-D01-upstream	J01-D01-preceding	13.50979995727539	0.0001983642578125	13.50979995727539
J02	ctm-J02-D01	ctm-J02-D02	J02-D01-upstream	J02-D01-preceding	0.031375885009765625	0.0001983642578125	-0.031375885009765625
J03	ctm-J03-D01	ctm-J03-D02	J03-D01-upstream	J03-D01-preceding	-0.5182838439941406	0.0001983642578125	-0.5182838439941406
J04	ctm-J04-D01	ctm-J04-D02	J04-D01-upstream	J04-D01-preceding	0.2607574462890625	0.0001983642578125	-0.2607574462890625
G01	ctm-G01-D01	ctm-G01-D02	G01-D01-upstream	G01-D01-preceding	-1.7549667358398438	0.0001983642578125	-1.7549667358398438
G02	ctm-G02-D01	ctm-G02-D02	G02-D01-upstream	G02-D01-preceding	0.10149383544921875	0.0001983642578125	-0.10149383544921875
G03	ctm-G03-D01	ctm-G03-D02	G03-D01-upstream	G03-D01-preceding	-0.006069183349609375	0.0001983642578125	-0.006069183349609375
G04	ctm-G04-D01	ctm-G04-D02	G04-D01-upstream	G04-D01-preceding	-0.006626129150390625	0.0001983642578125	0.006626129150390625
B01	ctm-B01-D01	ctm-B01-D02	B01-D01-upstream	B01-D01-preceding	1.1019859313964844	0.0001983642578125	1.1019859313964844
B02	ctm-B02-D01	ctm-B02-D02	B02-D01-upstream	B02-D01-preceding	1.3246421813964844	0.0001983642578125	-1.3246421813964844
B03	ctm-B03-D01	ctm-B03-D02	B03-D01-upstream	B03-D01-preceding	-2.784534454345703	0.0001983642578125	-2.784534454345703
B04	ctm-B04-D01	ctm-B04-D02	B04-D01-upstream	B04-D01-preceding	0.10514068603515625	0.0001983642578125	-0.10514068603515625
