id,content,label,x,y,cluster
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,-0.94125456,-7.240794,3
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,1.5541991,-6.7922506,7
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,0.8162651,-7.433856,9
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,-1.8188266,-6.315628,5
1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,others,0.8510256,-7.517706,5
2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,others,3.7584999,-5.6053214,0
1950,无艾不是真基,others,3.389123,-4.7475185,8
7526,钓鱼的吧，除非让你全家女性照顾黑人,others,1.3043066,-8.132021,7
4743,这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,others,1.1986946,-8.357934,3
2919,这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道,others,0.62140274,-7.4804735,3
913,其实没啥的，就是炮友吗，艾滋病毒多点而已,others,3.7612576,-5.547433,0
5955,选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄,others,-0.13133165,-7.581908,5
5902,直接规定新法，嫁给外国人，自动失去中国国籍。,others,-0.6711812,-8.120363,5
73,我嫌弃他们丑😅,others,0.42945293,-5.2925587,6
5095,放心吧正常男人不会喜欢黑女的,others,1.8083798,-7.727365,7
4853,美国现在已经被白左占领了，还好中国不是这样,others,-0.25281745,-5.2226386,4
5359,关键是辨别不出来，要是媚黑在身上纹一个黑桃就方便了,others,2.0039732,-7.31935,7
466,你去抖音弄个黑人身份，就会有女的私信你,others,1.0574386,-7.2549725,7
958,真实，也是情理之中，就像大家在网上呼吁不要歧视艾滋病人一样，生活中遇到真艾滋病人都会自动走开,others,3.9165168,-5.7234464,8
1778,我靠真能下得去手啊，我去主校区的时候也见过几个又黑又肥又丑看不清脸，可能是我的学校太好了女生都挺保守的，没听说也没看见哪个女生和黑人谈恋爱😅,others,1.4972875,-7.8280888,3
5729,其他的都不说，为她去非洲生活点赞，別赖在中国，中国不需要黑族,others,-0.15835175,-8.114766,7
6155,有趣啊，和没道德的不用讲道德是吧，和我们讲什么道德？我学历不高，但知道平权本身是道德高地，被你学历歧视给拉到道德洼地对不对啊,others,0.28371027,-4.192259,5
5040,人不能总是被动防守，应该想办法主动进攻……我觉得，咱们应该跟黑人妹子交往。有没有谁知道，哪里能遇到黑人妹子呀？,others,1.2967504,-8.31854,7
6403,我们没有说胖，我们只是想说摄像头买小了，用13mm超广角镜头拍摄也没能拍全这位的月佥,others,0.34011117,-5.4227705,6
1788,大家反通的原因是什么捏？①通讯录很多是孃泡，举止钕性化，造成反感②认为通讯录会染艾，就算现在不会以后也会得③通讯录反yxl④通讯录反自然⑤就是觉得通讯录ex如果有一位txl三观举止正常，不蓝交，不反异，不为txl发声，安静活着，8u们还会觉得这人ex吗？,others,2.6605244,-3.852971,9
3874,你猜出国的人什么嘴脸？,others,-0.5810576,-6.32941,4
1752,自己女儿如果交往黑人，那就要反思是不是自己没教好了👍️,others,1.160793,-8.344008,7
3208,可惜真正嫁出去的绝大部分找到都是外国瘪三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？,others,-1.0364041,-7.509595,3
