condition_id	query_id	query_short_id	family_id	lexicon_arm	demo_arm	condition_group	lexicon_ids	demo_ids	demo_answers	focal_relation_dimension	foreground_relation_proposal	foreground_focal_word	qwen8b_prompt_sha256	human_adoption	eligible_for_GPU	construction_stratum
CMAD-HP-Q1-L0-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			77b1ebfdf9d1038761e21b087a9d2ca4c9fc0005c4af124da3644f2290ee8e3d	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	cbf13178e1b7340a9790672ad8d5529a456f7071aebcf10a04d395452f0781a0	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	fd295da8e9586fffc2daf2bd18cb9d3b58937731b39cd2f09cf89ee076947156	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	fcf0f9cb485a6a0f7ffe6e9ab949f543002aeec626eccbcc4c6a08753da65270	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L0-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	eb8667acc103754e1408e0470107765ff373d82833442a4f2b2096938b3da48b	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			d6054f8641dfa70f6ac1938f10cc7faa3dcf60cb05e4465e17509afd19e7e8da	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D11	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	b7dad3547c823ab3515b19bda7be910daebb42bb30426efde1114c0ee2f8ae28	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D10	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	d18c326bdd18be7826e06f5968b168fd8d6e80b41273a0bfecc411114842d032	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D01	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	782405eb839b1452e464eda153230cb9898fcbd466774f1261c44982903ca0f7	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L1-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D00	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	124a66f6f66fcd94005f78648ddf06714e8860f81bf8c88499d714d4ba50ce9c	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
CMAD-HP-Q1-L2-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D0	core	"[""CMAD-HP-L2""]"	[]	[]	semantic_reference_fit			7d094e0b3f6d41d0460b666d1a407646392abddbfbef95a5dfdd315a5b269640	"{""decision_id"": ""CMAD-review-01"", ""authorship"": ""ai"", ""review_kind"": ""human_with_ai"", ""adoption"": ""bulk"", ""decision_ref"": {""path"": ""docs/research/experiment-plans/cross-model-applicability-v1/feedback-01.json"", ""sha256"": ""c229c9520bfe71dcf93ed89fa315835601390d3b73132662b7af27a6ad81d18f""}, ""recorded_at"": ""2026-09-17T18:10:11.377352+00:00""}"	False	A_fixed_insult
