job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J01-D01-upstream	J01	ctm-J01-D02	ctm-J01-D01	upstream	6.597324371337891	13.463775634765625	13.463775634765625	无	repair	36.88794832181225
J01-D01-preceding	J01	ctm-J01-D02	ctm-J01-D01	preceding	-6.9124755859375	-0.046024322509765625	-0.046024322509765625	有	unchanged	28.287834335095518
J01-D01-no-dictionary-focal	J01	ctm-J01-D00	ctm-J01-D01	no-dictionary-focal	8.090225219726562	14.956676483154297	14.956676483154297	无	repair	73.96926819602092
J01-D01-no-dictionary-preceding	J01	ctm-J01-D00	ctm-J01-D01	no-dictionary-preceding	-8.31313705444336	-1.446685791015625	-1.446685791015625	有	unchanged	34.506460329159374
J02-D01-upstream	J02	ctm-J02-D02	ctm-J02-D01	upstream	-23.566795349121094	0.026885986328125	-0.026885986328125	有	unchanged	39.314983867204745
J02-D01-preceding	J02	ctm-J02-D02	ctm-J02-D01	preceding	-23.59817123413086	-0.004489898681640625	0.004489898681640625	有	unchanged	12.311036903183123
J02-D01-no-dictionary-focal	J02	ctm-J02-D00	ctm-J02-D01	no-dictionary-focal	-23.45751953125	0.13616180419921875	-0.13616180419921875	有	unchanged	71.60622540909823
J02-D01-no-dictionary-preceding	J02	ctm-J02-D00	ctm-J02-D01	no-dictionary-preceding	-23.608604431152344	-0.014923095703125	0.014923095703125	有	unchanged	16.092038093741422
J03-D01-upstream	J03	ctm-J03-D02	ctm-J03-D01	upstream	0.10279464721679688	-0.5032119750976562	-0.5032119750976562	无	unchanged	64.68865151696565
J03-D01-preceding	J03	ctm-J03-D02	ctm-J03-D01	preceding	0.6210784912109375	0.015071868896484375	0.015071868896484375	无	unchanged	20.229047785745706
J03-D01-no-dictionary-focal	J03	ctm-J03-D00	ctm-J03-D01	no-dictionary-focal	1.4931716918945312	0.8871650695800781	0.8871650695800781	无	unchanged	71.26798480643141
J03-D01-no-dictionary-preceding	J03	ctm-J03-D00	ctm-J03-D01	no-dictionary-preceding	0.6744384765625	0.06843185424804688	0.06843185424804688	无	unchanged	21.620500411828523
J04-D01-upstream	J04	ctm-J04-D02	ctm-J04-D01	upstream	-18.860767364501953	0.2075958251953125	-0.2075958251953125	有	unchanged	35.479483032108874
J04-D01-preceding	J04	ctm-J04-D02	ctm-J04-D01	preceding	-19.121524810791016	-0.05316162109375	0.05316162109375	有	unchanged	27.918059491430284
J04-D01-no-dictionary-focal	J04	ctm-J04-D00	ctm-J04-D01	no-dictionary-focal	-18.505882263183594	0.5624809265136719	-0.5624809265136719	有	unchanged	79.34647805418068
J04-D01-no-dictionary-preceding	J04	ctm-J04-D00	ctm-J04-D01	no-dictionary-preceding	-19.013530731201172	0.05483245849609375	-0.05483245849609375	有	unchanged	39.52102650397638
G01-D01-upstream	G01	ctm-G01-D02	ctm-G01-D01	upstream	17.433124542236328	-1.8631744384765625	-1.8631744384765625	无	unchanged	13.054951468888294
G01-D01-preceding	G01	ctm-G01-D02	ctm-G01-D01	preceding	19.188091278076172	-0.10820770263671875	-0.10820770263671875	无	unchanged	8.111289023406128
G01-D01-no-dictionary-focal	G01	ctm-G01-D00	ctm-G01-D01	no-dictionary-focal	21.794445037841797	2.4981460571289062	2.4981460571289062	无	unchanged	43.843847271038186
G01-D01-no-dictionary-preceding	G01	ctm-G01-D00	ctm-G01-D01	no-dictionary-preceding	19.291461944580078	-0.0048370361328125	-0.0048370361328125	无	unchanged	5.38097584238679
G02-D01-upstream	G02	ctm-G02-D02	ctm-G02-D01	upstream	-23.21869659423828	0.08301162719726562	-0.08301162719726562	有	unchanged	20.816468631744122
G02-D01-preceding	G02	ctm-G02-D02	ctm-G02-D01	preceding	-23.3201904296875	-0.018482208251953125	0.018482208251953125	有	unchanged	6.46050776339694
G02-D01-no-dictionary-focal	G02	ctm-G02-D00	ctm-G02-D01	no-dictionary-focal	-23.562580108642578	-0.26087188720703125	0.26087188720703125	有	unchanged	39.49439381756966
G02-D01-no-dictionary-preceding	G02	ctm-G02-D00	ctm-G02-D01	no-dictionary-preceding	-23.368946075439453	-0.06723785400390625	0.06723785400390625	有	unchanged	12.860715719931665
G03-D01-upstream	G03	ctm-G03-D02	ctm-G03-D01	upstream	-24.3740177154541	-0.0052165985107421875	-0.0052165985107421875	有	unchanged	15.230344570082975
G03-D01-preceding	G03	ctm-G03-D02	ctm-G03-D01	preceding	-24.367948532104492	0.0008525848388671875	0.0008525848388671875	有	unchanged	4.6351633749161865
G03-D01-no-dictionary-focal	G03	ctm-G03-D00	ctm-G03-D01	no-dictionary-focal	-24.503395080566406	-0.13459396362304688	-0.13459396362304688	有	unchanged	44.99592001068918
G03-D01-no-dictionary-preceding	G03	ctm-G03-D00	ctm-G03-D01	no-dictionary-preceding	-24.34895133972168	0.019849777221679688	0.019849777221679688	有	unchanged	7.807707805947371
G04-D01-upstream	G04	ctm-G04-D02	ctm-G04-D01	upstream	-24.795730590820312	-0.0043487548828125	0.0043487548828125	有	unchanged	18.573563016396047
G04-D01-preceding	G04	ctm-G04-D02	ctm-G04-D01	preceding	-24.789104461669922	0.002277374267578125	-0.002277374267578125	有	unchanged	13.735948713596175
G04-D01-no-dictionary-focal	G04	ctm-G04-D00	ctm-G04-D01	no-dictionary-focal	-24.902660369873047	-0.11127853393554688	0.11127853393554688	有	unchanged	42.55508536124348
G04-D01-no-dictionary-preceding	G04	ctm-G04-D00	ctm-G04-D01	no-dictionary-preceding	-24.790061950683594	0.00131988525390625	-0.00131988525390625	有	unchanged	9.344666453141159
B01-D01-upstream	B01	ctm-B01-D02	ctm-B01-D01	upstream	-19.078372955322266	1.1116981506347656	1.1116981506347656	有	unchanged	28.40485548562615
B01-D01-preceding	B01	ctm-B01-D02	ctm-B01-D01	preceding	-20.18035888671875	0.00971221923828125	0.00971221923828125	有	unchanged	7.257304113008668
B01-D01-no-dictionary-focal	B01	ctm-B01-D00	ctm-B01-D01	no-dictionary-focal	-17.454750061035156	2.735321044921875	2.735321044921875	有	unchanged	55.51628274162488
B01-D01-no-dictionary-preceding	B01	ctm-B01-D00	ctm-B01-D01	no-dictionary-preceding	-20.18642807006836	0.003643035888671875	0.003643035888671875	有	unchanged	8.804179969821265
B02-D01-upstream	B02	ctm-B02-D02	ctm-B02-D01	upstream	-19.792499542236328	1.2792587280273438	-1.2792587280273438	有	unchanged	36.22780093270982
B02-D01-preceding	B02	ctm-B02-D02	ctm-B02-D01	preceding	-21.117141723632812	-0.045383453369140625	0.045383453369140625	有	unchanged	12.79361113490329
B02-D01-no-dictionary-focal	B02	ctm-B02-D00	ctm-B02-D01	no-dictionary-focal	-19.338294982910156	1.7334632873535156	-1.7334632873535156	有	unchanged	57.24292901346653
B02-D01-no-dictionary-preceding	B02	ctm-B02-D00	ctm-B02-D01	no-dictionary-preceding	-21.087242126464844	-0.015483856201171875	0.015483856201171875	有	unchanged	14.941098020610442
B03-D01-upstream	B03	ctm-B03-D02	ctm-B03-D01	upstream	-13.996807098388672	-2.951221466064453	-2.951221466064453	有	unchanged	35.77602309161749
B03-D01-preceding	B03	ctm-B03-D02	ctm-B03-D01	preceding	-11.212272644042969	-0.16668701171875	-0.16668701171875	有	unchanged	11.8660069209414
B03-D01-no-dictionary-focal	B03	ctm-B03-D00	ctm-B03-D01	no-dictionary-focal	-8.163761138916016	2.881824493408203	2.881824493408203	有	unchanged	66.08785294032573
B03-D01-no-dictionary-preceding	B03	ctm-B03-D00	ctm-B03-D01	no-dictionary-preceding	-11.270950317382812	-0.22536468505859375	-0.22536468505859375	有	unchanged	13.336070615381715
B04-D01-upstream	B04	ctm-B04-D02	ctm-B04-D01	upstream	-21.977718353271484	0.1173248291015625	-0.1173248291015625	有	unchanged	35.70855127311352
B04-D01-preceding	B04	ctm-B04-D02	ctm-B04-D01	preceding	-22.08285903930664	0.01218414306640625	-0.01218414306640625	有	unchanged	10.501863672018217
B04-D01-no-dictionary-focal	B04	ctm-B04-D00	ctm-B04-D01	no-dictionary-focal	-22.054630279541016	0.04041290283203125	-0.04041290283203125	有	unchanged	59.11763921424386
B04-D01-no-dictionary-preceding	B04	ctm-B04-D00	ctm-B04-D01	no-dictionary-preceding	-22.068527221679688	0.026515960693359375	-0.026515960693359375	有	unchanged	15.877303785060532
