request_id	role	positions	applicable
ccr-541-C0-base	pre_answer	[583]	True
ccr-541-C0-base	lexicon_end	[]	False
ccr-541-C0-base	demos_end	[]	False
ccr-541-C0-base	query_end	[574]	True
ccr-541-C0-base	query_all	[554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 574]	True
ccr-541-C0-base	query_focal	[568, 569]	True
ccr-541-D-base	pre_answer	[1290]	True
ccr-541-D-base	lexicon_end	[]	False
ccr-541-D-base	demos_end	[1254]	True
ccr-541-D-base	query_end	[1281]	True
ccr-541-D-base	query_all	[1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281]	True
ccr-541-D-base	query_focal	[1275, 1276]	True
ccr-541-L-base	pre_answer	[630]	True
ccr-541-L-base	lexicon_end	[585]	True
ccr-541-L-base	demos_end	[]	False
ccr-541-L-base	query_end	[621]	True
ccr-541-L-base	query_all	[601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621]	True
ccr-541-L-base	query_focal	[615, 616]	True
ccr-541-LD-base	pre_answer	[1337]	True
ccr-541-LD-base	lexicon_end	[585]	True
ccr-541-LD-base	demos_end	[1301]	True
ccr-541-LD-base	query_end	[1328]	True
ccr-541-LD-base	query_all	[1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328]	True
ccr-541-LD-base	query_focal	[1322, 1323]	True
ccr-3169-C0-base	pre_answer	[572]	True
ccr-3169-C0-base	lexicon_end	[]	False
ccr-3169-C0-base	demos_end	[]	False
ccr-3169-C0-base	query_end	[563]	True
ccr-3169-C0-base	query_all	[554, 555, 556, 557, 558, 559, 560, 561, 562, 563]	True
ccr-3169-C0-base	query_focal	[557, 558]	True
ccr-3169-D-base	pre_answer	[921]	True
ccr-3169-D-base	lexicon_end	[]	False
ccr-3169-D-base	demos_end	[896]	True
ccr-3169-D-base	query_end	[912]	True
ccr-3169-D-base	query_all	[903, 904, 905, 906, 907, 908, 909, 910, 911, 912]	True
ccr-3169-D-base	query_focal	[906, 907]	True
ccr-3169-L-base	pre_answer	[812]	True
ccr-3169-L-base	lexicon_end	[778]	True
ccr-3169-L-base	demos_end	[]	False
ccr-3169-L-base	query_end	[803]	True
ccr-3169-L-base	query_all	[794, 795, 796, 797, 798, 799, 800, 801, 802, 803]	True
ccr-3169-L-base	query_focal	[797, 798]	True
ccr-3169-LD-base	pre_answer	[1161]	True
ccr-3169-LD-base	lexicon_end	[778]	True
ccr-3169-LD-base	demos_end	[1136]	True
ccr-3169-LD-base	query_end	[1152]	True
ccr-3169-LD-base	query_all	[1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150, 1151, 1152]	True
ccr-3169-LD-base	query_focal	[1146, 1147]	True
ccr-541-D-A01	pre_answer	[1290]	True
ccr-541-D-A01	lexicon_end	[]	False
ccr-541-D-A01	demos_end	[1254]	True
ccr-541-D-A01	query_end	[1281]	True
ccr-541-D-A01	query_all	[1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281]	True
ccr-541-D-A01	query_focal	[1275, 1276]	True
ccr-541-LD-A01	pre_answer	[1337]	True
ccr-541-LD-A01	lexicon_end	[585]	True
ccr-541-LD-A01	demos_end	[1301]	True
ccr-541-LD-A01	query_end	[1328]	True
ccr-541-LD-A01	query_all	[1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328]	True
ccr-541-LD-A01	query_focal	[1322, 1323]	True
ccr-541-D-A02	pre_answer	[1290]	True
ccr-541-D-A02	lexicon_end	[]	False
ccr-541-D-A02	demos_end	[1254]	True
ccr-541-D-A02	query_end	[1281]	True
ccr-541-D-A02	query_all	[1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281]	True
ccr-541-D-A02	query_focal	[1275, 1276]	True
ccr-541-LD-A02	pre_answer	[1337]	True
ccr-541-LD-A02	lexicon_end	[585]	True
ccr-541-LD-A02	demos_end	[1301]	True
