rank	term	category	confidence	total_count	hate_count	non_hate_count	annotation_count	definition	reason
1	基佬	LGBTQ	0.95	97	97	0	113	对男同性恋的蔑称，常被用于贬低、侮辱或歧视同性恋者。	数据集全部97个实例均标注为仇恨言论，主要针对LGBTQ群体；网络证据明确将其列为歧视语；样本上下文显示其用于贬低同性恋者，如“基佬危害大”、“艾基”等。
2	幕刃	Sexism	0.95	52	52	0	60	幕刃是'母人'的谐音，在中文网络语境中用作对女性的侮辱性称呼，常出现在性别歧视和仇恨言论中。	数据集所有样本均为仇恨标签，且网络证据明确显示该词为侮辱女性的谐音词，结合高精度和高纯度，应纳入研究词典。
3	舔狗	Sexism	0.95	63	62	1	62	用于贬低在恋爱或社交关系中过度讨好、奉承对方（尤其是女性）的人，常伴随对女性的物化和贬低，强化性别刻板印象。	数据集显示62/63为仇恨样本，主要归类为性别歧视；网络证据确认其侮辱性和性别歧视含义。
4	国际鬼子虫类及其	Racism	0.95	15	15	0	16	该术语用于指代非华裔群体，将其非人化地称为‘虫类’、‘虫混’，并否定其人类属性，煽动种族仇恨。	数据集和网络证据均显示该术语在多个样本中明确用于种族歧视，伴随非人化描述，且无任何非仇恨用法。
5	鬼子虫类及其它们	Racism	1.0	15	15	0	16	该词组将非华人群体非人化为'虫类'，并搭配'鬼子'等歧视性词汇，用于贬低和攻击特定种族或国籍的人，属于种族歧视性仇恨言论。	数据集和网络证据均一致表明该词组仅用于仇恨言论，将目标群体非人化并贬低，具有强烈的种族主义色彩。
6	黑蛆	Racism	1.0	18	18	0	22	对黑人群体的侮辱性称呼，将黑人比作蛆虫，暗示其肮脏、低贱，常与暴力清除言论关联。	所有样本均用于攻击黑人群体，带有强烈贬低和仇恨色彩，且无其他非仇恨用法。
7	国际鬼子	Racism	1.0	16	16	0	17	用于贬低和侮辱非华裔外国人，常与'虫类'、'虫混'等非人化词汇连用，表达种族仇恨和歧视。	所有16个样本均标注为仇恨，且全部属于种族主义类别；网络证据确认'鬼子'为歧视性用语，'国际鬼子'整体用于贬低外国人。
8	虫类及其它们后代	Racism	0.95	19	19	0	19	将特定种族群体非人化为虫类及其后代，表达仇恨和歧视，属于种族主义仇恨言论。	数据集所有19个样本均为仇恨言论，主要针对种族群体，使用非人化比喻；网络证据确认类似表述（如‘蝗虫’）常用于贬低内地人，具有侮辱性。
9	及其它们后代	Racism	0.95	20	20	0	20	该短语用于将特定群体及其后代非人化，常与'虫类'等贬义词汇连用，表达种族歧视和仇恨。	数据集显示该短语100%用于仇恨语境，主要针对种族歧视；网络证据也支持其非人化侮辱性用法。
10	小仙女	Sexism	0.97	60	59	1	65	在中文网络语境中，“小仙女”被用作对女性的贬义称呼，常指代那些被认为自私、无理取闹、虚荣、自恋或具有应得心态的女性，用于攻击或贬低女性群体。	数据集显示59/60为仇恨标签，主要类别为性别歧视；网络证据表明该词已广泛用作贬义，指代具有应得心态的女性，符合仇恨/攻击性群体指称词特征。
11	虫类及其	Racism	0.95	20	20	0	20	该术语用于指代非华裔群体，常与'国际鬼子'等词连用，将人贬低为虫类，带有强烈的种族歧视和仇恨色彩。	数据集100%标注为仇恨言论，主要针对种族主义；网络证据显示该术语与'Ching chong'等辱华词汇相关，用于贬低非华裔群体。
12	虫类	Racism	0.95	24	24	0	24	用于指代特定种族群体，常与“国际鬼子”、“虫混”等词连用，表达歧视和仇恨，属于种族主义仇恨言论。	数据集24个样本全部标注为仇恨，且主要类别为种族主义；网络证据显示类似词汇（如清虫）被用作种族歧视用语。
13	媚外	Racism	0.95	29	29	0	24	用于贬低那些偏好外国（尤其是西方）文化或与外国人交往的中国人，常特指中国女性，暗示其背叛民族或缺乏自尊，带有种族主义和性别歧视色彩。	该词在数据集中全部29个样本均被标注为仇恨言论，且常与种族主义和性别歧视关联，用于攻击性语境。网络证据也证实其具有侮辱性和攻击性，符合仇恨言论定义。
14	及其它们后代虫	Racism	0.95	16	16	0	15	该短语将特定种族群体非人化为“虫”，并强调其“后代”，用于贬低和攻击该群体及其后代，具有强烈的种族歧视和仇恨色彩。	数据集所有16个样本均为仇恨言论，标注为种族歧视，且无任何非仇恨用法。网络证据虽未直接解释该短语，但样本上下文明确显示其用于攻击特定种族，将目标群体非人化为“虫”，并强调“后代”，具有强烈的种族歧视和仇恨色彩。
15	通讯录	LGBTQ	0.95	19	19	0	22	在中文网络语境中，'通讯录'被用作对同性恋群体的贬义称呼，常与'怪物'、'nt'等侮辱性词汇连用，表达歧视和仇恨。	所有标注样本均为仇恨言论，且主要针对LGBTQ群体；网络证据显示该词在中文网络中被用作歧视性用语。
16	它们后代虫混	Racism	0.95	16	16	0	13	该短语将非白人群体非人化为‘虫类’及其后代，并冠以‘虫混’（虫类混血）的侮辱性称呼，用于表达极端的种族仇恨和歧视。	数据集显示该短语100%用于仇恨言论，所有标注均为种族主义类别；样本中明确用于贬低非白人群体，将其比作虫类及其后代，带有强烈的非人化和种族歧视色彩。网络证据虽未直接收录该短语，但相关搜索结果显示其被用于种族侮辱语境。综合判断，该短语是种族仇恨用语。
17	后代虫混	Racism	0.95	17	17	0	14	该术语将非白人群体贬低为‘虫类’及其‘后代虫混’，暗示其非人化、低等，用于表达种族歧视和仇恨。	数据集和网络证据均一致表明该术语在上下文中明确用于种族主义仇恨言论，所有样本均标注为仇恨且类别为种族主义，无任何非仇恨用法。
18	倒贴	Sexism	0.95	24	24	0	19	用于贬低与外国人（尤其是黑人）交往的中国女性，暗示她们不自重、自降身价，常与'黑老丑'、'垃圾'等侮辱性词汇连用，带有性别歧视和种族歧视色彩。	所有标注样本均为仇恨言论，且主要归类为性别歧视和种族歧视；网络证据也显示该词常用于歧视性语境。
19	母狗	Sexism	0.95	12	12	0	13	用于侮辱女性，暗示其淫荡、下贱或物化女性，具有强烈的性别歧视和攻击性。	数据集所有12个样本均为仇恨标注，主要归类为性别歧视；网络证据显示该词广泛用作侮辱女性的词汇，具有明确的性别歧视和物化色彩。
20	虫混	Racism	0.95	19	19	0	17	用于指代非白人群体的后代，常与'虫类'、'国际鬼子'等词连用，将人比作虫子，表达种族歧视和去人性化仇恨。	该词在数据集中全部19个样本均标注为仇恨，且与'虫类'、'国际鬼子'等种族侮辱性词汇并列使用，明确针对非白人群体，表达歧视和仇恨。网络证据显示'虫'相关词汇常用于种族歧视语境（如Ching chong），进一步支持其仇恨属性。
21	烂裤	Sexism	0.95	12	12	0	14	该词是'烂裤裆'的缩写，用于侮辱女性，指责其性行为不检点或生活作风放荡，带有强烈的性别歧视和仇恨色彩。	数据集所有样本均为仇恨标签，且网络证据一致表明该词是侮辱女性的性别歧视黑话，无任何非仇恨用法。
22	拳师	Sexism	0.95	28	27	1	30	用于贬低和攻击女权主义者的侮辱性称呼，暗示其好斗、无理、极端，常与性别对立和仇恨言论相关联。	数据集显示该词在28个样本中有27个被标注为仇恨言论，主要归类为性别歧视；网络证据也证实其作为侮辱性黑话广泛用于攻击女权主义者。
23	仙女	Sexism	0.96	78	76	2	84	在中文网络语境中，“仙女”或“小仙女”常被用作对女性的贬义称呼，用于嘲讽或贬低女性，暗示其自私、无理取闹、双标等负面特质，属于性别歧视性语言。	数据集显示该词在76个样本中被标注为仇恨内容，主要归类为性别歧视，且网络证据支持其在中文语境中作为性别歧视用语的用法。
24	黑北	Region	0.95	18	18	0	19	用于贬低、攻击中国北方地区人群的歧视性用语，常出现在地域黑言论中。	该词在数据集所有样本中均被标注为仇恨言论，且上下文明确指向地域歧视，如'黑北方的总部是广州'、'黑北方的都是南蛮'。网络证据虽未直接匹配，但结合样本语境，其作为地域歧视用语的特征明显。
25	中国男性	Sexism	0.9	17	17	0	8	该术语在仇恨言论语境中用于贬低中国男性群体，常与性别歧视和种族歧视言论结合，例如将中国男性描述为软弱、不如其他种族男性，或指责中国女性媚外归咎于中国男性。	数据集所有标注样本均为仇恨言论，主要类别为性别歧视，且结合种族歧视；网络证据显示该词在特定语境下被用作侮辱性词汇。综合判断应纳入研究词典。
26	黑人男	Racism	0.95	21	21	0	20	该术语在中文网络语境中常被用于贬低和攻击黑人男性群体，伴随负面刻板印象（如体味、艾滋病风险、性侵犯等），构成种族歧视和性别歧视。	数据集所有样本均为仇恨言论，且主要类别为种族主义；网络证据显示该词常出现在歧视性语境中。
27	黑北方	Region	0.95	14	14	0	15	用于贬低、攻击中国北方地区人群的歧视性用语，常与'黑河南'等类似表达并列，构成地域仇恨言论。	数据集所有标注均为仇恨言论，样本明确用于地域攻击；网络证据显示该词在中文语境中作为地域歧视用语使用。
