condition_id	query_id	family_id	analysis_role	source_frame	adopted_reference	qwen3-8b_m	qwen3-8b_margin_error_bound	qwen3-8b_raw_prediction	qwen3-8b_raw_correct	qwen3-8b_conservative_correct	qwen3-8b_legal_mass	qwen3-8b_physical_score_id	qwen3-8b_origin	qwen3-14b_m	qwen3-14b_margin_error_bound	qwen3-14b_raw_prediction	qwen3-14b_raw_correct	qwen3-14b_conservative_correct	qwen3-14b_legal_mass	qwen3-14b_physical_score_id	qwen3-14b_origin	glm4-9b-chat_m	glm4-9b-chat_margin_error_bound	glm4-9b-chat_raw_prediction	glm4-9b-chat_raw_correct	glm4-9b-chat_conservative_correct	glm4-9b-chat_legal_mass	glm4-9b-chat_physical_score_id	glm4-9b-chat_origin
CTD2-B1-L-other_A	CTD-B1-v2	CTD-family-03	legacy_exposed_development	legacy_core	有	-25.20475959777832	1e-06	有	True	True	0.9999999999808509	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-026	historical_science_reused	-32.47007179260254	0.00029754638671875	有	True	True	0.9999999999983515	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B1-L-other_A	new_sealed_production	-4.086219787597656	7.2479248046875e-05	有	True	True	0.999651768729699	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B1-L-other_A	new_sealed_production
CTD2-B1-L-other_B	CTD-B1-v2	CTD-family-03	legacy_exposed_development	legacy_core	有	-24.00774574279785	1e-06	有	True	True	0.99999999998645	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-028	historical_science_reused	-32.396915435791016	0.00029754638671875	有	True	True	0.999999999998586	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B1-L-other_B	new_sealed_production	-4.15785026550293	7.2479248046875e-05	有	True	True	0.9996494093726902	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B1-L-other_B	new_sealed_production
CTD2-B1-absent-other_A	CTD-B1-v2	CTD-family-03	legacy_exposed_development	legacy_core	有	-24.413381576538086	1e-06	有	True	True	0.9999999999846452	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-025	historical_science_reused	-26.33956527709961	0.00029754638671875	有	True	True	0.9999999999999005	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B1-absent-other_A	new_sealed_production	-3.1775264739990234	7.2479248046875e-05	有	True	True	0.9995514895630537	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B1-absent-other_A	new_sealed_production
CTD2-B1-absent-other_B	CTD-B1-v2	CTD-family-03	legacy_exposed_development	legacy_core	有	-25.102170944213867	1e-06	有	True	True	0.9999999999926956	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-027	historical_science_reused	-18.482940673828125	0.00029754638671875	有	True	True	0.9999999999933991	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B1-absent-other_B	new_sealed_production	-2.699909210205078	7.2479248046875e-05	有	True	True	0.9994513454849214	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B1-absent-other_B	new_sealed_production
CTD2-B2-L-other_A	CTD-B2-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	29.194639205932617	1e-06	无	True	True	0.9999984971850603	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-029	historical_science_reused	32.603742599487305	0.00029754638671875	无	True	True	0.9999999801518842	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B2-L-other_A	new_sealed_production	10.483766555786133	7.2479248046875e-05	无	True	True	0.9998177590412092	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B2-L-other_A	new_sealed_production
CTD2-B2-L-other_B	CTD-B2-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	30.41295051574707	1e-06	无	True	True	0.9999978855238085	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-030	historical_science_reused	33.65911293029785	0.00029754638671875	无	True	True	0.9999999893964359	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B2-L-other_B	new_sealed_production	9.86709976196289	7.2479248046875e-05	无	True	True	0.9998183432326733	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B2-L-other_B	new_sealed_production
CTD2-B3-L-other_A	CTD-B3-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	-17.465286254882812	1e-06	有	False	False	0.9999999999898179	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-032	historical_science_reused	-17.102474212646484	0.00029754638671875	有	False	False	0.9999999999997584	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B3-L-other_A	new_sealed_production	-3.0345382690429688	7.2479248046875e-05	有	False	False	0.9994667649427217	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B3-L-other_A	new_sealed_production
CTD2-B3-L-other_B	CTD-B3-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	-11.77206039428711	1e-06	有	False	False	0.99999999998969	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-034	historical_science_reused	-17.647937774658203	0.00029754638671875	有	False	False	0.9999999999993392	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B3-L-other_B	new_sealed_production	-2.9351654052734375	7.2479248046875e-05	有	False	False	0.9995100507801582	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B3-L-other_B	new_sealed_production
CTD2-B3-absent-other_A	CTD-B3-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	-15.485332489013672	1e-06	有	False	False	0.9999999999820091	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-031	historical_science_reused	-11.122871398925781	0.00029754638671875	有	False	False	0.9999999999999716	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B3-absent-other_A	new_sealed_production	-3.2223567962646484	7.2479248046875e-05	有	False	False	0.9995569547086247	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B3-absent-other_A	new_sealed_production
CTD2-B3-absent-other_B	CTD-B3-v2	CTD-family-03	legacy_exposed_development	legacy_core	无	-8.045669555664062	1e-06	有	False	False	0.9999999999283347	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-033	historical_science_reused	-16.452472686767578	0.00029754638671875	有	False	False	0.999999999999929	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CTD2-B3-absent-other_B	new_sealed_production	-3.960355758666992	7.2479248046875e-05	有	False	False	0.9996963503351098	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CTD2-B3-absent-other_B	new_sealed_production
