query_id,condition,family,prompt_tokens,demo_order,query_span,proof
541,R-A,first_batch_reference,918,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[876,909]",historical_replay
541,R-B,first_batch_reference,855,"[""2129"",""4041"",""1573"",""5612"",""1289"",""2430"",""7499"",""3156"",""4956""]","[813,846]",historical_replay
541,R-C1,first_batch_reference,918,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[876,909]",historical_replay
541,R-C2,first_batch_reference,918,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[876,909]",historical_replay
541,R-D1,first_batch_reference,918,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[876,909]",historical_replay
541,R-D2,first_batch_reference,918,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[876,909]",historical_replay
541,P0-A,position_common_background,930,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[888,921]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":12,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":12}"
541,P1-A,position_swapped,930,"[""2129"",""4041"",""1573"",""5612"",""3156"",""1289"",""2430"",""7499"",""826"",""4956""]","[888,921]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":930,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":9,""target_slot_before"":5}"
541,P0-C1,position_common_background,930,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[888,921]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":12,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":12}"
541,P1-C1,position_swapped,930,"[""2129"",""4041"",""1573"",""5612"",""3156"",""1289"",""2430"",""7499"",""826"",""4956""]","[888,921]","{""absolute_single_example_position_isolated"":false,""all_other_tokens_fixed"":true,""labels_fixed_at_each_slot"":true,""passed"":true,""prompt_tokens"":930,""query_position_fixed"":true,""scope"":""two_example_relative_order_in_common_rewritten_background"",""slot_boundaries_and_answer_positions_fixed"":true,""target_slot_after"":9,""target_slot_before"":5}"
541,P0-C2,position_common_background,930,"[""2129"",""4041"",""1573"",""5612"",""826"",""1289"",""2430"",""7499"",""3156"",""4956""]","[888,921]","{""passed"":true,""prefix_and_suffix_token_ids_preserved"":true,""pure_length_effect_isolated"":false,""query_token_shift"":12,""scope"":""natural_wording_length_and_downstream_position_change"",""suffix_anchor"":""unchanged_example_answer_including_boundary_token"",""token_delta"":12}"
