contrast_id,query_id,task,kind,terms,score_mode,non_hate_margin_effect,original_margin_effect,reviewed_margin_effect,human_mechanism_judgment
EPL-541:position-A,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3461189270019531}",-0.3461189270019531,-0.3461189270019531,False
EPL-541:position-A,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.08807042439778648}",-0.08807042439778648,-0.08807042439778648,False
EPL-541:position-A,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",total_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3461189270019531}",-0.3461189270019531,-0.3461189270019531,False
EPL-541:position-A,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",mean_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.06946563720703125}",-0.06946563720703125,-0.06946563720703125,False
EPL-541:background-A,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9635467529296875}",-0.9635467529296875,-0.9635467529296875,False
EPL-541:background-A,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3471028645833333}",-0.3471028645833333,-0.3471028645833333,False
EPL-541:background-A,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]",total_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9635467529296875}",-0.9635467529296875,-0.9635467529296875,False
EPL-541:background-A,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]",mean_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.2570870717366537}",-0.2570870717366537,-0.2570870717366537,False
EPL-541:position-C1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]",answer_sum,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.08896255493164062}",0.08896255493164062,0.08896255493164062,False
EPL-541:position-C1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]",answer_mean,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.003101857503255201}",0.003101857503255201,0.003101857503255201,False
EPL-541:position-C1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]",total_with_eos,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.08896255493164062}",0.08896255493164062,0.08896255493164062,False
EPL-541:position-C1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]",mean_with_eos,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.005645434061686216}",0.005645434061686216,0.005645434061686216,False
EPL-541:background-C1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9303398132324219}",-0.9303398132324219,-0.9303398132324219,False
EPL-541:background-C1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3792701721191406}",-0.3792701721191406,-0.3792701721191406,False
EPL-541:background-C1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]",total_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9303398132324219}",-0.9303398132324219,-0.9303398132324219,False
EPL-541:background-C1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]",mean_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.2758080164591471}",-0.2758080164591471,-0.2758080164591471,False
EPL-541:position-C2,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]",answer_sum,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.20859909057617188}",0.20859909057617188,0.20859909057617188,False
EPL-541:position-C2,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]",answer_mean,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.03195775349934893}",0.03195775349934893,0.03195775349934893,False
EPL-541:position-C2,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]",total_with_eos,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.20859909057617188}",0.20859909057617188,0.20859909057617188,False
EPL-541:position-C2,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]",mean_with_eos,"{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.02866522471110025}",0.02866522471110025,0.02866522471110025,False
EPL-541:background-C2,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-1.0008087158203125}",-1.0008087158203125,-1.0008087158203125,False
EPL-541:background-C2,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3789871215820313}",-0.3789871215820313,-0.3789871215820313,False
EPL-541:background-C2,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]",total_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-1.0008087158203125}",-1.0008087158203125,-1.0008087158203125,False
EPL-541:background-C2,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]",mean_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.2785673141479492}",-0.2785673141479492,-0.2785673141479492,False
EPL-541:position-D1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.0914306640625}",-0.0914306640625,-0.0914306640625,False
EPL-541:position-D1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.029690551757812517}",-0.029690551757812517,-0.029690551757812517,False
EPL-541:position-D1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]",total_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.0914306640625}",-0.0914306640625,-0.0914306640625,False
EPL-541:position-D1,541,hate,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]",mean_with_eos,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.02236620585123697}",-0.02236620585123697,-0.02236620585123697,False
EPL-541:background-D1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""R-D1""}]",answer_sum,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9369430541992188}",-0.9369430541992188,-0.9369430541992188,False
EPL-541:background-D1,541,hate,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""R-D1""}]",answer_mean,"{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.33984375}",-0.33984375,-0.33984375,False
