record_id,protocol_id,query_id,task,condition,score_mode,prediction,prediction_ordinal,original_reference,reviewed_reference,original_correct,reviewed_correct,original_margin,reviewed_margin,fixed_foil,fixed_foil_margin,hate_direction,label_margins,top_gap,tied_top_count,prompt_tokens,prompt_sha256,baseline_replay,non_hate_margin
EPL-541-hate-v1:L,EMF-541-hate-v1,541,hate,L,answer_sum,non-hate,1,non-hate,non-hate,True,True,0.17718124389648438,0.17718124389648438,null,null,-0.17718124389648438,"{""hate"":-0.17718124389648438}",0.17718124389648438,1,938,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,False,0.17718124389648438
EPL-541-hate-v1:L,EMF-541-hate-v1,541,hate,L,answer_mean,non-hate,1,non-hate,non-hate,True,True,0.16093622843424482,0.16093622843424482,null,null,-0.16093622843424482,"{""hate"":-0.16093622843424482}",0.16093622843424482,1,938,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,False,0.16093622843424482
EPL-541-hate-v1:L,EMF-541-hate-v1,541,hate,L,total_with_eos,non-hate,1,non-hate,non-hate,True,True,0.17718124389648438,0.17718124389648438,null,null,-0.17718124389648438,"{""hate"":-0.17718124389648438}",0.17718124389648438,1,938,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,False,0.17718124389648438
EPL-541-hate-v1:L,EMF-541-hate-v1,541,hate,L,mean_with_eos,non-hate,1,non-hate,non-hate,True,True,0.10796769460042319,0.10796769460042319,null,null,-0.10796769460042319,"{""hate"":-0.10796769460042319}",0.10796769460042319,1,938,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,False,0.10796769460042319
EPL-3169-hate-v1:L,EMF-3169-hate-v1,3169,hate,L,answer_sum,hate,0,non-hate,non-hate,False,False,-2.9013023376464844,-2.9013023376464844,null,null,2.9013023376464844,"{""hate"":2.9013023376464844}",2.9013023376464844,1,749,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,False,-2.9013023376464844
EPL-3169-hate-v1:L,EMF-3169-hate-v1,3169,hate,L,answer_mean,hate,0,non-hate,non-hate,False,False,-0.5696144104003906,-0.5696144104003906,null,null,0.5696144104003906,"{""hate"":0.5696144104003906}",0.5696144104003906,1,749,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,False,-0.5696144104003906
EPL-3169-hate-v1:L,EMF-3169-hate-v1,3169,hate,L,total_with_eos,hate,0,non-hate,non-hate,False,False,-2.9013023376464844,-2.9013023376464844,null,null,2.9013023376464844,"{""hate"":2.9013023376464844}",2.9013023376464844,1,749,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,False,-2.9013023376464844
EPL-3169-hate-v1:L,EMF-3169-hate-v1,3169,hate,L,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.47689660390218097,-0.47689660390218097,null,null,0.47689660390218097,"{""hate"":0.47689660390218097}",0.47689660390218097,1,749,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,False,-0.47689660390218097
EPL-541-hate-v1:P0-A,EMF-541-hate-v1,541,hate,P0-A,answer_sum,hate,0,non-hate,non-hate,False,False,-0.3841705322265625,-0.3841705322265625,null,null,0.3841705322265625,"{""hate"":0.3841705322265625}",0.3841705322265625,1,930,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,False,-0.3841705322265625
EPL-541-hate-v1:P0-A,EMF-541-hate-v1,541,hate,P0-A,answer_mean,non-hate,1,non-hate,non-hate,True,True,0.004477437337239598,0.004477437337239598,null,null,-0.004477437337239598,"{""hate"":-0.004477437337239598}",0.004477437337239598,1,930,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,False,0.004477437337239598
EPL-541-hate-v1:P0-A,EMF-541-hate-v1,541,hate,P0-A,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.3841705322265625,-0.3841705322265625,null,null,0.3841705322265625,"{""hate"":0.3841705322265625}",0.3841705322265625,1,930,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,False,-0.3841705322265625
EPL-541-hate-v1:P0-A,EMF-541-hate-v1,541,hate,P0-A,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.013208707173665374,-0.013208707173665374,null,null,0.013208707173665374,"{""hate"":0.013208707173665374}",0.013208707173665374,1,930,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,False,-0.013208707173665374
EPL-3169-hate-v1:P0-A,EMF-3169-hate-v1,3169,hate,P0-A,answer_sum,hate,0,non-hate,non-hate,False,False,-3.6463584899902344,-3.6463584899902344,null,null,3.6463584899902344,"{""hate"":3.6463584899902344}",3.6463584899902344,1,743,7b114347fa418eb96445af6ab84e10a5e8f76c8ceebd183e08ab4d9c62b18a49,False,-3.6463584899902344
EPL-3169-hate-v1:P0-A,EMF-3169-hate-v1,3169,hate,P0-A,answer_mean,hate,0,non-hate,non-hate,False,False,-0.719079844156901,-0.719079844156901,null,null,0.719079844156901,"{""hate"":0.719079844156901}",0.719079844156901,1,743,7b114347fa418eb96445af6ab84e10a5e8f76c8ceebd183e08ab4d9c62b18a49,False,-0.719079844156901
EPL-3169-hate-v1:P0-A,EMF-3169-hate-v1,3169,hate,P0-A,total_with_eos,hate,0,non-hate,non-hate,False,False,-3.6463584899902344,-3.6463584899902344,null,null,3.6463584899902344,"{""hate"":3.6463584899902344}",3.6463584899902344,1,743,7b114347fa418eb96445af6ab84e10a5e8f76c8ceebd183e08ab4d9c62b18a49,False,-3.6463584899902344
EPL-3169-hate-v1:P0-A,EMF-3169-hate-v1,3169,hate,P0-A,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.6013565063476562,-0.6013565063476562,null,null,0.6013565063476562,"{""hate"":0.6013565063476562}",0.6013565063476562,1,743,7b114347fa418eb96445af6ab84e10a5e8f76c8ceebd183e08ab4d9c62b18a49,False,-0.6013565063476562
EPL-541-hate-v1:P0-C1,EMF-541-hate-v1,541,hate,P0-C1,answer_sum,hate,0,non-hate,non-hate,False,False,-0.6936073303222656,-0.6936073303222656,null,null,0.6936073303222656,"{""hate"":0.6936073303222656}",0.6936073303222656,1,930,c93b16d28a3e948ac509c8e9e83b4c650ac86c53a7f71debc8a36fc6dcea3769,False,-0.6936073303222656
EPL-541-hate-v1:P0-C1,EMF-541-hate-v1,541,hate,P0-C1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.05476252237955728,-0.05476252237955728,null,null,0.05476252237955728,"{""hate"":0.05476252237955728}",0.05476252237955728,1,930,c93b16d28a3e948ac509c8e9e83b4c650ac86c53a7f71debc8a36fc6dcea3769,False,-0.05476252237955728
EPL-541-hate-v1:P0-C1,EMF-541-hate-v1,541,hate,P0-C1,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.6936073303222656,-0.6936073303222656,null,null,0.6936073303222656,"{""hate"":0.6936073303222656}",0.6936073303222656,1,930,c93b16d28a3e948ac509c8e9e83b4c650ac86c53a7f71debc8a36fc6dcea3769,False,-0.6936073303222656
EPL-541-hate-v1:P0-C1,EMF-541-hate-v1,541,hate,P0-C1,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.06312688191731772,-0.06312688191731772,null,null,0.06312688191731772,"{""hate"":0.06312688191731772}",0.06312688191731772,1,930,c93b16d28a3e948ac509c8e9e83b4c650ac86c53a7f71debc8a36fc6dcea3769,False,-0.06312688191731772
EPL-3169-hate-v1:P0-C1,EMF-3169-hate-v1,3169,hate,P0-C1,answer_sum,hate,0,non-hate,non-hate,False,False,-0.4055213928222656,-0.4055213928222656,null,null,0.4055213928222656,"{""hate"":0.4055213928222656}",0.4055213928222656,1,743,702cc9d3faafa29f3204b2281dc89df34692c48d360dd9131f22220390b0f1be,False,-0.4055213928222656
EPL-3169-hate-v1:P0-C1,EMF-3169-hate-v1,3169,hate,P0-C1,answer_mean,hate,0,non-hate,non-hate,False,False,-0.0065559387207031194,-0.0065559387207031194,null,null,0.0065559387207031194,"{""hate"":0.0065559387207031194}",0.0065559387207031194,1,743,702cc9d3faafa29f3204b2281dc89df34692c48d360dd9131f22220390b0f1be,False,-0.0065559387207031194
EPL-3169-hate-v1:P0-C1,EMF-3169-hate-v1,3169,hate,P0-C1,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.4055213928222656,-0.4055213928222656,null,null,0.4055213928222656,"{""hate"":0.4055213928222656}",0.4055213928222656,1,743,702cc9d3faafa29f3204b2281dc89df34692c48d360dd9131f22220390b0f1be,False,-0.4055213928222656
EPL-3169-hate-v1:P0-C1,EMF-3169-hate-v1,3169,hate,P0-C1,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.020994186401367188,-0.020994186401367188,null,null,0.020994186401367188,"{""hate"":0.020994186401367188}",0.020994186401367188,1,743,702cc9d3faafa29f3204b2281dc89df34692c48d360dd9131f22220390b0f1be,False,-0.020994186401367188
EPL-541-hate-v1:P0-C2,EMF-541-hate-v1,541,hate,P0-C2,answer_sum,hate,0,non-hate,non-hate,False,False,-0.7094955444335938,-0.7094955444335938,null,null,0.7094955444335938,"{""hate"":0.7094955444335938}",0.7094955444335938,1,930,f9364b63ffe5d8c68f913dd5ca622da69ad1e70c6faf385328716a3ebc02d8a1,False,-0.7094955444335938
EPL-541-hate-v1:P0-C2,EMF-541-hate-v1,541,hate,P0-C2,answer_mean,hate,0,non-hate,non-hate,False,False,-0.056045023600260396,-0.056045023600260396,null,null,0.056045023600260396,"{""hate"":0.056045023600260396}",0.056045023600260396,1,930,f9364b63ffe5d8c68f913dd5ca622da69ad1e70c6faf385328716a3ebc02d8a1,False,-0.056045023600260396
EPL-541-hate-v1:P0-C2,EMF-541-hate-v1,541,hate,P0-C2,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.7094955444335938,-0.7094955444335938,null,null,0.7094955444335938,"{""hate"":0.7094955444335938}",0.7094955444335938,1,930,f9364b63ffe5d8c68f913dd5ca622da69ad1e70c6faf385328716a3ebc02d8a1,False,-0.7094955444335938
EPL-541-hate-v1:P0-C2,EMF-541-hate-v1,541,hate,P0-C2,mean_with_eos,hate,0,non-hate,non-hate,False,False,-0.0645904541015625,-0.0645904541015625,null,null,0.0645904541015625,"{""hate"":0.0645904541015625}",0.0645904541015625,1,930,f9364b63ffe5d8c68f913dd5ca622da69ad1e70c6faf385328716a3ebc02d8a1,False,-0.0645904541015625
EPL-3169-hate-v1:P0-C2,EMF-3169-hate-v1,3169,hate,P0-C2,answer_sum,hate,0,non-hate,non-hate,False,False,-0.12665557861328125,-0.12665557861328125,null,null,0.12665557861328125,"{""hate"":0.12665557861328125}",0.12665557861328125,1,743,672bf969f50806c829369acc54c4ca9473a469469d7120b1ef3e6bb37538e08f,False,-0.12665557861328125
EPL-3169-hate-v1:P0-C2,EMF-3169-hate-v1,3169,hate,P0-C2,answer_mean,non-hate,1,non-hate,non-hate,True,True,0.06487528483072916,0.06487528483072916,null,null,-0.06487528483072916,"{""hate"":-0.06487528483072916}",0.06487528483072916,1,743,672bf969f50806c829369acc54c4ca9473a469469d7120b1ef3e6bb37538e08f,False,0.06487528483072916
EPL-3169-hate-v1:P0-C2,EMF-3169-hate-v1,3169,hate,P0-C2,total_with_eos,hate,0,non-hate,non-hate,False,False,-0.12665557861328125,-0.12665557861328125,null,null,0.12665557861328125,"{""hate"":0.12665557861328125}",0.12665557861328125,1,743,672bf969f50806c829369acc54c4ca9473a469469d7120b1ef3e6bb37538e08f,False,-0.12665557861328125
EPL-3169-hate-v1:P0-C2,EMF-3169-hate-v1,3169,hate,P0-C2,mean_with_eos,non-hate,1,non-hate,non-hate,True,True,0.035269737243652344,0.035269737243652344,null,null,-0.035269737243652344,"{""hate"":-0.035269737243652344}",0.035269737243652344,1,743,672bf969f50806c829369acc54c4ca9473a469469d7120b1ef3e6bb37538e08f,False,0.035269737243652344
EPL-541-hate-v1:P0-D1,EMF-541-hate-v1,541,hate,P0-D1,answer_sum,hate,0,non-hate,non-hate,False,False,-0.4675140380859375,-0.4675140380859375,null,null,0.4675140380859375,"{""hate"":0.4675140380859375}",0.4675140380859375,1,930,d1d8b035ec6d27ae09ef9d059bbe1f984ec72423c08900ccaff746c69502ef3e,False,-0.4675140380859375
