category,kind,module,layer,role,encoding,probe_id,prompt_requests,candidates
baseline,baseline,,,,ab_forward,,12,24
baseline,baseline,,,,ab_reverse,,12,24
baseline,baseline,,,,original,empty,12,24
baseline,baseline,,,,original,lorem,12,24
baseline,baseline,,,,original,mask,12,24
baseline,baseline,,,,original,na,12,24
baseline,baseline,,,,original,space,12,24
baseline,baseline,,,,original,,12,24
engineering,capture_only,,,,ab_forward,,12,24
engineering,capture_only,,,,ab_reverse,,12,24
engineering,capture_only,,,,original,empty,12,24
engineering,capture_only,,,,original,lorem,12,24
engineering,capture_only,,,,original,mask,12,24
engineering,capture_only,,,,original,na,12,24
engineering,capture_only,,,,original,space,12,24
engineering,capture_only,,,,original,,12,24
engineering,embedding_reconstruction,embedding,,lexicon_slot,ab_forward,,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,ab_reverse,,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,empty,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,lorem,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,mask,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,na,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,space,16,32
engineering,embedding_reconstruction,embedding,,lexicon_slot,original,,16,32
engineering,identical_prefix,block,0,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,0,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,0,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,0,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,0,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,0,before_lexicon,original,na,16,32
engineering,identical_prefix,block,0,before_lexicon,original,space,16,32
engineering,identical_prefix,block,0,before_lexicon,original,,16,32
engineering,identical_prefix,block,10,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,10,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,10,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,10,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,10,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,10,before_lexicon,original,na,16,32
engineering,identical_prefix,block,10,before_lexicon,original,space,16,32
engineering,identical_prefix,block,10,before_lexicon,original,,16,32
engineering,identical_prefix,block,15,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,15,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,15,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,15,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,15,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,15,before_lexicon,original,na,16,32
engineering,identical_prefix,block,15,before_lexicon,original,space,16,32
engineering,identical_prefix,block,15,before_lexicon,original,,16,32
engineering,identical_prefix,block,20,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,20,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,20,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,20,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,20,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,20,before_lexicon,original,na,16,32
engineering,identical_prefix,block,20,before_lexicon,original,space,16,32
engineering,identical_prefix,block,20,before_lexicon,original,,16,32
engineering,identical_prefix,block,25,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,25,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,25,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,25,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,25,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,25,before_lexicon,original,na,16,32
engineering,identical_prefix,block,25,before_lexicon,original,space,16,32
engineering,identical_prefix,block,25,before_lexicon,original,,16,32
engineering,identical_prefix,block,30,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,30,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,30,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,30,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,30,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,30,before_lexicon,original,na,16,32
engineering,identical_prefix,block,30,before_lexicon,original,space,16,32
engineering,identical_prefix,block,30,before_lexicon,original,,16,32
engineering,identical_prefix,block,34,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,34,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,34,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,34,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,34,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,34,before_lexicon,original,na,16,32
engineering,identical_prefix,block,34,before_lexicon,original,space,16,32
engineering,identical_prefix,block,34,before_lexicon,original,,16,32
engineering,identical_prefix,block,5,before_lexicon,ab_forward,,16,32
engineering,identical_prefix,block,5,before_lexicon,ab_reverse,,16,32
engineering,identical_prefix,block,5,before_lexicon,original,empty,16,32
engineering,identical_prefix,block,5,before_lexicon,original,lorem,16,32
engineering,identical_prefix,block,5,before_lexicon,original,mask,16,32
engineering,identical_prefix,block,5,before_lexicon,original,na,16,32
engineering,identical_prefix,block,5,before_lexicon,original,space,16,32
engineering,identical_prefix,block,5,before_lexicon,original,,16,32
engineering,self_patch,block,0,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,0,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,0,demo_answer_end,original,empty,12,24
engineering,self_patch,block,0,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,0,demo_answer_end,original,mask,12,24
engineering,self_patch,block,0,demo_answer_end,original,na,12,24
engineering,self_patch,block,0,demo_answer_end,original,space,12,24
engineering,self_patch,block,0,demo_answer_end,original,,12,24
engineering,self_patch,block,0,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,0,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,0,lexicon_end,original,empty,12,24
engineering,self_patch,block,0,lexicon_end,original,lorem,12,24
engineering,self_patch,block,0,lexicon_end,original,mask,12,24
engineering,self_patch,block,0,lexicon_end,original,na,12,24
engineering,self_patch,block,0,lexicon_end,original,space,12,24
engineering,self_patch,block,0,lexicon_end,original,,12,24
engineering,self_patch,block,0,pre_answer,ab_forward,,12,24
engineering,self_patch,block,0,pre_answer,ab_reverse,,12,24
engineering,self_patch,block,0,pre_answer,original,empty,12,24
engineering,self_patch,block,0,pre_answer,original,lorem,12,24
engineering,self_patch,block,0,pre_answer,original,mask,12,24
engineering,self_patch,block,0,pre_answer,original,na,12,24
engineering,self_patch,block,0,pre_answer,original,space,12,24
engineering,self_patch,block,0,pre_answer,original,,12,24
engineering,self_patch,block,0,query_hehe,ab_forward,,12,24
engineering,self_patch,block,0,query_hehe,ab_reverse,,12,24
engineering,self_patch,block,0,query_hehe,original,,12,24
engineering,self_patch,block,0,unrelated_demo_end,ab_forward,,12,24
engineering,self_patch,block,0,unrelated_demo_end,ab_reverse,,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,empty,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,lorem,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,mask,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,na,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,space,12,24
engineering,self_patch,block,0,unrelated_demo_end,original,,12,24
engineering,self_patch,block,10,demo_answer_end,ab_forward,,12,24
engineering,self_patch,block,10,demo_answer_end,ab_reverse,,12,24
engineering,self_patch,block,10,demo_answer_end,original,empty,12,24
engineering,self_patch,block,10,demo_answer_end,original,lorem,12,24
engineering,self_patch,block,10,demo_answer_end,original,mask,12,24
engineering,self_patch,block,10,demo_answer_end,original,na,12,24
engineering,self_patch,block,10,demo_answer_end,original,space,12,24
engineering,self_patch,block,10,demo_answer_end,original,,12,24
engineering,self_patch,block,10,lexicon_end,ab_forward,,12,24
engineering,self_patch,block,10,lexicon_end,ab_reverse,,12,24
engineering,self_patch,block,10,lexicon_end,original,empty,12,24
engineering,self_patch,block,10,lexicon_end,original,lorem,12,24
engineering,self_patch,block,10,lexicon_end,original,mask,12,24
engineering,self_patch,block,10,lexicon_end,original,na,12,24
engineering,self_patch,block,10,lexicon_end,original,space,12,24
engineering,self_patch,block,10,lexicon_end,original,,12,24
