object_id,text,attack_severity,assessment_status,attack_forms,targets,rationale,candidate_scores,suggested_score,candidate_forms,hate_reference,group_reference,label_review_kind,severity_review_kind,severity_policy_version,severity_policy_sha256,text_sha256,base_version,hate_reference_policy_version,hate_reference_policy_sha256,group_reference_policy_version,group_reference_policy_sha256,human_numeric_score_confirmed,online_material_confirmed,user_score_rationale
demo:100,水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。😆,1,scored,"[""derogation""]","[""国内女权所指女性群体""]",用户明确认为该句已有贬损但程度不高。这里取轻蔑评价，未见更强的羞辱、地位否定或暴力主张。,[],,[],hate,"[""Sexism""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,63ec081502cee51bce6a8dcbc0d1b423165fffe8b171cedd55bcf5754fcafda1,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1158,女拳真是典中典?,1,scored,"[""derogation""]","[""女拳所指女性群体""]",沿用用户裁定的性别贬称读法；本句以轻蔑反问作讥讽，没有另外展开严重污名。缩写或贬称本身不机械定为 2。,[],,[],hate,"[""Sexism""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,35c9b2a1d7d52e6358e77433a2c2445bdc1172668a0c1fb272e8e1eb261d745c,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1180,这就是你们txl的好队友吗？,0,scored,[],[],按用户确认的可见语义，没有明显攻击命题；身份指代与反问不足以自行补出污名。,[],,[],non-hate,"[""LGBTQ""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,d8477aff19adb585094259b40548455fd6a3e59ef39efaf8c9780f7fde442ada,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1224,内卷是有底线的，你本科毕业再怎么卷，即使在家待业也不会去扫大街。那个男的接这盘，一辈子抬不起头。,2,scored,"[""personal_insult"", ""group_stigmatization""]","[""后半句的男性婚恋对象""]",后半句借接盘身份实施持久的性别羞辱，超过普通挖苦；没有主张其天生低等或剥夺权利。前半句沿用用户裁定作为类比。形式字段记录个人羞辱，不回写此前仅 Sexism 的 group 决定。,[],,[],hate,"[""Sexism""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,82083d5a91dc80f1b08c3e26f16fa801ff21d710bf7744f042dbf375af416dab,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1240,这货删帖了，不好发挥啊,1,scored,"[""derogation""]","[""删帖者""]",这货是轻度贬称。用户先前认为未达到本例 hate 门槛，仍可单独记录 1 级贬损，展示二分类与严重度并行。,[],,[],non-hate,[],human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,a7d8384019d932047d9780ffa81adafd801a992058bf72472174dd8f0463b5db,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1456,上广东待几天就看到了,0,scored,[],[],只给出前往地点，没有可见的人群攻击或伤害主张；不补写省略的观察内容。,[],,[],non-hate,[],human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,9024732b976a3e7a3bc4a302300b3ff9918be3486ce63a5a00c33bd91d4c9e4a,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1509,EG都不是找那种老g吗。优秀的别人看不上,null,insufficient_evidence,"[""derogation"", ""group_stigmatization""]","[""EG 所指女性""]",用户已确认对女性的污名足以判 hate；优秀的别人看不上可确定贬低。但老g的具体词义尚未证实，不能可靠确定完整句的最高强度。保留严重度待定，不改动 hate/group，也不补猜该词。,[],,[],hate,"[""Sexism""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,b526768028c21d218c27d1344b36809a8e7fedf27cb380546e23481b81e9cfad,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1517,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,2,scored,"[""personal_insult""]","[""被叙述的对话者""]",作者自己认可的恶臭直男构成直接人格侮辱，取 2。同志是变态属于作者反对的他人言论，不据此把同性恋群体作为本条严重度对应的受攻击对象。,[],,[],hate,"[""LGBTQ"", ""others""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,1d76dabe0d23e5bf5fd7456762ee52e02d3d3b2f5734c0d1f43de9447ab9f721,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:159,还有我们🐶“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,0,scored,[],[],用户已判没有地域歧视证据；可见文本没有确定获认可的身份优越论。最高贵的引用与争辩语气不自动计为地位贬损。,[],,[],non-hate,"[""Region""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,03e916e4ec6e2c9a8adeb97f1aa71c79656c90e55f8dc9fc8631f0965e1421f6,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
demo:1729,主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd,2,scored,"[""personal_insult"", ""group_stigmatization""]","[""被指责私生活的女性""]",按用户释义，lkd 指烂裤裆，是直接的性羞辱。文本没有另外主张非人地位、权利剥夺或人身伤害。,[],,[],hate,"[""Sexism""]",human_with_ai,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,41ae22a4875943900c3fae8f84c67c6c0f6c7926a261a896dcf593182d1de3cc,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,False,False,
