metric,eligible,layer,module,role,worst_closeness_gain
C,True,33,attention,pre_answer,0.03427729267793311
C,False,33,mlp,pre_answer,-0.016818489777760792
C,False,34,attention,pre_answer,-0.01637282771151427
C,True,34,mlp,pre_answer,0.032987358065669437
C,True,35,attention,pre_answer,0.04050061495393553
C,False,35,mlp,pre_answer,-0.08807083795207049
I,False,33,attention,pre_answer,-0.7392110236078084
I,False,33,mlp,pre_answer,-0.3580412119458585
I,False,34,attention,pre_answer,-0.4857005940379209
I,True,34,mlp,pre_answer,0.5869582907621227
I,False,35,attention,pre_answer,-0.49653251837720047
I,False,35,mlp,pre_answer,0.016261540869020874
