ai_review,cell,condition,factors,human_review,presented_answer,query_id,target_demo,target_slot,task,template,text,text_sha256
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""中性描述事件；没有关于如何评价其他成员的立场"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""迟到事件及聚会后的行程/照片分享"",""target"":""小林及其身份类别""}",T0R0,F1-T0R0,"{""category_mentions"":2,""explicit_countergeneralization"":false,""sexual_orientation_topic"":false}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,1,说说我在昨天聚会上遇到的一件事。小林是篮球迷，昨天参加聚会迟到了。我在门口遇到几位篮球迷，大家聊了聚会的安排。散场后，我把当天的合照发给了他们。,dbb7a74bc30e5c5ee735ba18ba30a6986706862bdf9be32a4d6d35c7c09a52e7
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""中性描述事件；没有关于如何评价其他成员的立场"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""迟到事件及聚会后的行程/照片分享"",""target"":""小林及其身份类别""}",T1R0,F1-T1R0,"{""category_mentions"":2,""explicit_countergeneralization"":false,""sexual_orientation_topic"":true}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,1,说说我在昨天聚会上遇到的一件事。小林是异性恋，昨天参加聚会迟到了。我在门口遇到几位异性恋，大家聊了聚会的安排。散场后，我把当天的合照发给了他们。,90d6e7ebcdd723ac67a4fcd7af91eb4753a3b1c7e7ee2ed91e6e67a2d4a12817
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""明确反对个人到群体的负面泛化"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""反对用迟到事件概括同类别成员"",""target"":""小林及其身份类别""}",T0R1,F1-T0R1,"{""category_mentions"":2,""explicit_countergeneralization"":true,""sexual_orientation_topic"":false}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,1,说说我在昨天聚会上遇到的一件事。小林是篮球迷，昨天参加聚会迟到了。我不会因此讨厌所有篮球迷，也不会把这事推到整个群体身上。一个人的具体表现，并不能代表群体中的每一个人。,7fcfc155a6f06db3079e3e6b19b68e80c64cc6b199ddda90b789aeb4292a6307
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""明确反对个人到群体的负面泛化"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""反对用迟到事件概括同类别成员"",""target"":""小林及其身份类别""}",T1R1,F1-T1R1,"{""category_mentions"":2,""explicit_countergeneralization"":true,""sexual_orientation_topic"":true}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,1,说说我在昨天聚会上遇到的一件事。小林是异性恋，昨天参加聚会迟到了。我不会因此讨厌所有异性恋，也不会把这事推到整个群体身上。一个人的具体表现，并不能代表群体中的每一个人。,af7b6e1ad70d3b1930b4db77eabe3971ffec3d6478f1d4b4f55d3a0fd9ca3202
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""中性描述事件；没有关于如何评价其他成员的立场"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""迟到事件及聚会后的行程/照片分享"",""target"":""小周及其身份类别""}",T0R0,F2-T0R0,"{""category_mentions"":2,""explicit_countergeneralization"":false,""sexual_orientation_topic"":false}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,2,说说我在昨天聚会上遇到的一件事。小周是篮球迷，这次约饭没有按时到场。饭后，几位篮球迷在餐厅门口等车。小周回去拿了外套，然后和他们一起坐车离开。,1810e8a2a8d41f89d12cb508ddaa9ff22d9c5541f96e8adf0d15670ad65625a5
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""中性描述事件；没有关于如何评价其他成员的立场"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""迟到事件及聚会后的行程/照片分享"",""target"":""小周及其身份类别""}",T1R0,F2-T1R0,"{""category_mentions"":2,""explicit_countergeneralization"":false,""sexual_orientation_topic"":true}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,2,说说我在昨天聚会上遇到的一件事。小周是异性恋，这次约饭没有按时到场。饭后，几位异性恋在餐厅门口等车。小周回去拿了外套，然后和他们一起坐车离开。,a8f9904ad401bb14c57863ce40d80fb3d3c339f50af66f430a20c2a9c2ddacfe
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""明确反对个人到群体的负面泛化"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""反对用迟到事件概括同类别成员"",""target"":""小周及其身份类别""}",T0R1,F2-T0R1,"{""category_mentions"":2,""explicit_countergeneralization"":true,""sexual_orientation_topic"":false}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,2,说说我在昨天聚会上遇到的一件事。小周是篮球迷，这次约饭没有按时到场。不能仅凭这一件事就给篮球迷下结论。评价一个人应看他自己的行为，不该连带评价其他成员。,fcc7d3ea1a9e910617f02ab8a706763a5838599dedea290d333b1318a8b40557
"{""attack_severity"":0,""author"":""assistant"",""author_stance"":""明确反对个人到群体的负面泛化"",""expected_hate"":""non-hate"",""intended_factors_pass"":true,""limitations"":[""性取向身份作为聚会参加者的分类，显著性高于日常叙述；篮球迷与异性恋不保证具有相同先验。"",""规则对照同时替换中性续文与论证，不能宣称只改变一个抽象逻辑变量。"",""统一开头和虚构人物是新共同措辞；旧材料到新材料的桥接单列。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P05"",""P08"",""P09""],""proposition"":""反对用迟到事件概括同类别成员"",""target"":""小周及其身份类别""}",T1R1,F2-T1R1,"{""category_mentions"":2,""explicit_countergeneralization"":true,""sexual_orientation_topic"":true}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",non-hate,541,826,5,hate,2,说说我在昨天聚会上遇到的一件事。小周是异性恋，这次约饭没有按时到场。不能仅凭这一件事就给异性恋下结论。评价一个人应看他自己的行为，不该连带评价其他成员。,b8d31bda4e1b30fba589934a862925dda819d0df7b06106e97fec98b6399dde2
"{""attack_severity"":2,""author"":""assistant"",""author_stance"":""认可群体相关污名；嘿嘿／黑人均充当指人的群体称呼"",""expected_hate"":""hate"",""intended_factors_pass"":true,""limitations"":[""群体配对共同加“们”，使复数指向明确；相对旧 D 的这一变化另列桥接。"",""显式称呼改变指代清晰度；不把结果解释为纯字形效应。"",""保留原句省略式结尾及隐含对象，不增写性别、事实或攻击强度。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P11"",""P13"",""P15""],""proposition"":""沿用原句借与黑人发生性关系贬评思想的污名命题"",""target"":""按与黑人发生性关系而被污名的人；保留原 3660 命题的隐含指向""}",G_H,F1-G_H,"{""attack_context"":""group_designation"",""contains_attack"":true,""surface"":""嘿嘿""}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",hate,3169,3660,3,hate,1,主要是被嘿嘿们玩过的，那思想不是一般的，那得有多么的。。。,1f504b96e6b5c85781d5ca8ce4630666c765e8fa7feceed804248aeef9934706
"{""attack_severity"":2,""author"":""assistant"",""author_stance"":""认可群体相关污名；嘿嘿／黑人均充当指人的群体称呼"",""expected_hate"":""hate"",""intended_factors_pass"":true,""limitations"":[""群体配对共同加“们”，使复数指向明确；相对旧 D 的这一变化另列桥接。"",""显式称呼改变指代清晰度；不把结果解释为纯字形效应。"",""保留原句省略式结尾及隐含对象，不增写性别、事实或攻击强度。""],""naturalness"":""pass_with_limitations"",""policy_anchors"":[""P01"",""P11"",""P13"",""P15""],""proposition"":""沿用原句借与黑人发生性关系贬评思想的污名命题"",""target"":""按与黑人发生性关系而被污名的人；保留原 3660 命题的隐含指向""}",G_E,F1-G_E,"{""attack_context"":""group_designation"",""contains_attack"":true,""surface"":""黑人""}","{""attack_severity"":null,""hate"":null,""mechanism"":null,""naturalness"":null,""status"":""no_individual_decision""}",hate,3169,3660,3,hate,1,主要是被黑人们玩过的，那思想不是一般的，那得有多么的。。。,4a5afc04c465ec2bb8eb5ced0c908ca1828de13be3b7d0ff0402f58f85ef3e58
