query_id	source_frame	analysis_role	adopted_reference	correlated_conditions	qwen3-8b_raw_correct	qwen3-8b_conservative_correct	qwen3-14b_raw_correct	qwen3-14b_conservative_correct	glm4-9b-chat_raw_correct	glm4-9b-chat_conservative_correct
CTD-B1-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	3	3	3	3
CTD-B1-v2	legacy_core	legacy_exposed_development	有	10	10	10	10	10	10	10
CTD-B2-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	3	3	3	3	3	3
CTD-B2-v2	legacy_core	legacy_exposed_development	无	10	10	10	10	10	10	10
CTD-B3-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	1	1	2	2	1	1
CTD-B3-v2	legacy_core	legacy_exposed_development	无	10	2	2	2	2	2	2
CTD-B4-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	3	3	3	3
CTD-B4-v2	legacy_core	legacy_exposed_development	有	10	10	10	7	7	6	6
CTD-G1-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	3	3	3	3
CTD-G1-v2	legacy_core	legacy_exposed_development	有	10	10	10	10	10	10	10
CTD-G2-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	3	3	3	3	3	3
CTD-G2-v2	legacy_core	legacy_exposed_development	无	10	10	10	10	10	10	10
CTD-G3-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	0	0	1	1	2	2
CTD-G3-v2	legacy_core	legacy_exposed_development	无	10	1	1	3	3	6	6
CTD-G4-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	3	3	3	3
CTD-G4-v2	legacy_core	legacy_exposed_development	有	10	10	10	10	10	10	10
CTD-J1-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	3	3	3	3
CTD-J1-v2	legacy_core	legacy_exposed_development	有	10	10	10	10	10	10	10
CTD-J2-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	3	3	3	3	3	3
CTD-J2-v2	legacy_core	legacy_exposed_development	无	10	8	8	10	10	10	10
CTD-J3-v2	legacy_N_diagnostic	legacy_exposed_development	无	3	0	0	0	0	0	0
CTD-J3-v2	legacy_core	legacy_exposed_development	无	10	2	2	2	2	2	2
CTD-J4-v2	legacy_N_diagnostic	legacy_exposed_development	有	3	3	3	2	2	3	3
CTD-J4-v2	legacy_core	legacy_exposed_development	有	10	10	10	10	10	10	10
