item_id	module	title	status	human_decision	human_reason
S01	scope	任务与研究范围	pending		
S02	scope	条件与基线	pending		
S03	scope	答案翻转的解释	pending		
S04	scope	词典释义的解释	pending		
S05	scope	正文替换与标签	pending		
S06	scope	同标签整例换序	pending		
S07	scope	读数、报告与资格	pending		
S08	scope	审核后运行与时间限制	pending		
A01	answer	#541 示例1 #2129：有→无	pending		
A02	answer	#541 示例2 #4041：有→无	pending		
A03	answer	#541 示例3 #1573：有→无	pending		
A04	answer	#541 示例4 #5612：有→无	pending		
A05	answer	#541 示例5 #826：无→有	pending		
A06	answer	#541 示例6 #1289：有→无	pending		
A07	answer	#541 示例7 #2430：无→有	pending		
A08	answer	#541 示例8 #7499：无→有	pending		
A09	answer	#541 示例9 #3156：无→有	pending		
A10	answer	#541 示例10 #4956：无→有	pending		
A11	answer	#3169 示例1 #3602：无→有	pending		
A12	answer	#3169 示例2 #6493：有→无	pending		
A13	answer	#3169 示例3 #3660：有→无	pending		
A14	answer	#3169 示例4 #7611：有→无	pending		
A15	answer	#3169 示例5 #5780：无→有	pending		
A16	answer	#3169 示例6 #7640：有→无	pending		
A17	answer	#3169 示例7 #3519：有→无	pending		
A18	answer	#3169 示例8 #3582：有→无	pending		
A19	answer	#3169 示例9 #6035：无→有	pending		
A20	answer	#3169 示例10 #3585：有→无	pending		
L01	definition	#541 男同：普通义版本	pending		
L02	definition	#541 男同：原义近义改写	pending		
L03	definition	#541 变态：普通义版本	pending		
L04	definition	#541 变态：原义近义改写	pending		
L05	definition	#3169 嘿嘿：普通义版本	pending		
L06	definition	#3169 嘿嘿：原义近义改写	pending		
L07	definition	#3169 仙女：普通义版本	pending		
L08	definition	#3169 仙女：原义近义改写	pending		
B01	body	#541 示例1 #2129 正文替换	pending		
B02	body	#3169 示例1 #3602 正文替换	pending		
B03	body	#3169 示例2 #6493 正文替换	pending		
B04	body	#3169 示例3 #3660 正文替换	pending		
O01	order	#541 #2129 ↔ #1289 同标签整例换序	pending		
O02	order	#3169 #3602 ↔ #5780 同标签整例换序	pending		
O03	order	#3169 #6493 ↔ #7611 同标签整例换序	pending		
O04	order	#3169 #3660 ↔ #3519 同标签整例换序	pending		
