schema_version,stratum,n,contrast,before,after,task,00,01,10,11,group_error_decreased,group_error_increased,group_error_unchanged,group_error_delta_mean,pred_group_size_delta_mean,still_wrong_but_error_decreased
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,hate,185,57,27,374,,,,,,
general-model-nolabel-paired-cases/v1,all,643,remove_with_D,CLDnew,CLDnewNoCat,group,193,38,18,394,47,23,573,-0.03265940902021773,-0.04821150855365474,9
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,hate,327,14,10,292,,,,,,
general-model-nolabel-paired-cases/v1,all,643,remove_without_D,CLnew,CLnewNoCat,group,191,37,60,355,51,70,522,0.06531881804043546,-0.06842923794712286,14
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,hate,109,60,103,371,,,,,,
general-model-nolabel-paired-cases/v1,all,643,S_given_D,CD,CLDnewNoCat,group,185,52,26,380,58,36,549,-0.04821150855365474,-0.02332814930015552,6
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,hate,317,44,20,262,,,,,,
general-model-nolabel-paired-cases/v1,all,643,S_vs_0,C0,CLnewNoCat,group,174,89,77,303,105,109,429,0.02332814930015552,-0.03265940902021773,16
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,hate,60,301,109,173,,,,,,
general-model-nolabel-paired-cases/v1,all,643,D_vs_0,C0,CD,group,148,115,89,291,124,129,390,-0.013996889580093312,0.3654743390357698,9
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,hate,145,192,67,239,,,,,,
general-model-nolabel-paired-cases/v1,all,643,D_given_S,CLnewNoCat,CLDnewNoCat,group,129,122,82,310,135,113,395,-0.08553654743390357,0.374805598755832,13
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,hate,80,35,6,102,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_with_D,CLDnew,CLDnewNoCat,group,55,22,9,137,26,12,185,-0.053811659192825115,-0.08968609865470852,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,hate,138,13,9,63,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,remove_without_D,CLnew,CLnewNoCat,group,70,19,36,98,28,43,152,0.15695067264573992,-0.08520179372197309,9
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,hate,33,7,53,130,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_given_D,CD,CLDnewNoCat,group,52,21,12,138,25,17,181,-0.05829596412556054,0.06726457399103139,4
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,hate,139,41,8,35,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,S_vs_0,C0,CLnewNoCat,group,73,42,33,75,48,57,118,0.09417040358744394,0.23766816143497757,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,hate,23,157,17,26,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_vs_0,C0,CD,group,51,64,22,86,70,37,116,-0.17040358744394618,0.484304932735426,6
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,hate,66,81,20,56,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit,223,D_given_S,CLnewNoCat,CLDnewNoCat,group,54,52,10,107,60,18,145,-0.32286995515695066,0.31390134529147984,8
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,hate,105,22,21,272,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_with_D,CLDnew,CLDnewNoCat,group,138,16,9,257,21,11,388,-0.02142857142857143,-0.02619047619047619,5
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,hate,189,1,1,229,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,remove_without_D,CLnew,CLnewNoCat,group,121,18,24,257,23,27,370,0.016666666666666666,-0.05952380952380952,5
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,hate,76,53,50,241,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_given_D,CD,CLDnewNoCat,group,133,31,14,242,33,19,368,-0.04285714285714286,-0.07142857142857142,2
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,hate,178,3,12,227,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,S_vs_0,C0,CLnewNoCat,group,101,47,44,228,57,52,311,-0.014285714285714285,-0.1761904761904762,10
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,hate,37,144,92,147,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_vs_0,C0,CD,group,97,51,67,205,54,92,274,0.06904761904761905,0.30238095238095236,3
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,hate,79,111,47,183,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,D_given_S,CLnewNoCat,CLDnewNoCat,group,75,70,72,203,75,95,250,0.04047619047619048,0.40714285714285714,5
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,hate,136,54,14,186,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_with_D,CLDnew,CLDnewNoCat,group,86,25,16,263,33,20,337,-0.023076923076923078,-0.04871794871794872,8
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,hate,327,14,9,40,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,remove_without_D,CLnew,CLnewNoCat,group,157,24,55,154,38,65,287,0.13076923076923078,-0.08974358974358974,14
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,hate,51,9,99,231,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,S_given_D,CD,CLDnewNoCat,group,83,33,19,255,38,28,324,-0.04871794871794872,-0.007692307692307693,5
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,hate,317,43,19,11,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,S_vs_0,C0,CLnewNoCat,group,155,48,57,130,64,89,237,0.09230769230769231,0.005128205128205128,16
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,hate,59,301,1,29,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,D_vs_0,C0,CD,group,94,109,22,165,118,58,214,-0.19230769230769232,0.43333333333333335,9
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,hate,144,192,6,48,,,,,,
general-model-nolabel-paired-cases/v1,gold_hate,390,D_given_S,CLnewNoCat,CLDnewNoCat,group,93,119,9,169,132,38,220,-0.3333333333333333,0.4205128205128205,13
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,hate,49,3,13,188,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_with_D,CLDnew,CLDnewNoCat,group,107,13,2,131,14,3,236,-0.04743083003952569,-0.04743083003952569,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,hate,0,0,1,252,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,remove_without_D,CLnew,CLnewNoCat,group,34,13,5,201,13,5,235,-0.03557312252964427,-0.03557312252964427,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,hate,58,51,4,140,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_given_D,CD,CLDnewNoCat,group,102,19,7,125,20,8,225,-0.04743083003952569,-0.04743083003952569,1
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,hate,0,1,1,251,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,S_vs_0,C0,CLnewNoCat,group,19,41,20,173,41,20,192,-0.08300395256916997,-0.09090909090909091,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,hate,1,0,108,144,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_vs_0,C0,CD,group,54,6,67,126,6,71,176,0.2608695652173913,0.2608695652173913,0
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,hate,1,0,61,191,,,,,,
general-model-nolabel-paired-cases/v1,gold_non_hate,253,D_given_S,CLnewNoCat,CLDnewNoCat,group,36,3,73,141,3,75,175,0.2964426877470356,0.30434782608695654,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,hate,49,3,13,187,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_with_D,CLDnew,CLDnewNoCat,group,107,13,2,130,14,3,235,-0.047619047619047616,-0.047619047619047616,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,hate,0,0,1,251,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,remove_without_D,CLnew,CLnewNoCat,group,33,13,5,201,13,5,234,-0.03571428571428571,-0.03571428571428571,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,hate,58,51,4,139,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_given_D,CD,CLDnewNoCat,group,102,19,7,124,20,8,224,-0.047619047619047616,-0.047619047619047616,1
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_vs_0,C0,CLnewNoCat,hate,0,1,1,250,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,S_vs_0,C0,CLnewNoCat,group,19,41,19,173,41,19,192,-0.0873015873015873,-0.0873015873015873,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,D_vs_0,C0,CD,hate,1,0,108,143,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,D_vs_0,C0,CD,group,54,6,67,125,6,71,175,0.2619047619047619,0.2619047619047619,0
general-model-nolabel-paired-cases/v1,gold_group_0,252,D_given_S,CLnewNoCat,CLDnewNoCat,hate,1,0,61,190,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_0,252,D_given_S,CLnewNoCat,CLDnewNoCat,group,36,2,73,141,2,75,175,0.30158730158730157,0.30158730158730157,0
general-model-nolabel-paired-cases/v1,gold_group_1,328,remove_with_D,CLDnew,CLDnewNoCat,hate,109,40,14,165,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,remove_with_D,CLDnew,CLDnewNoCat,group,57,20,10,241,22,11,295,-0.027439024390243903,-0.04573170731707317,2
general-model-nolabel-paired-cases/v1,gold_group_1,328,remove_without_D,CLnew,CLnewNoCat,hate,276,12,7,33,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,remove_without_D,CLnew,CLnewNoCat,group,106,23,46,153,27,49,252,0.125,-0.06402439024390244,4
general-model-nolabel-paired-cases/v1,gold_group_1,328,S_given_D,CD,CLDnewNoCat,hate,43,7,80,198,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,S_given_D,CD,CLDnewNoCat,group,50,27,17,234,31,22,275,-0.04878048780487805,-0.018292682926829267,4
general-model-nolabel-paired-cases/v1,gold_group_1,328,S_vs_0,C0,CLnewNoCat,hate,271,35,12,10,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,S_vs_0,C0,CLnewNoCat,group,95,46,57,130,56,70,202,0.07621951219512195,0.039634146341463415,10
general-model-nolabel-paired-cases/v1,gold_group_1,328,D_vs_0,C0,CD,hate,49,257,1,21,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,D_vs_0,C0,CD,group,55,86,22,165,87,51,190,-0.12195121951219512,0.38414634146341464,1
general-model-nolabel-paired-cases/v1,gold_group_1,328,D_given_S,CLnewNoCat,CLDnewNoCat,hate,120,163,3,42,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_1,328,D_given_S,CLnewNoCat,CLDnewNoCat,group,58,94,9,167,95,34,199,-0.24695121951219512,0.32621951219512196,1
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,remove_with_D,CLDnew,CLDnewNoCat,hate,27,14,0,22,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,remove_with_D,CLDnew,CLDnewNoCat,group,29,5,6,23,11,9,43,0.0,-0.06349206349206349,6
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,remove_without_D,CLnew,CLnewNoCat,hate,51,2,2,8,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,remove_without_D,CLnew,CLnewNoCat,group,52,1,9,1,11,16,36,0.15873015873015872,-0.2222222222222222,10
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,S_given_D,CD,CLDnewNoCat,hate,8,2,19,34,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,S_given_D,CD,CLDnewNoCat,group,33,6,2,22,7,6,50,-0.047619047619047616,0.047619047619047616,1
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,S_vs_0,C0,CLnewNoCat,hate,46,8,7,2,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,S_vs_0,C0,CLnewNoCat,group,60,2,1,0,8,20,35,0.19047619047619047,-0.19047619047619047,6
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,D_vs_0,C0,CD,hate,10,44,0,9,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,D_vs_0,C0,CD,group,39,23,0,1,31,7,25,-0.5555555555555556,0.6825396825396826,8
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,D_given_S,CLnewNoCat,CLDnewNoCat,hate,24,29,3,7,,,,,,
general-model-nolabel-paired-cases/v1,gold_group_2plus,63,D_given_S,CLnewNoCat,CLDnewNoCat,group,35,26,0,2,38,4,21,-0.7936507936507936,0.9206349206349206,12
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,remove_with_D,CLDnew,CLDnewNoCat,hate,67,34,4,89,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,remove_with_D,CLDnew,CLDnewNoCat,group,32,18,9,135,22,12,160,-0.041237113402061855,-0.08247422680412371,4
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,remove_without_D,CLnew,CLnewNoCat,hate,138,13,8,35,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,remove_without_D,CLnew,CLnewNoCat,group,52,17,34,91,26,41,127,0.18041237113402062,-0.0979381443298969,9
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,S_given_D,CD,CLDnewNoCat,hate,21,3,50,120,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,S_given_D,CD,CLDnewNoCat,group,33,20,8,133,24,12,158,-0.08762886597938144,0.05670103092783505,4
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,S_vs_0,C0,CLnewNoCat,hate,139,41,7,7,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,S_vs_0,C0,CLnewNoCat,group,66,40,20,68,46,44,104,0.05154639175257732,0.21649484536082475,6
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,D_vs_0,C0,CD,hate,23,157,1,13,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,D_vs_0,C0,CD,group,42,64,11,77,70,24,100,-0.26288659793814434,0.4896907216494845,6
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,D_given_S,CLnewNoCat,CLDnewNoCat,hate,65,81,6,42,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_hate,194,D_given_S,CLnewNoCat,CLDnewNoCat,group,35,51,6,102,59,12,123,-0.4020618556701031,0.32989690721649484,8
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,remove_with_D,CLDnew,CLDnewNoCat,hate,13,1,2,13,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,remove_with_D,CLDnew,CLDnewNoCat,group,23,4,0,2,4,0,25,-0.13793103448275862,-0.13793103448275862,0
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,remove_without_D,CLnew,CLnewNoCat,hate,0,0,1,28,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,remove_without_D,CLnew,CLnewNoCat,group,18,2,2,7,2,2,25,0.0,0.0,0
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,S_given_D,CD,CLDnewNoCat,hate,12,4,3,10,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,S_given_D,CD,CLDnewNoCat,group,19,1,4,5,1,5,23,0.13793103448275862,0.13793103448275862,0
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,S_vs_0,C0,CLnewNoCat,hate,0,0,1,28,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,S_vs_0,C0,CLnewNoCat,group,7,2,13,7,2,13,14,0.3793103448275862,0.3793103448275862,0
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,D_vs_0,C0,CD,hate,0,0,16,13,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,D_vs_0,C0,CD,group,9,0,11,9,0,13,16,0.4482758620689655,0.4482758620689655,0
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,D_given_S,CLnewNoCat,CLDnewNoCat,hate,1,0,14,14,,,,,,
general-model-nolabel-paired-cases/v1,Lq_hit__gold_non_hate,29,D_given_S,CLnewNoCat,CLDnewNoCat,group,19,1,4,5,1,6,22,0.20689655172413793,0.20689655172413793,0
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,remove_with_D,CLDnew,CLDnewNoCat,hate,69,20,10,97,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,remove_with_D,CLDnew,CLDnewNoCat,group,54,7,7,128,11,8,177,-0.00510204081632653,-0.015306122448979591,4
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,remove_without_D,CLnew,CLnewNoCat,hate,189,1,1,5,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,remove_without_D,CLnew,CLnewNoCat,group,105,7,21,63,12,24,160,0.08163265306122448,-0.08163265306122448,5
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,S_given_D,CD,CLDnewNoCat,hate,30,6,49,111,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,S_given_D,CD,CLDnewNoCat,group,50,13,11,122,14,16,166,-0.01020408163265306,-0.07142857142857142,1
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,S_vs_0,C0,CLnewNoCat,hate,178,2,12,4,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,S_vs_0,C0,CLnewNoCat,group,89,8,37,62,18,45,133,0.1326530612244898,-0.20408163265306123,10
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,D_vs_0,C0,CD,hate,36,144,0,16,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,D_vs_0,C0,CD,group,52,45,11,88,48,34,114,-0.12244897959183673,0.37755102040816324,3
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,D_given_S,CLnewNoCat,CLDnewNoCat,hate,79,111,0,6,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_hate,196,D_given_S,CLnewNoCat,CLDnewNoCat,group,58,68,3,67,73,26,97,-0.2653061224489796,0.5102040816326531,5
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,remove_with_D,CLDnew,CLDnewNoCat,hate,36,2,11,175,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,remove_with_D,CLDnew,CLDnewNoCat,group,84,9,2,129,10,3,211,-0.03571428571428571,-0.03571428571428571,1
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,remove_without_D,CLnew,CLnewNoCat,hate,0,0,0,224,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,remove_without_D,CLnew,CLnewNoCat,group,16,11,3,194,11,3,210,-0.04017857142857143,-0.04017857142857143,0
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,S_given_D,CD,CLDnewNoCat,hate,46,47,1,130,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,S_given_D,CD,CLDnewNoCat,group,83,18,3,120,19,3,202,-0.07142857142857142,-0.07142857142857142,1
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,S_vs_0,C0,CLnewNoCat,hate,0,1,0,223,,,,,,
general-model-nolabel-paired-cases/v1,Lq_no_hit__gold_non_hate,224,S_vs_0,C0,CLnewNoCat,group,12,39,7,166,39,7,178,-0.14285714285714285,-0.15178571428571427,0
