object_id,text,hate,group,attack_severity,field_provenance,field_status,history_json
demo:100,水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。😆,hate,"[""Sexism""]",1,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1035,女性到底应不应该有权利呢？,non-hate,"[""Sexism""]",0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1158,女拳真是典中典?,hate,"[""Sexism""]",1,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1180,这就是你们txl的好队友吗？,non-hate,"[""LGBTQ""]",0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1224,内卷是有底线的，你本科毕业再怎么卷，即使在家待业也不会去扫大街。那个男的接这盘，一辈子抬不起头。,hate,"[""Sexism""]",2,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1240,这货删帖了，不好发挥啊,hate,[],1,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1242,我认为的偏见是指在还不了解真实情况或者了解不全的的时候就对某一件事情带有明显的情绪化和极端的观点，例如山西都是挖煤的，上海男人说话都是娘娘腔这种就是很明显的地域偏见，我认为你的好恶只是说你不喜欢txl，可我没说你是偏见。你的好恶是自由的，但偏见不是。,non-hate,"[""Region"", ""LGBTQ"", ""Sexism""]",0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:127,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,hate,"[""LGBTQ""]",2,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1294,歧视这个词不太好，太过了。但确实，很多txl给人的观感并不好，我觉得，这个网络也对人有太多影响，短视频里那些娘里娘气的、装疯卖傻的，让人反感，给孩子们不好的教育示范。,hate,"[""LGBTQ""]",2,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1336,十几年前我刚上网的时候网上东北的名声还行，最起码“东北曾经是发达地区只是现在衰落了”这种常识哪怕是再黑东北的人也不会否认，但是这几年不知道怎么了，可能是智能手机便宜了流量便宜了，很多地域黑居然张口就是东北是贫困山区一样的地方😓,non-hate,[],0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1376,小管家还会威胁你⁉⁉⁉匿名也能逮到啊⁉⁉,non-hate,[],0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1456,上广东待几天就看到了,non-hate,[],0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1466,如果那个黑人对中国友好，那么我倒可以忍受，就像快手上有个嫁黑人的，那个黑人对中国很友好，我倒也可以忍受。虽然还是不喜欢，但只要是与中国友好的黑人，哪怕不喜欢，我也可以忍受,hate,"[""Racism""]",1,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1509,EG都不是找那种老g吗。优秀的别人看不上,hate,"[""Sexism""]",2,"{""hate"": ""rule_mapping_from_human_score"", ""group"": ""user_discussion"", ""attack_severity"": ""user_discussion""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""human_adjudicated""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""ai_note"", ""task_policy"": {""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}, ""hate"": {""value"": null, ""field_provenance"": ""unresolved_severity"", ""task_policy"": {""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1517,是啊，我上次遇到一个恶臭直男，真的，他一直三句话不离同志是变态，最后在我把很多论据给他看的时候，他还嘴硬，这些论据都是假的宁愿自己看几千年前的小破书，也不愿看看现在的论据。眼看说不过，就发各种表情来阴阳怪气。🤣大半夜的，差点没把我笑死。,hate,"[""LGBTQ"", ""others""]",2,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:159,还有我们🐶“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,non-hate,"[""Region""]",0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
demo:1653,偶然看到，就评论一下。都是人类，性取向就是萝卜白菜，各有所爱，没有什么高低贵贱。只是想到男男，生理上超级排斥，也就是感觉恶心,non-hate,"[""LGBTQ""]",0,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""ai_note"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""ai_scored""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1660,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,hate,"[""LGBTQ"", ""Sexism""]",1,"{""hate"": ""rule_mapping_from_human_score"", ""group"": ""ai_note"", ""attack_severity"": ""user_discussion""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""human_adjudicated""}","{""attack_severity"": {""value"": null, ""field_provenance"": ""missing"", ""task_policy"": null, ""source"": {""path"": ""sentence-completion-v1/baseline.json"", ""sha256"": ""6a468020ed44387c98a8db708e35bf9beb9e8e03d6b56a2a87ebfaf371d25f58""}}}"
demo:1729,主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd,hate,"[""Sexism""]",2,"{""hate"": ""rule_mapping_from_ai_score"", ""group"": ""user_discussion"", ""attack_severity"": ""ai_note""}","{""hate"": ""rule_mapped"", ""group"": ""retained"", ""attack_severity"": ""retained""}",{}
