query_id,focus_task,primary_bucket,reviewer,review_kind,blind_review_claimed,ambiguity_stance,definition_fit,category_relation,demo_correspondence,pre_trajectory_note,trajectory_page_opened_at_recording,observed_behavior,candidate_explanation,alternative_explanation,gold_review,falsifiable_followup,recommended_role,patching_defer_reason,interventions_executed,gold_changed,core_mask,six_condition_mask,context_status,human_review_status
3683,hate,H_rescue,Codex,AI-assisted-single-review,False,“确实高贵”可能带反讽；后半句概括贬低其他省份。缺少上文，具体说话立场与比较对象不完整。,查询没有命中词条。三条词典项全部来自示例，主要涉及性别/跨地域称谓，与当前省际评价不直接对应。,显式类别混有 Sexism、Racism、Region，不能预设这些标签都适用于查询。,前六条多为省份、经济及歧视讨论，随后混入性别、跨族关系和性少数话题。部分固定 hate 答案在孤立文本下并不直观，应记录示例任务边界，不改答案。,适合区分 Ld-only 词条干扰与示例本身的区域语义；反讽/上文缺失是替代解释。,False,hate Gold=hate；D 正确，SGD 的 gold_margin=-0.5390，SD=+0.7276，删除后 FN→TP。SD 仍比 D 的 margin 低2.4387；S 单独错误。group 在 SG 下错、S 下对。,Ld-only 词典可能改变示例辅助下的任务判断，删除显式字段只部分缓解这种干扰。,删字段也缩短21个 prompt tokens并移动后续资源；区域反讽及示例的任务边界均可影响结果，不能将变化唯一归因于标签语义。,未发现必须修改 Gold 的明确证据；保留反讽和上文缺失的不确定性。,"[""先重复 SG/SGD/S/SD 的现有输入与答案计分，验证翻转可复现。"", ""在另立输入协议中比较原类别字段、同位置/长度的中性占位字段及删除字段；同时测 hate gold_margin 和 FN→TP。"", ""比较保留/移除全部 Ld-only 词条并配套长度/布局对照；若仅字段语义解释成立，语义移除应与中性等长替换表现一致而不只随缩短变化。""]",优先准备字段语义与长度/位置对照的恢复案例,先完成受控输入和重复性验证；当前证据是行为候选。,False,False,0011,001001,complete,pending
5086,hate,H_residual,Codex,AI-assisted-single-review,False,连续反问及“艾/爱”谐音把男同性恋与疾病作概括关联，文本没有明确的引述或反驳标记。,Lq 命中“基”“基佬”“染艾”，定义与本句用法直接相关；另外有较多仅由示例带入的种族/性别等词条。,LGBTQ 字段与显式对象对应；“染艾”还包含 others，类别与目标细分并非一一对应。,前两条示例在词语、疾病污名和反问句式上非常接近，固定答案均为 hate；其他示例混有反污名表达及跨种族话题。,有充足的相关词义与示例信息。后续应比较 Lq-only 与 Ld-only，而不是把行为失败直接解释为知识不足。,False,hate core_mask=0110：S 和 D 各自正确，SD 错。S margin=+1.2170、D=+2.6348、SD=-0.2779；SGD=-0.2481。删除字段在有 D 时几乎未改善（-0.0297），I_S_D=-6.4304。相关主预测均无近并列/口径敏感标记。,这是清楚的组合干扰候选，且干扰在去掉显式类别后仍然存在；相关词义和近似示例各自足以支持当前分类。,词典长度、资源顺序、Ld-only 无关项或示例与定义的注意分配均可能解释；不能据此宣布内部竞争回路。group 是独立任务，不可当作同一推理过程的中间节点。,查询含明确疾病污名和群体概括，与 hate Gold 有较强可见对应；不改 Gold。,"[""以 CD 与 SD 为主对比，先做固定输入重复。"", ""分别比较 Lq-only、Ld-only 和完整 union，并设置长度/位置对照，保持示例顺序与答案不变。"", ""预先规定评估 Gold margin 的恢复以及错误→正确；若移除无关 Ld-only 后仍失败，则不能把干扰归给这些无关项。""]",优先的 H_residual / 组合干扰输入对照案例,先用输入干预区分内容、长度与排列，再确定激活干预对象。,False,False,0110,001010,complete,pending
61,hate,H_removal_harm,Codex,AI-assisted-single-review,False,“种族优势”与“普遍都很小”可能构成反讽，但“小”的对象在查询中省略；不能仅凭示例补写成查询中明示的信息。,查询未命中词条，词典全部由示例带入。“鸡”来自含“毒鸡汤”的示例，与词典所述性贬损义可能不适配。,词典混有 Racism、LGBTQ、Sexism、others，部分与“中国人”的种族框架相关，其余不直接相关。,首条示例“中国尺寸是真的小”十分接近，其他多条涉及中国/亚裔男性、种族刻板印象；仍混有无关话题。,适合检查示例关联、显式类别提示及省略/反讽解释的影响；词条匹配歧义应作为替代解释保留。,False,hate：C0、D、SGD 正确；S 和 SD 错。SGD→SD 为 TP→FN，margin 从+1.4791到-0.5402；无 D 删除的 margin 变化也为负（-1.9852）。独立 group 任务六条件均预测 Racism 正确。,显式字段在本例可能提供有助于 hate 判定的任务提示，是“删除总有益”的反例；当前词典仍全部来自示例。,37-token 缩短/位置变化、首条高度相似示例以及省略/反讽都可能影响；独立 group 成功不证明 hate 提示内部已完成同样计算。,种族概括与现有 hate/Racism Gold 大体对应，但“小”的语义依赖语境，记录上下文缺失。,"[""与恢复案例使用同一组字段语义/等长占位对照，同时保留 TP→FN 破坏端点。"", ""检查 Ld-only 类别提示和首条近似示例的分别贡献，词条/示例调整只在新输入协议中进行。""]",字段删除有害的配对反例,需要确认省略/反讽和等长对照，不能只按有利恢复样本定位。,False,False,1010,101100,complete,pending
7960,group,G_category_support,Codex,AI-assisted-single-review,False,主要是对第二人称及其论述的人身攻击；“农民/地主”用于类比。是否构成数据集中的群体目标，尤其 others，不能仅由辱骂词决定。,Lq 仅“爬”，驱赶义与结尾适配；其他词条来自示例，性别/性取向词典项不直接出现在查询中。,“爬”的显式 others 可能提供类别映射，也可能引导把个人攻击当成群体攻击；需在查看 Gold 后区分。,多条类似争吵/辱骂示例标为空集合，另有泛指“你们”的 others 示例，任务边界存在可比较的对照。,优先区分词义理解与目标集合判定；不能先把类别字段变化解释为准确的群体语义映射。,False,group Gold=[]。SG 预测[]正确，S 预测[Sexism]错误；D、SD 也预测[Sexism]，SGD 预测[others]。这是避免误报的 category_support，并非恢复一个真实群体标签。SG 的预测对既存 score mode 敏感。,字段可能约束目标集合或抵消 Ld-only 性别语义的迁移；“支持”只描述 exact-match 对错，不等同正确传播 others 标签。,32集合 argmax 的计分/基数偏好、40-token 缩短、Ld-only 性别词条与示例标签分布都可能参与。,个人争吵而非明示群体攻击与空集合 Gold 相容；others 边界仍需人工按原标注标准核对。,"[""先确认 SG 下四种计分口径具体如何变化，并重复主口径；不把口径敏感病例优先当稳定 patching 案例。"", ""保持查询与 D 不变，比较 Lq-only 驱赶义词条与 Ld-only 性别词条，报告空集合、Sexism、others 的候选分数及 group_error_count。""]",目标误报和计分敏感性对照；暂缓优先 patching,定义该桶的 SG 条件存在 score-mode sensitivity；需先完成重复与答案口径核验。,False,False,1000,110000,complete,pending
2297,hate,H_joint_only,Codex,AI-assisted-single-review,False,政治/资本叙述中夹有对“这个恋那个恋”及“一群”的强烈贬损，性取向对象较隐含；政治批评对象与群体攻击对象需区分。,查询无词条命中，词典全部来自示例。部分命中出现在“毒鸡汤”“贞操”等组合中，与“鸡”“操”的冻结辱骂义不一定匹配；“骗婚”定义也窄于示例的异性恋语境。,词典跨 LGBTQ/Racism/Sexism/others，相关性并不统一。不能把组合候选先解释成查询词义需要词典补全。,首条身份政治/资本阴谋叙述与查询接近，第二条有明确反同性恋贬损；同时混有政治评论和攻击性较弱的非仇恨示例。,应区分示例提供隐含对象映射、Ld-only 词典引入的任务提示及两个分数贡献共同跨阈值。,False,"两个独立任务均为 core_mask=0001。hate 从 D margin=-0.6113到 SD=+0.4341，I_S_D=+3.4537；group 从 D=[Region,others]到 SD=[Region]。group 的 C0 对计分口径敏感。",固定组合可支持当前两个 Gold 判定，但查询无 Lq 命中，不能把成功叙述为查询词义必须依赖词典；可能涉及示例目标映射或 Ld-only 资源影响。,37-token 长度/位置变化、候选边界、示例语义匹配均可解释。查询既有性取向暗指，也有政治地域对象，目标选择并不唯一。,原 extraction 明确将“西方”及身份政治/剥削指控标为 Region/hate。必须按这一原始目标解释结果，不能改写成已正确识别 LGBTQ；地域政治批评与仇恨的边界建议人工复核，Gold 不改。,"[""以 hate 为主任务先重复原四条件，并记录固定候选分数而非只看正确位。"", ""比较政治/身份叙述相近示例与其他示例的输入贡献，并配套长度/位置对照。"", ""group 路径定位前先核对原目标标准及 C0 的计分敏感性。""]",保留 H_joint_only 候选；目标边界说明优先于机制命名,先复核西方/性取向两个可能目标的解释边界；group 另有计分口径敏感性。,False,False,0001,000001,complete,pending
6037,group,G_joint_only,Codex,AI-assisted-single-review,False,查询在索求评论图片，图片内容未给出；“幕刃”直接出现，但提及对象与是否主动贬损是不同问题。当前 focus 为 group。,“幕刃”定义与本句直接匹配，且在多条固定示例中出现；另外两个词条仅由示例引入。,幕刃→女性/Sexism 的映射清楚；棒畜的 Region 类别不直接适用于查询。,前两条同词示例为 Sexism；同词还出现 Region+Sexism 和 others 的不同目标语境；“图片里对女人的解读”示例为空集合。,具备可定位的词条和近似示例，但需检查是否只是分数相加跨越集合 argmax 边界，而非资源间必需依赖。,False,group Gold=[Sexism]，0/S/D 均预测[]，SD 正确；S margin=-1.5585、D=-12.6828、SD=+2.3382。尽管 core_mask=0001，I_S_D=-14.7162；SGD 也正确。group 全部既存口径无 argmax 敏感标记。hate 六条件均错。,这是有清楚查询词条及相近示例的组合成功案例；二值 joint_only 与正向连续交互并不等价，两个资源贡献跨决策边界仍是候选解释。,gold_margin 的最高非 Gold 竞争者可能随条件改变；分数尺度、空集合偏好、词典/示例长度均可造成该轨迹，不证明串行依赖。,原 group 目标是“幕刃”/Sexism，与可见词条映射相符。hate Gold 涉及使用贬损称谓的索图请求，不能把独立 group 成功当作 hate 任务已理解立场。,"[""优先用此例准备 group 的输入对照，重复 0/S/D/SD 并额外跟踪固定候选 [] 与 [Sexism] 的分数差。"", ""分别控制“幕刃”定义和两条同词示例，配套等长/布局对照；检查两种贡献是否各自存在以及组合是否只跨阈值。"", ""只有输入证据区分解释后，再设计恢复/破坏两个激活干预端点。""]",优先的 G_joint_only 案例，同时作为 joint_only 不等于正交互的反例,先区分固定候选分数贡献与资源依赖，当前不宣称内部协同。,False,False,0001,000101,complete,pending
1128,hate,Stable_correct,Codex,AI-assisted-single-review,False,仅有“你见过吗”的普通询问，没有明确群体或贬损对象；完整对话缺失。,查询未命中词条；词典的性取向与性别词条均由示例引入，与本句无直接词义关系。,本句没有可直接对应到 LGBTQ/Sexism 的可见对象。,首条普通询问高度接近且为 non-hate；其他示例话题差异大，包含 hate 与 non-hate。,可作为短句行为稳定对照；即使各条件预测不变，也不能据此断言模型没有读取资源。,False,hate 与 group 六条件均正确，分别为 non-hate 和[]，且无近并列/口径敏感标记。hate gold_margin 随条件从约11.54到18.81变化，标签稳定不等于分数不变。,可作为无显式群体对象的短句行为稳定对照。,资源可能未被使用、被冗余使用，或影响了分数但不足以改变 argmax；现有行为无法区分。,可见普通问句与 non-hate/空集合 Gold 相容，上文缺失仍需保留。,"[""与主要候选使用相同输入/长度控制及后续扰动强度，保留预测和连续分数两个端点。"", ""若扰动改变 margin 而不改变标签，应照实记录，不能将此当作零影响。""]",稳定正确对照,随主案例进入后续受控重复；不是“资源从未被读取”的证明。,False,False,1111,111111,complete,pending
4026,hate,Stable_wrong,Codex,AI-assisted-single-review,False,文本主要讨论河南被污名化的来源并指责媒体，对“总部在哪”的暗示可能指向地域，但并未明示展开。报道/反驳歧视与实施歧视的边界需核实。,Lq 命中“地域黑”，定义适合解释讨论主题，却不能单独判断说话者立场；其他词条来自示例。,Region 字段与主题相符，主题属于地域议题不等于说话者必然进行地域攻击。,第一条相似的媒体/资本叙述标 hate，第二至第五条反对地域污名的表达多标 non-hate，另有明显地域及其他群体攻击示例。,若与 Gold 不一致，应先记录立场/隐含目标的标注边界疑问，不立即解释为六条件均缺少词义知识。,False,hate Gold=hate，六条件全预测 non-hate；D margin=-0.8593，SD=-1.4697。独立 group 六条件均正确预测 Region。,可保留为未解决行为对照，但当前差异更需要先检查立场/目标边界，而不是推断缺乏地域词义知识。,原标注将指责媒体“黑河南”视为对地域群体的 hate；模型可能更重视反地域污名的表面立场或媒体批评对象。也可能受示例边界影响。,原 extraction 目标为“南方系媒体”，argument 为“黑河南”。“媒体群体/地域群体”及转述他人攻击与实施攻击的区分需人工依原标准核对；不修改原 Gold。,"[""先由人工核对原任务中媒体目标与 Region/hate 的适用标准；在此之前不把该例当作干净的机制失败样本。"", ""若原解释确认适用，再用立场相同、目标指称明确的受控输入对照检查分类边界。""]",标注/立场边界对照，暂缓优先机制定位,目标是媒体还是地域群体、以及转述/立场的边界尚未厘清。,False,False,0000,000000,complete,pending
541,hate,H_rescue,Codex,AI-assisted-single-review,False,反问反对从个体推广到整个群体，表面立场是反对泛化厌恶；“男同/男人”是论证中的例子，不能仅因提及就判定贬损。,“男同”命中适配对象，但“常含贬义”的定义不能替代当前句子的否定/反泛化立场；“变态”仅来自示例。,LGBTQ 对应被提及对象，others 来自示例词条；提及对象与 hate 判定必须分离。,第5条同样反对把个体行为归咎整个性取向群体，是非常接近的 non-hate 对照；其余包含明确歧视与反歧视两类立场。,适合查看字段/定义是否扰乱立场判断，同时保留 D 中近似反泛化示例的贡献。不要预设恢复一定是 FN→TP。,False,hate Gold=non-hate，只有 SGD 预测 hate；删除后是 FP→TN，margin 从-0.6081到+0.5794。D=+0.6118，SD 与 D 很接近。group Gold=[]，六条件均误报被提及的群体。,H_rescue 包含假阳性消除；显式类别与示例组合可能干扰反泛化立场判断。,12-token 长度/位置变化、近似反泛化示例及纯词语提及偏好均可能造成结果；独立 group 任务的错误不应通过事后 hate 清空来修正。,non-hate 与反对群体泛化的立场相容；group 空集合表达的是当前标注目标标准，不能将提及男同/男人直接等同被攻击目标。,"[""与3683成对保留，分别记录 FN→TP 和 FP→TN，检验同一类字段对照是否产生不同方向的 hate_logodds 变化。"", ""比较类别语义、等长中性字段及删除字段，并保持最相近的反泛化示例顺序不变。""]",优先的非仇恨恢复案例，与3683构成双向 readout 对照,先做重复与等长输入对照；不将所有 H_rescue 解释为增强 hate 倾向。,False,False,1111,111011,complete,pending
3169,hate,H_residual,Codex,AI-assisted-single-review,False,“嘿嘿嘿嘿”和“好押韵”可自然理解为笑声或回复措辞；没有明示种族对象，缺失上文也留下隐语解释的不确定性。,冻结“嘿嘿”只给出对黑人群体的隐语义，对常见笑声用法缺少适用边界；这可能与当前查询不适配。其他词条多为示例带入。,Racism 字段与专门隐语义一致，但仅删字段仍保留带种族含义的定义。,第1条普通笑声/回复示例为 non-hate，第3条“嘿嘿”处在明显种族/性贬损语境，二者可以区分词形相似与用法相同。,优先考虑义项错配而非只有显式类别提示；后续可设计普通笑声与隐语语境对照，本轮保持词典和 Gold 不变。,False,hate Gold=non-hate，C0/S/D 正确，SGD/SD 错；删除后 SD margin 更负（-3.7692），相对 D 下降8.6284。group Gold=[]，所有带词典条件均误报 Racism，C0/CD 正确。相关主口径无敏感标记。,冻结“嘿嘿”的专门隐语定义可能被套用于普通笑声，且删显式 Racism 字段未消除定义中的种族语义；这是释义适配性的有力候选。,未知上文可能赋予隐语含义；示例3的同词种族语境、无关 Ld-only 项及长度/位置也可能驱动，现有结果不能单独锁定某词条因果作用。,可见笑声/押韵描述与 non-hate/空集合 Gold 相容，但上文未知；保留该未知项，不重标。,"[""优先比较保留/去除“嘿嘿”这一个词条并配套等长占位，其他资源不变。"", ""在新协议中加入普通笑声义与特定隐语义的受控语境/定义版本，观察 hate 与 Racism 候选分数是否随语境而非仅词形改变。"", ""同时检查匹配示例3的作用，避免把定义与示例共同作用全归给定义。""]",优先的 H_residual / 义项错配输入对照案例,单词条因果作用尚未验证；原词典和 Gold 保持冻结。,False,False,1110,111010,complete,pending
