condition_id	query_id	family_id	analysis_role	source_frame	adopted_reference	qwen3-8b_m	qwen3-8b_margin_error_bound	qwen3-8b_raw_prediction	qwen3-8b_raw_correct	qwen3-8b_conservative_correct	qwen3-8b_legal_mass	qwen3-8b_physical_score_id	qwen3-8b_origin	qwen3-14b_m	qwen3-14b_margin_error_bound	qwen3-14b_raw_prediction	qwen3-14b_raw_correct	qwen3-14b_conservative_correct	qwen3-14b_legal_mass	qwen3-14b_physical_score_id	qwen3-14b_origin	glm4-9b-chat_m	glm4-9b-chat_margin_error_bound	glm4-9b-chat_raw_prediction	glm4-9b-chat_raw_correct	glm4-9b-chat_conservative_correct	glm4-9b-chat_legal_mass	glm4-9b-chat_physical_score_id	glm4-9b-chat_origin
CMAD-HP-Q1-L0-D0	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	31.875139236450195	0.00045013427734375	无	True	True	0.9999984587568715	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D0	new_sealed_production	34.954833984375	0.00029754638671875	无	True	True	0.9999999967591862	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D0	new_sealed_production	10.57677173614502	7.2479248046875e-05	无	True	True	0.9998823814047062	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D0	new_sealed_production
CMAD-HP-Q1-L0-D00	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	30.45850944519043	0.00045013427734375	无	True	True	0.9999991632303794	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D00	new_sealed_production	35.894962310791016	0.00029754638671875	无	True	True	0.9999999990204742	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D00	new_sealed_production	12.489974975585938	7.2479248046875e-05	无	True	True	0.9998694775172658	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D00	new_sealed_production
CMAD-HP-Q1-L0-D01	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	29.502870559692383	0.00045013427734375	无	True	True	0.999999755274162	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D01	new_sealed_production	35.200246810913086	0.00029754638671875	无	True	True	0.9999999991783781	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D01	new_sealed_production	12.44086742401123	7.2479248046875e-05	无	True	True	0.9998493340306848	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D01	new_sealed_production
CMAD-HP-Q1-L0-D01S	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	21.469425201416016	0.00045013427734375	无	True	True	0.9999999125296919	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D01S	new_sealed_production	33.956159591674805	0.00029754638671875	无	True	True	0.9999999990417194	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D01S	new_sealed_production	9.56559944152832	7.2479248046875e-05	无	True	True	0.9998053587663991	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D01S	new_sealed_production
CMAD-HP-Q1-L0-D10	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	28.18755340576172	0.00045013427734375	无	True	True	0.9999996724031316	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D10	new_sealed_production	34.57380294799805	0.00029754638671875	无	True	True	0.999999998880341	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D10	new_sealed_production	11.521384239196777	7.2479248046875e-05	无	True	True	0.9998341615208121	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D10	new_sealed_production
CMAD-HP-Q1-L0-D10S	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	25.77832794189453	0.00045013427734375	无	True	True	0.9999996759155848	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D10S	new_sealed_production	33.09529495239258	0.00029754638671875	无	True	True	0.9999999987642596	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D10S	new_sealed_production	9.251692771911621	7.2479248046875e-05	无	True	True	0.999824551808543	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D10S	new_sealed_production
CMAD-HP-Q1-L0-D11	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	28.635578155517578	0.00045013427734375	无	True	True	0.9999995465630496	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L0-D11	new_sealed_production	36.12655830383301	0.00029754638671875	无	True	True	0.9999999988906438	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L0-D11	new_sealed_production	11.638160705566406	7.2479248046875e-05	无	True	True	0.9998359082644405	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L0-D11	new_sealed_production
CMAD-HP-Q1-L1-D0	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	28.339597702026367	0.00045013427734375	无	True	True	0.9999948375639277	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L1-D0	new_sealed_production	35.72112464904785	0.00029754638671875	无	True	True	0.9999999942856377	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L1-D0	new_sealed_production	9.270682334899902	7.2479248046875e-05	无	True	True	0.9998363159473993	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L1-D0	new_sealed_production
CMAD-HP-Q1-L1-D00	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	27.89590835571289	0.00045013427734375	无	True	True	0.9999998640296489	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L1-D00	new_sealed_production	35.07413673400879	0.00029754638671875	无	True	True	0.9999999986770121	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L1-D00	new_sealed_production	10.488430976867676	7.2479248046875e-05	无	True	True	0.9998477761669609	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L1-D00	new_sealed_production
CMAD-HP-Q1-L1-D01	CMAD-HP-Q1	CMAD-HP	naturalistic_primary_development	naturalistic_primary_development	无	28.58121681213379	0.00045013427734375	无	True	True	0.9999997581006506	4f37f816-072f-474b-b855-565021d7471f:production:CMAD-HP-Q1-L1-D01	new_sealed_production	35.83795738220215	0.00029754638671875	无	True	True	0.9999999991877502	20e20a27-a7cd-41a4-9530-edbe0033db7e:production:CMAD-HP-Q1-L1-D01	new_sealed_production	10.455876350402832	7.2479248046875e-05	无	True	True	0.9998504234516513	29cfe956-25e6-4597-a476-e0f6c76e22c9:production:CMAD-HP-Q1-L1-D01	new_sealed_production
