request_id	query_id	dictionary_id	tokens	focal	pre	prompt_sha256
jctx-J05-D00	J05	D00	580	[556, 557]	[554, 555]	d66a04f346cf87ce98f61114fdaa8126cbbb06f0bdd3a2ff375b78fbd4083f81
jctx-J05-D01	J05	D01	617	[593, 594]	[591, 592]	d32e02235d83a82e80648c82748a5ea004e37c4bba69f5d0cc309f6f4116b63a
jctx-J05-D02	J05	D02	599	[575, 576]	[573, 574]	3a026a2b816edd31f670c5bd0fe13d8f2c50a3040aed1cbd667b9a664b0dbd66
jctx-J06-D00	J06	D00	588	[562, 563]	[560, 561]	8ab181324906cf189f133b9bdc00d003576d7085164647c827e7a7e2b75db45c
jctx-J06-D01	J06	D01	625	[599, 600]	[597, 598]	2a1ebc44feca7a85ec367ca84b1c2c501d25810a86f00abbf582fd4b914631da
jctx-J06-D02	J06	D02	607	[581, 582]	[579, 580]	2d98ef36ee7beee117d29358f07f830d6d6037338675ab1c01d69575a4cbbf78
jctx-J07-D00	J07	D00	581	[561, 562]	[559, 560]	0ddae0cf91dadf631161a09e64a8d7c1dc86b66e5245e81dc4ec0af1ab170d9c
jctx-J07-D01	J07	D01	618	[598, 599]	[596, 597]	b25b667d05997ee97131a15db22a893bdae7e93ba2d09bf5bbdf9365105445c9
jctx-J07-D02	J07	D02	600	[580, 581]	[578, 579]	7de736236efca708709cc56673fdc245bcc412ce963816a24a6e4ec60889711e
jctx-J08-D00	J08	D00	587	[562, 563]	[560, 561]	b0017bc13d96e4fd5999637074709d5169cf45837b216f11bc8608743b9f7886
jctx-J08-D01	J08	D01	624	[599, 600]	[597, 598]	40f9df13bfe6208fb990824e4e7c0d34010f073e33d7e6d8555e5e59f6558366
jctx-J08-D02	J08	D02	606	[581, 582]	[579, 580]	edaa207c20ce581daae05a527827afe940dbc7345bbcb79e6bcd4073247ae670
jctx-J09-D00	J09	D00	583	[561, 562]	[559, 560]	0c438ef5a0b1f42878c546a3dbbb99db9c16373861c9d9c7183166041e527002
jctx-J09-D01	J09	D01	620	[598, 599]	[596, 597]	a6d9c48ed16ddad38f7cb6557a7d45fd5cc17cf5c0e2e0f4d3b93b946f3e2fba
jctx-J09-D02	J09	D02	602	[580, 581]	[578, 579]	022143cb17b59def1f25aa7ffdeb6eff36f2b408aff894d6fefc5d2f3b5915c3
jctx-J10-D00	J10	D00	586	[562, 563]	[560, 561]	938db4bfb0e5e4d10f17475e9a06b31bf32e015515029550c557c72cf4954c7e
jctx-J10-D01	J10	D01	623	[599, 600]	[597, 598]	6191945b9b2dd43a9b1b1e707f2e56fc9856461aba6f54cddc766534f3d391a2
jctx-J10-D02	J10	D02	605	[581, 582]	[579, 580]	ab6f1d93aab7b069a0fc1d141115071961eb324878993aff9562a8c7bb9785e1
