object_id,review_kind,text,hate,group,uncertainties,note
demo:100,ai_note,水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。😆,null,"[""others""]",社会角色或社群贬损的 hate 范围,评价女权参与者而非所有女性；该角色群体的笼统贬损是否进入hate范围待定。
demo:1035,ai_note,女性到底应不应该有权利呢？,non-hate,"[""Sexism""]",,问题明确围绕女性权利；仅凭疑问形式不能认定作者主张剥夺权利。
demo:1158,ai_note,女拳真是典中典?,null,"[""others""]",社会角色或社群贬损的 hate 范围,对所谓女拳群体作讥讽；未把对象扩大到全部女性，角色群体攻击范围尚需明确。
demo:1180,ai_note,这就是你们txl的好队友吗？,null,"[""LGBTQ""]",省略的命题或事件会改变 hate 判断,明确以同性恋群体为指代对象；队友何事及是否以个体连带贬损全群体缺语境。
demo:1224,ai_note,内卷是有底线的，你本科毕业再怎么卷，即使在家待业也不会去扫大街。那个男的接这盘，一辈子抬不起头。,null,"[""Sexism"", ""others""]",社会角色或社群贬损的 hate 范围；省略的命题或事件会改变 hate 判断,学历与清扫职业被作地位比较，并对男性接盘施加羞耻评价；具体关系所指及职业贬损的hate边界未清。
demo:1240,ai_note,这货删帖了，不好发挥啊,null,[],个体辱骂的 hate 范围,贬称指向删帖的具体人，没有实际群体身份对象；轻度个体冒犯范围待定。
demo:1242,ai_note,我认为的偏见是指在还不了解真实情况或者了解不全的的时候就对某一件事情带有明显的情绪化和极端的观点，例如山西都是挖煤的，上海男人说话都是娘娘腔这种就是很明显的地域偏见，我认为你的好恶只是说你不喜欢txl，可我没说你是偏见。你的好恶是自由的，但偏见不是。,non-hate,"[""Region"", ""LGBTQ"", ""Sexism""]",,地域及男性气质刻板印象被明确当作偏见例子反对；另讨论对同性恋的态度，未见作者直接贬损群体。
demo:127,ai_note,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,hate,"[""LGBTQ""]",,将同性恋与艾滋病相绑定进行嘲讽；唐山是地点背景。
demo:1294,ai_note,歧视这个词不太好，太过了。但确实，很多txl给人的观感并不好，我觉得，这个网络也对人有太多影响，短视频里那些娘里娘气的、装疯卖傻的，让人反感，给孩子们不好的教育示范。,hate,"[""LGBTQ""]",,把反感和有害示范归于同性恋群体及其表达，开头回避歧视用词不消除后续污名。
demo:1336,ai_note,十几年前我刚上网的时候网上东北的名声还行，最起码“东北曾经是发达地区只是现在衰落了”这种常识哪怕是再黑东北的人也不会否认，但是这几年不知道怎么了，可能是智能手机便宜了流量便宜了，很多地域黑居然张口就是东北是贫困山区一样的地方😓,non-hate,[],,反驳对东北经济与地理状况的失实描述；本句讨论地区本身，未评价居民身份。
