m	z_yes	z_no	log_p_yes	log_p_no	log_legal_mass	legal_mass	pair_support_no	raw_prediction	margin_error_bound	resolution	request_id	query_id	condition	reference	raw_reference_correct	reference_aligned_margin
25.893070220947266	25.882610321044922	51.77568054199219	-25.89307228985257	-2.0689053030764626e-06	-2.0688996187345765e-06	0.9999979311025214	0.9999999999943157	无	1e-06	positive	jmix-J05-M00	J05	M00	无	True	25.893070220947266
28.65321159362793	23.263216018676758	51.91642761230469	-28.653213315836886	-1.722208956778104e-06	-1.7222085944013088e-06	0.9999982777928886	0.9999999999996376	无	1e-06	positive	jmix-J05-MP	J05	MP	无	True	28.65321159362793
25.116579055786133	28.267366409301758	53.38394546508789	-25.11658047636905	-1.420582918854052e-06	-1.420570562515877e-06	0.9999985794304465	0.9999999999876437	无	1e-06	positive	jmix-J05-MS	J05	MS	无	True	25.116579055786133
29.60476303100586	20.801013946533203	50.40577697753906	-29.604766024029935	-2.993024075692574e-06	-2.993023933584027e-06	0.9999970069805455	0.9999999999998579	无	1e-06	positive	jmix-J05-MPS	J05	MPS	无	True	29.60476303100586
27.32932472229004	22.37819480895996	49.70751953125	-27.32932856062248	-3.838332439443093e-06	-3.838331089411895e-06	0.9999961616762769	0.99999999999865	无	1e-06	positive	jmix-J05-MSP	J05	MSP	无	True	27.32932472229004
29.461158752441406	22.585121154785156	52.04627990722656	-29.461160221422112	-1.4689807059653504e-06	-1.4689805425405211e-06	0.9999985310205364	0.9999999999998366	无	1e-06	positive	jmix-J06-M00	J06	M00	无	True	29.461158752441406
29.38665771484375	23.998748779296875	53.385406494140625	-29.38665847655843	-7.61714680663772e-07	-7.617145101335154e-07	0.99999923828578	0.9999999999998295	无	1e-06	positive	jmix-J06-MP	J06	MP	无	True	29.38665771484375
23.295137405395508	30.0866641998291	53.38180160522461	-23.295138573124163	-1.1677286551048383e-06	-1.1676522646553167e-06	0.999998832348417	0.9999999999236096	无	1e-06	positive	jmix-J06-MS	J06	MS	无	True	23.295137405395508
28.926952362060547	21.491329193115234	50.41828155517578	-28.926955609940265	-3.247879718060176e-06	-3.2478794480539364e-06	0.9999967521258263	0.99999999999973	无	1e-06	positive	jmix-J06-MPS	J06	MPS	无	True	28.926952362060547
27.123254776000977	23.41107749938965	50.534332275390625	-27.123257432307923	-2.6563069468465983e-06	-2.6563052841765966e-06	0.9999973436982438	0.9999999999983373	无	1e-06	positive	jmix-J06-MSP	J06	MSP	无	True	27.123254776000977
-22.529621124267578	54.80779266357422	32.27817153930664	-1.7909940197569085e-10	-22.529621124446678	-1.4850343177386094e-11	0.9999999999851497	1.642516973899517e-10	有	1e-06	negative	jmix-J07-M00	J07	M00	无	False	-22.529621124267578
-19.853443145751953	56.29305648803711	36.439613342285156	-2.3958506290000514e-09	-19.853443148147804	-9.36495325731812e-12	0.999999999990635	2.386487665034711e-09	有	1e-06	negative	jmix-J07-MP	J07	MP	无	False	-19.853443145751953
-11.104652404785156	53.90287780761719	42.79822540283203	-1.5042093821193703e-05	-11.104667446878977	-2.8485658276622416e-11	0.9999999999715143	1.5041952207273292e-05	有	1e-06	negative	jmix-J07-MS	J07	MS	无	False	-11.104652404785156
-6.2827301025390625	50.49120330810547	44.208473205566406	-0.0018665508333484127	-6.284596653372411	-9.281606594413461e-10	0.9999999990718393	0.001864808984252241	有	1e-06	negative	jmix-J07-MPS	J07	MPS	无	False	-6.2827301025390625
-5.496623992919922	49.43436813354492	43.937744140625	-0.004092209406380221	-5.500716202326302	-2.196124171405245e-09	0.9999999978038758	0.004083845540117289	有	1e-06	negative	jmix-J07-MSP	J07	MSP	无	False	-5.496623992919922
-14.836433410644531	53.02743911743164	38.19100570678711	-3.602915370493065e-07	-14.836433770936068	-2.928146614067373e-11	0.9999999999707185	3.6026218788155136e-07	有	1e-06	negative	jmix-J08-M00	J08	M00	无	False	-14.836433410644531
-11.463809967041016	55.069549560546875	43.60573959350586	-1.0503373260917215e-05	-11.463820470414277	-1.1858958259836072e-11	0.999999999988141	1.0503306239608036e-05	有	1e-06	negative	jmix-J08-MP	J08	MP	无	False	-11.463809967041016
-4.121379852294922	52.97294235229492	48.8515625	-0.016091944481857468	-4.137471796776779	-2.221710815319966e-09	0.9999999977782892	0.015963158675318896	有	1e-06	negative	jmix-J08-MS	J08	MS	无	False	-4.121379852294922
1.6775398254394531	47.797542572021484	49.47508239746094	-1.8488285020587512	-0.17128867661929803	-2.170272352941538e-07	0.9999997829727882	0.8425784885661266	无	1e-06	positive	jmix-J08-MPS	J08	MPS	无	True	1.6775398254394531
0.016208648681640625	48.08890914916992	48.10511779785156	-0.7012845433275174	-0.6850758946458768	-1.9874972423394865e-07	0.9999998012502955	0.5040520734573051	无	1e-06	positive	jmix-J08-MSP	J08	MSP	无	True	0.016208648681640625
-24.09585189819336	55.40120315551758	31.30535125732422	-4.912692475045333e-11	-24.095851898242486	-1.482902689531329e-11	0.999999999985171	3.430081852881104e-11	有	1e-06	negative	jmix-J09-M00	J09	M00	有	True	24.09585189819336
-22.803821563720703	57.59790802001953	34.79408645629883	-1.304485408581968e-10	-22.80382156385115	-5.5848659030743875e-12	0.9999999999944151	1.2486080440682117e-10	有	1e-06	negative	jmix-J09-MP	J09	MP	有	True	22.803821563720703
-20.097496032714844	57.1378059387207	37.04030990600586	-1.8749588548416796e-09	-20.097496034589803	-5.272227099339943e-12	0.9999999999947278	1.869684691282137e-09	有	1e-06	negative	jmix-J09-MS	J09	MS	有	True	20.097496032714844
-20.323421478271484	55.34608840942383	35.022666931152344	-1.505895852460526e-09	-20.32342147977738	-1.4303225270850817e-11	0.9999999999856968	1.491592523911913e-09	有	1e-06	negative	jmix-J09-MPS	J09	MPS	有	True	20.323421478271484
-20.073253631591797	55.2335205078125	35.1602668762207	-1.9309496224195755e-09	-20.073253633522746	-1.538325022920617e-11	0.9999999999846167	1.9155642053422823e-09	有	1e-06	negative	jmix-J09-MSP	J09	MSP	有	True	20.073253631591797
-21.53982925415039	55.733741760253906	34.193912506103516	-4.49816184300289e-10	-21.539829254600207	-7.865708084864309e-12	0.9999999999921343	4.4194783791042576e-10	有	1e-06	negative	jmix-J10-M00	J10	M00	有	True	21.53982925415039
-23.15949249267578	57.88207244873047	34.72257995605469	-8.972023124442785e-11	-23.1594924927655	-2.2311041902867146e-12	0.9999999999977689	8.749036063864448e-11	有	1e-06	negative	jmix-J10-MP	J10	MP	有	True	23.15949249267578
-18.73031234741211	56.858367919921875	38.128055572509766	-7.341220964462991e-09	-18.73031235475333	-4.050093593832571e-12	0.9999999999959499	7.33717199938375e-09	有	1e-06	negative	jmix-J10-MS	J10	MS	有	True	18.73031234741211
-19.706298828125	55.50761413574219	35.80131530761719	-2.775685459255328e-09	-19.706298830900685	-1.0892620139202336e-11	0.9999999999891074	2.7647964235372646e-09	有	1e-06	negative	jmix-J10-MPS	J10	MPS	有	True	19.706298828125
-17.675556182861328	54.99801254272461	37.32245635986328	-2.1080516887650447e-08	-17.675556203941845	-1.34789956973691e-11	0.999999999986521	2.1067037875839536e-08	有	1e-06	negative	jmix-J10-MSP	J10	MSP	有	True	17.675556182861328
