object_id,text,hate,group,attack_severity,pending_tasks,severity_status,label_review_kind,severity_review_kind,label_note,severity_rationale,severity_candidates,severity_suggested_score,hate_policy,group_policy,severity_policy,severity_label_reference_matches_current_values,online_material_confirmed,hate_source,group_source,severity_source,historical_hate,historical_hate_policy
demo:476,在下也不太能接受。不过有一个问题，假如那姑娘被黑人给QJ了怎么算⁉俺觉得这种情况反而能接受了😅,hate,"[""Racism"", ""Sexism""]",2,,scored,ai_note,ai_note,通过是否自愿来贬评女性与黑人交往，形成种族与性别化的污名；“能接受受害者”没有赞许强暴，不能据 QJ 字面取暴力级。,将自愿跨种族关系与遭性侵区别对待并污名化前者；没有表示支持实施强暴。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:478,u1s1，那个图片里对女人的解读基本没什么毛病，如果你觉得不对，那么请在五千年人类史中举出反例,non-hate,"[""Sexism""]",0,,scored,ai_note,ai_note,参照 #3194、#4744，只看可见文字。赞同的具体图片命题缺失，当前句子没有可识别的攻击内容，不补造图片；女人明确作为被解释的群体，保留 Sexism。,当前仅有对缺失图片命题的认可，不能把未见的具体内容当作攻击；依照 #3194、#4744 按可见文本取 0。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,non-hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:4810,女权背后打拳替美国佬办事的狗东西可不少，把黑人娶进来的咋不说呢,hate,"[""Racism"", ""Sexism"", ""others""]",2,,scored,human_with_ai,human_with_ai,用户明确判 hate／2／Racism、Sexism、others。“美国佬”为政治代理指控的背景，不单独参与讨论，不补 Region。,用户明确判 hate／2／Racism、Sexism、others。“美国佬”为政治代理指控的背景，不单独参与讨论，不补 Region。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",False,False,rule_mapping_from_user_score,user_discussion,user_discussion,hate,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}"
demo:4839,用歧视修正道德吧，媚黑的扭曲三观，需要歧视其，并连带歧视其家人邻居等等大范围，只有火烧到了身上，大部分人才会救火,hate,"[""others""]",3,,scored,ai_note,ai_note,把亲黑人态度者及其家人邻居一并列为歧视对象，是对明确人群的连带排斥，取 others；无明确性别信息，也未直接评价黑人群体本身，不补 Sexism 或 Racism。“火烧”是殃及自身的比喻。,明确鼓动对态度群体及其无关亲邻一并实施歧视，以连带身份剥夺平等对待；火烧是牵连的比喻，不是纵火号召。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:4891,抛开数量谈都是耍流氓最底层的“最”，这个模糊的伺……底层男可以找底层女啊，底层女的也被挤压（）,non-hate,"[""Sexism"", ""others""]",0,,scored,ai_note,ai_note,批评论证方式并讨论男女及底层阶层的婚恋处境，没有将“底层”本身说成低劣，也未直接称对方是流氓；取 0。,“耍流氓”落在抛开数量的论证做法；阶层与性别讨论没有把人说成低劣。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,non-hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:4939,备注：本人于今天上午一点发的同名帖子被系统删除，删前已有100多评论。大家猜猜是怎么回事呢,non-hate,[],0,,scored,ai_note,ai_note,描述帖子被删除并邀请推测，没有实施针对人的贬损。,报告帖子被系统删除，没有定向辱骂。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,non-hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:51,人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。,hate,"[""LGBTQ"", ""Sexism"", ""others""]",3,,scored,ai_note,ai_note,宣称女性有吸血本能并仅具繁殖、泄欲工具价值，支持 3 级；红丸群体与男同也作为行为选择或评价单位，分别保留 others、LGBTQ。没有明确认可强迫性暴力，不据性内容直接升 4。,把女性描述成天性吸血及繁殖、泄欲工具，否定其完整人的地位；最高等级来自女性命题，不传播给所有提到的群体。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:5113,很多男的无感，我老公就是对同志无感，而且他还有一个同事一个战友是同，他们玩的都挺好的。但是他说他在部队，有个男的加他，要给他k，他不同意，然后那个男的说闭上眼睛享受就行了，结果我老公把他拉黑了。今年我不知道啥事问他，他才告诉我的，他说就是很奇怪，为啥会有男的要给他k🤔，神经病么。。。他们直男都不了解为什么同会这样，都觉得很奇怪。其实很多直男对同都是无感的,non-hate,"[""LGBTQ"", ""Sexism"", ""others""]",0,,scored,human_with_ai,human_with_ai,用户明确按客观描述事件判 non-hate／0；主体是那个男的，没有直接攻击同性恋群体。保留 LGBTQ、Sexism、others 的讨论类别，不把转述中的“神经病么”当成作者另行认可的攻击。,用户明确按客观描述事件判 non-hate／0；主体是那个男的，没有直接攻击同性恋群体。保留 LGBTQ、Sexism、others 的讨论类别，不把转述中的“神经病么”当成作者另行认可的攻击。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",False,False,rule_mapping_from_user_score,user_discussion,user_discussion,non-hate,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}"
demo:5125,嫁非洲人可以，去非洲。我们不需要中非混血。更不需要嘿二代少先队员说我们是祖国的花朵。审美不符，道德情操不符，艾滋病的潜伏期太长，国人很怕当接盘侠。,hate,"[""Racism"", ""Region"", ""Sexism""]",3,,scored,ai_note,ai_note,要求因跨种族婚育而离境并排斥混血后代的共同体参与，兼有种族、地域归属及性别化婚恋评价，取 3 级。,以种族、婚育身份要求离境并否定后代共同体成员资格，构成严重排斥，非普通审美偏好。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:5135,作为一个土生外长的河南人，以前也一直是恨铁不成钢，和外面的人打交道从来小心翼翼，生怕给故乡招了黑，但到后来慢慢才发现，各种迹象表明，地域黑是西方资本控制的国内某些媒体，刻意营造出来的从内部分裂、瓦解民族认同感的舆论战争！（结合当下的国际形势，以及曝光出来的一些类似案例，请自行脑补）,non-hate,"[""Region""]",0,,scored,ai_note,ai_note,反对地域污名并归因媒体和资本操作，没有把抽象资本改写成具体受辱人群。这里不核实或认可其政治操控指控，取 0。,为地域群体辩护并批评机构行为；没有已成立的额外个人攻击，不评价操控指控的真伪。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,non-hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
