method,run,class,hard_precision,hard_recall,hard_f1,soft_precision,soft_recall,soft_f1,avg_f1,hard_tp,hard_fp,hard_fn,soft_tp,soft_fp,soft_fn
IDS,ids_results.json,Racism,0.06302521008403361,0.040106951871657755,0.04901960784313726,0.2773109243697479,0.17647058823529413,0.21568627450980393,0.1323529411764706,15.0,223.0,359.0,66.0,172.0,308.0
IDS,ids_results.json,Sexism,0.04067796610169491,0.024742268041237112,0.030769230769230767,0.2135593220338983,0.12989690721649486,0.16153846153846155,0.09615384615384616,12.0,283.0,473.0,63.0,232.0,422.0
IDS,ids_results.json,LGBTQ,0.039603960396039604,0.030534351145038167,0.03448275862068965,0.1485148514851485,0.11450381679389313,0.1293103448275862,0.08189655172413791,4.0,97.0,127.0,15.0,86.0,116.0
IDS,ids_results.json,Region,0.11312217194570136,0.08389261744966443,0.09633911368015415,0.28054298642533937,0.2080536912751678,0.23892100192678226,0.1676300578034682,25.0,196.0,273.0,62.0,159.0,236.0
IDS,ids_results.json,others,0.0,0.0,0.0,0.07142857142857142,0.01680672268907563,0.027210884353741496,0.013605442176870748,0.0,28.0,119.0,2.0,26.0,117.0
IDS,ids_results.json,non-hate,0.01889763779527559,0.017518248175182483,0.018181818181818184,0.07401574803149606,0.06861313868613139,0.07121212121212121,0.0446969696969697,12.0,623.0,673.0,47.0,588.0,638.0
CoT,exp_8399c5dbba_s4242.json,Racism,0.24111675126903553,0.2540106951871658,0.24739583333333334,0.4213197969543147,0.44385026737967914,0.43229166666666663,0.33984375,95.0,299.0,279.0,166.0,228.0,208.0
CoT,exp_8399c5dbba_s4242.json,Sexism,0.21237113402061855,0.21237113402061855,0.21237113402061855,0.4247422680412371,0.4247422680412371,0.4247422680412371,0.3185567010309278,103.0,382.0,382.0,206.0,279.0,279.0
CoT,exp_8399c5dbba_s4242.json,LGBTQ,0.1456953642384106,0.16793893129770993,0.15602836879432624,0.3509933774834437,0.40458015267175573,0.375886524822695,0.26595744680851063,22.0,129.0,109.0,53.0,98.0,78.0
CoT,exp_8399c5dbba_s4242.json,Region,0.24489795918367346,0.24161073825503357,0.24324324324324323,0.46258503401360546,0.4563758389261745,0.45945945945945943,0.3513513513513513,72.0,222.0,226.0,136.0,158.0,162.0
CoT,exp_8399c5dbba_s4242.json,others,0.2222222222222222,0.06722689075630252,0.1032258064516129,0.3333333333333333,0.10084033613445378,0.15483870967741933,0.12903225806451613,8.0,28.0,111.0,12.0,24.0,107.0
CoT,exp_8399c5dbba_s4242.json,non-hate,0.27485380116959063,0.27445255474452557,0.27465303140978814,0.4926900584795322,0.491970802919708,0.49233016800584367,0.3834915997078159,188.0,496.0,497.0,337.0,347.0,348.0
DPP,k1_s4242.json,Racism,0.2301980198019802,0.24866310160427807,0.2390745501285347,0.4306930693069307,0.46524064171123,0.4473007712082262,0.34318766066838047,93.0,311.0,281.0,174.0,230.0,200.0
DPP,k1_s4242.json,Sexism,0.22535211267605634,0.2309278350515464,0.22810590631364563,0.4346076458752515,0.44536082474226807,0.43991853360488803,0.33401221995926683,112.0,385.0,373.0,216.0,281.0,269.0
DPP,k1_s4242.json,LGBTQ,0.12738853503184713,0.15267175572519084,0.1388888888888889,0.3503184713375796,0.4198473282442748,0.3819444444444444,0.26041666666666663,20.0,137.0,111.0,55.0,102.0,76.0
DPP,k1_s4242.json,Region,0.22388059701492538,0.2516778523489933,0.2369668246445498,0.4388059701492537,0.49328859060402686,0.4644549763033175,0.35071090047393366,75.0,260.0,223.0,147.0,188.0,151.0
DPP,k1_s4242.json,others,0.15384615384615385,0.08403361344537816,0.10869565217391304,0.26153846153846155,0.14285714285714285,0.18478260869565216,0.1467391304347826,10.0,55.0,109.0,17.0,48.0,102.0
DPP,k1_s4242.json,non-hate,0.26666666666666666,0.291970802919708,0.27874564459930307,0.492,0.5386861313868613,0.5142857142857143,0.3965156794425087,200.0,550.0,485.0,369.0,381.0,316.0
Zero-Shot,cot.json,Racism,0.12477064220183487,0.18181818181818182,0.14798694232861806,0.29174311926605506,0.42513368983957217,0.34602829162132753,0.2470076169749728,68.0,477.0,306.0,159.0,386.0,215.0
Zero-Shot,cot.json,Sexism,0.10843373493975904,0.14845360824742268,0.12532637075718014,0.28463855421686746,0.38969072164948454,0.32898172323759794,0.22715404699738906,72.0,592.0,413.0,189.0,475.0,296.0
Zero-Shot,cot.json,LGBTQ,0.065,0.09923664122137404,0.07854984894259819,0.265,0.40458015267175573,0.32024169184290036,0.19939577039274928,13.0,187.0,118.0,53.0,147.0,78.0
Zero-Shot,cot.json,Region,0.0893970893970894,0.14429530201342283,0.11039794608472402,0.23700623700623702,0.3825503355704698,0.29268292682926833,0.20154043645699618,43.0,438.0,255.0,114.0,367.0,184.0
Zero-Shot,cot.json,others,0.03319502074688797,0.06722689075630252,0.04444444444444444,0.1037344398340249,0.21008403361344538,0.1388888888888889,0.09166666666666667,8.0,233.0,111.0,25.0,216.0,94.0
Zero-Shot,cot.json,non-hate,0.1485148514851485,0.13138686131386862,0.13942680092951204,0.3795379537953795,0.3357664233576642,0.3563129357087529,0.24786986831913246,90.0,516.0,595.0,230.0,376.0,455.0
SRAG,general_prompt.json,Racism,0.2465753424657534,0.24064171122994651,0.2435723951285521,0.42191780821917807,0.4117647058823529,0.4167794316644114,0.3301759133964818,90.0,275.0,284.0,154.0,211.0,220.0
SRAG,general_prompt.json,Sexism,0.21951219512195122,0.20412371134020618,0.21153846153846154,0.4279379157427938,0.3979381443298969,0.4123931623931623,0.3119658119658119,99.0,352.0,386.0,193.0,258.0,292.0
