query_id	query_text	reference	severity	conditions	correct_conditions	m_absent_none	m_L_none	m_N_none	m_absent_same_A	m_L_same_A	m_N_same_A	m_absent_same_B	m_L_same_B	m_N_same_B	m_absent_other_A	m_absent_other_B	error_or_unresolved_conditions
CTD-G1-v2	借钱的时候说得好听，现在装死不还，你这种人真是垃圾。	有	2	9	9	-25.47872543334961	-23.84607696533203	-21.965429306030273	-25.034420013427734	-24.796178817749023	-24.14898681640625	-23.062458038330078	-22.092327117919922	-20.19327163696289			
CTD-G2-v2	出门的时候顺手把门口那袋垃圾带下去。	无	0	11	11	30.414289474487305	22.67304039001465	28.913047790527344	28.836984634399414	29.73406410217285	28.7137393951416	30.53644371032715	28.04368782043457	27.854408264160156	29.051244735717773	30.74503517150879	
CTD-G3-v2	他欠钱没还，你就说这事，别一口一个垃圾。	无	0	9	1	-17.878421783447266	-4.305095672607422	-2.4837570190429688	-10.159080505371094	3.7855186462402344	-4.4964752197265625	-3.0465126037597656	-1.285888671875	-3.7055816650390625			CTDJ-G3-absent-none,CTDJ-G3-L-none,CTDJ-G3-N-none,CTDJ-G3-absent-same_A,CTDJ-G3-N-same_A,CTDJ-G3-absent-same_B,CTDJ-G3-L-same_B,CTDJ-G3-N-same_B
CTD-G4-v2	你把垃圾扔别人家门口，是不是没脑子？	有	1	11	11	-25.643508911132812	-22.55258560180664	-21.255577087402344	-25.034006118774414	-22.661911010742188	-22.31259536743164	-22.811988830566406	-19.933727264404297	-20.430809020996094	-25.07522201538086	-26.134593963623047	
CTD-J1-v2	北京户口了不起啊？瞧把你这京巴给牛的。	有	2	9	9	-24.084075927734375	-22.857067108154297	-21.212158203125	-25.379100799560547	-26.47227668762207	-24.63435935974121	-24.28902816772461	-23.05929946899414	-22.443134307861328			
CTD-J2-v2	我家那只京巴一听见开饭，跑得比谁都快。	无	0	11	10	22.465961456298828	-10.785945892333984	17.076854705810547	29.222402572631836	24.24947166442871	24.915264129638672	23.555461883544922	21.85126495361328	19.53054428100586	24.518579483032227	26.65545082092285	CTDJ-J2-L-none
CTD-J3-v2	北京人怎么了？别动不动就拿京巴骂人。	无	0	9	2	-19.27337646484375	-0.5213470458984375	-9.583694458007812	-21.064678192138672	-8.749065399169922	-19.77407455444336	5.8747406005859375	1.0763130187988281	-10.300552368164062			CTDJ-J3-absent-none,CTDJ-J3-L-none,CTDJ-J3-N-none,CTDJ-J3-absent-same_A,CTDJ-J3-L-same_A,CTDJ-J3-N-same_A,CTDJ-J3-N-same_B
CTD-J4-v2	这明明是只京巴，非说是博美，你眼瞎啊？	有	1	11	11	-23.105892181396484	-19.5155029296875	-15.736114501953125	-24.467357635498047	-21.740142822265625	-21.145082473754883	-18.946895599365234	-14.65230941772461	-15.13491439819336	-24.09296989440918	-23.48651885986328	
CTD-B1-v2	她就是辆公交车，你还真把她当宝了？	有	2	9	9	-26.125871658325195	-22.77739715576172	-20.70883560180664	-21.348281860351562	-23.583417892456055	-19.621723175048828	-18.839984893798828	-21.93172836303711	-17.1826171875			
CTD-B2-v2	公交车到站了，咱们下车吧。	无	0	11	11	32.89990043640137	30.677730560302734	31.788192749023438	32.13517761230469	30.822044372558594	32.64391899108887	30.29020118713379	28.487585067749023	27.537975311279297	31.819374084472656	32.99298667907715	
CTD-B3-v2	她跟谁谈过恋爱是她自己的事，别张口就叫人家公交车。	无	0	9	3	-12.84933090209961	-10.191776275634766	-4.0434417724609375	-12.528194427490234	-6.733055114746094	-14.102344512939453	11.39620590209961	11.784675598144531	6.592166900634766			CTDJ-B3-absent-none,CTDJ-B3-L-none,CTDJ-B3-N-none,CTDJ-B3-absent-same_A,CTDJ-B3-L-same_A,CTDJ-B3-N-same_A
CTD-B4-v2	公交车上这么多人，你还堵着门，有病吧？	有	1	11	11	-25.285797119140625	-18.390460968017578	-23.340038299560547	-22.804683685302734	-22.660974502563477	-23.83987808227539	-23.753276824951172	-20.215530395507812	-22.338703155517578	-24.719493865966797	-24.038875579833984	
