id,content,label,x,y,cluster
1460,征尼大将军,Racism,0.48022798,2.6889608,4
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,1.6630795,-0.89889777,9
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,3.3372917,1.5185362,2
4683,要把一滴血原则带到中国来,Racism,-0.0022639171,-1.9580616,7
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,-0.9686086,-2.4750366,9
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,1.348507,-1.8333871,8
6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,Racism,-2.9731157,-1.1955061,3
6091,默滚出中国就行了。,Racism,1.3324187,2.6161962,6
460,没有世界帮助，非洲还生活在原始社会。,Racism,1.8599273,-0.5673124,5
2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,Racism,-0.90021634,-0.7551951,8
1266,本来我们才是白种人，被西方丑化才被说成是黄祸,Racism,0.4465216,-3.0806468,1
3084,作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立,Racism,-2.2818358,-0.94982797,3
508,黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。,Racism,1.1624666,-1.0640677,5
2554,犹太人凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化。,Racism,1.5154666,-2.8435237,7
5268,很好，以其人之道还治其人之身，可惜某些人却要倒贴黑,Racism,-0.138839,1.1397679,8
5691,娶N婚也不能要和黑人处过的啊,Racism,-1.850325,-1.8525579,3
1378,浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它,Racism,0.9502915,-2.4076211,9
3187,大家把我帖子多宣传，我们开发出可以使黑人的古龙水发臭的东西在黑人聚集地发散开，或者给中国女人们使用或者佩戴，保证黑人们一个都混不下去。,Racism,-0.09263374,-0.8402721,9
7049,可见全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪是它们身体内必不可少基因之一,Racism,3.6402175,1.4554551,2
