兄弟 | 还不认亲 | Racism | hate [END]
广黑吧 | 没了吗 | non-hate | non-hate [END]
卫辉官媒 | 错误 | non-hate | non-hate [END]
男权 | 男女平权 | non-hate | non-hate [END]
这 | niggeг | Racism | hate [END]
你 | 追求男女平等 | non-hate | non-hate [END]
中国人 | 不会吃政治正确那一套 | non-hate | non-hate [END]
中国人 | 吹黑人性能力 | Sexism | hate [END]
田楠 | 骗婚骗炮 | Sexism | hate [END]
这个视频 | 比较恶臭 | non-hate | non-hate [END]
这位答主 | 滚出中国 | non-hate | non-hate [END]
我 | 对异性恋的看法也是理解＋不接受 | non-hate | non-hate [END]
广东 | 常常刮台风，下大雨 | non-hate | non-hate [END]
女拳 | 和女拳站一边 | Sexism | hate [END]
黑化的法国 | 也完蛋了 | Region | hate [END]
带头的 | 恰烂钱的 | others | hate [END]
她 | 跨种族跨文化优越感就会变得越充实 | Racism | hate [END]
阿三 | 四处黑公交 | Racism | hate [END]
它 | 网络安全举报网址举报它送它上西天 | others | hate [END]
混血儿 | 聪明没有任何科学依据 | non-hate | non-hate [END]
吧主 | 别犯贱乱删 | non-hate | non-hate [END]
你 | 南满 | non-hate | non-hate [END]
既得利益者 | 指责被剥削者 | non-hate | non-hate [END]
湖北和陕西 | 嘴里说什么我都不稀奇 | Region | hate [END]
男性 | 会把女性折服 | Sexism | hate [END]
汉一点的电影或者影视作品 | 打压 | others | hate [END]
钓鱼佬 | 永不空军😜 | Region | hate [END]
亚非拉 | ◎◎◎ | Region | hate [END]
地域黑 | 没新疆吗😅😅 | Region | hate [END]
东北人 | 肯定反驳力度差 | non-hate | non-hate [END]
None | 厚葬 | non-hate | non-hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | Region | hate [END]
老一辈 | 确实是这样的 | non-hate | non-hate [END]
智商 | 硬伤 | non-hate | non-hate [END]
我 | 詹姆斯的球迷 | non-hate | non-hate [END]
钕全 | 老掉牙了 | Sexism | hate [END]
她們家族男性 | 清算 | Sexism | hate [END]
杨笠们 | 嘴里的普却信❤️❤️❤️ | Sexism | hate [END]
你 | 不介意么 | non-hate | non-hate [END]
尼 | 真艾可以永远~ | Racism | hate [END]
白左 | 要殖民我们 | Racism | hate [END]
非洲 | 一到非洲直接就qj，把你搞怀孕，你也拿他没办法啊！ | Racism | hate [END]
东北 | 不抵抗，就是没有血性 | Region | hate [END]
默默默默三 | 艾滋 | Racism | hate [END]
广c人 | 喜欢广c人说话 | non-hate | non-hate [END]
王者荣耀 | 要做的速速 | non-hate | non-hate [END]
新疆人 | 被歧视和其他省份人被歧视，本质上是不同的 | Region | hate [END]
你 | 坏蛋 | others | hate [END]
黑人 | 严重不符合我的审美 | Racism | hate [END]
他们 | 没有智商 | Racism | hate [END]
我 | 在中资建筑工程公司 | non-hate | non-hate [END]
我 | 加入你们的惹 | non-hate | non-hate [END]
他 | 物种歧视 | Racism | hate [END]
中国 | 又不是男人的中国 | Sexism | hate [END]
中国14亿人 | 总得有点奇葩 | non-hate | non-hate [END]
你 | 在东北😄 | non-hate | non-hate [END]
你 | 是gay？ | non-hate | non-hate [END]
黑种人 | 智商 | Racism | hate [END]
前妻 | 再婚了 | Sexism | hate [END]
拿刀的女人 | 战斗力高 | Sexism | hate [END]
他 | 矮姿患者 | LGBTQ | hate [END]
大家 | 没有办法完全对取向这种东西有清晰认知 | non-hate | non-hate [END]
这些女的 | 坚定的女拳🐶 | Sexism | hate [END]
同性恋和异性恋 | 真爱 | non-hate | non-hate [END]
河南人 | 不太平 | Region | hate [END]
一位优秀的接盘侠 | 👍👍 | Sexism | hate [END]
你们 | 都去s | others | hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
None | 以下是网址 | non-hate | non-hate [END]
黑人 | 没必要黑皮黑皮的叫他们 | Racism | hate [END]
上海本地那男的 | 真心不行 | Region | hate [END]
中国 | 不是中国男人的中国 | Sexism | hate [END]
南美棉花 | 小黑马 | Racism | hate [END]
外娶 | 不打扰小仙女了 | Sexism | hate [END]
理客中 | 是这样的 | non-hate | non-hate [END]
回族 | 在中文网络上名声不太好 | others | hate [END]
黑人 | 智慧低下 | Racism | hate [END]
东北人 | 懒 | Region | hate [END]
你 | 搁这发鬼图呢？ | non-hate | non-hate [END]
黑龙江人 | 歧视辽宁吉林人 | Region | hate [END]
老黑 | 跟人类没有生殖隔离 | Racism | hate [END]
北方 | 在古代都南迁了 | non-hate | non-hate [END]
黑人 | 不把黑人画在择偶范围内😅 | Racism | hate [END]
东北叔叔阿姨 | 很大气 | non-hate | non-hate [END]
你 | 把自己放在弱势群体一栏 | non-hate | non-hate [END]
他们 | 闲人 | others | hate [END]
None | 学一口东北话去上海工作吧 | non-hate | non-hate [END]
黑人妹子 | 为啥不找个黑人妹子做女朋友？ | Sexism | hate [END]
泥革 | 能算是人？？ | Racism | hate [END]
河南小姑娘 | 极度自律 | non-hate | non-hate [END]
能发这评论的 | 尼葛 | Racism | hate [END]
你 | 真担心你身体吃不消 | non-hate | non-hate [END]
None | 把处女改成必需 | Sexism | hate [END]
西安 | 你把西安放哪了😅 | non-hate | non-hate [END]
你中国人 | 不找 | Region | hate [END]
南方矮矬子 | 不要找南方矮矬子 | Region | hate [END]
你 | 能忍就忍呗 | non-hate | non-hate [END]
天津以北 | 冀东辽西 | non-hate | non-hate [END]
她们 | 不要在中国 | Sexism | hate [END]
你 | 攻击他们去啊 | non-hate | non-hate [END]
你 | 混血 | non-hate | non-hate [END]
黑人 | 越多反而排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了吧 | Sexism | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
nv拳 | 最大的敌人是谁 | Sexism | hate [END]
普通女性 | 占女性总人口的比例还是太少了 | Sexism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 之间的交配有什么稀奇的 | Racism | hate [END]
你 | 为什么要管白人的感受呢 | non-hate | non-hate [END]
女的 | 很娇贵 | Sexism | hate [END]
你 | 一看就是江苏的 | non-hate | non-hate [END]
东北人 | 最团结的 | non-hate | non-hate [END]
默 | 不是同一个默囧 | Racism | hate [END]
混血 | 混了白皮猪的血 | Racism | hate [END]
