job_id	query_id	condition	native_m	upstream_m	restored_m	upstream_delta_m	remaining_delta_m	removed_delta_m	removed_fraction	absolute_effect_reduced	absolute_effect_increased	upstream_prediction	restored_prediction
Q01-D01-restore-L26-attention	Q01	restore-L26-attention	-20.481338500976562	2.395153045654297	-8.27145767211914	22.87649154663086	12.209880828857422	10.666610717773438	0.46626951934613264	True	False	无	有
Q01-D01-restore-L28-mlp	Q01	restore-L28-mlp	-20.481338500976562	2.395153045654297	-3.0732460021972656	22.87649154663086	17.408092498779297	5.4683990478515625	0.23904010965601594	True	False	无	有
Q01-D01-restore-joint	Q01	restore-joint	-20.481338500976562	2.395153045654297	-10.59885025024414	22.87649154663086	9.882488250732422	12.994003295898438	0.5680068234856639	True	False	无	有
Q01-D02-restore-L26-attention	Q01	restore-L26-attention	24.734024047851562	14.760353088378906	15.980289459228516	-9.973670959472656	-8.753734588623047	-1.2199363708496094	0.12231568254123673	True	False	无	无
Q01-D02-restore-L28-mlp	Q01	restore-L28-mlp	24.734024047851562	14.760353088378906	17.11212158203125	-9.973670959472656	-7.6219024658203125	-2.3517684936523438	0.23579768203789733	True	False	无	无
Q01-D02-restore-joint	Q01	restore-joint	24.734024047851562	14.760353088378906	18.054183959960938	-9.973670959472656	-6.679840087890625	-3.2938308715820312	0.330252610595065	True	False	无	无
Q02-D01-restore-L26-attention	Q02	restore-L26-attention	-20.59790802001953	-4.949588775634766	-11.41263198852539	15.648319244384766	9.18527603149414	6.463043212890625	0.41301836395048114	True	False	有	有
Q02-D01-restore-L28-mlp	Q02	restore-L28-mlp	-20.59790802001953	-4.949588775634766	-8.0447998046875	15.648319244384766	12.553108215332031	3.0952110290527344	0.19779830540991922	True	False	有	有
Q02-D01-restore-joint	Q02	restore-joint	-20.59790802001953	-4.949588775634766	-12.981376647949219	15.648319244384766	7.6165313720703125	8.031787872314453	0.5132684058191473	True	False	有	有
Q02-D02-restore-L26-attention	Q02	restore-L26-attention	10.571319580078125	-11.519622802734375	-6.0162506103515625	-22.0909423828125	-16.587570190429688	-5.5033721923828125	0.2491234686603783	True	False	有	有
Q02-D02-restore-L28-mlp	Q02	restore-L28-mlp	10.571319580078125	-11.519622802734375	-7.555961608886719	-22.0909423828125	-18.127281188964844	-3.9636611938476562	0.17942472191369793	True	False	有	有
Q02-D02-restore-joint	Q02	restore-joint	10.571319580078125	-11.519622802734375	-3.2684288024902344	-22.0909423828125	-13.83974838256836	-8.25119400024414	0.3735102766219629	True	False	有	有
