job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J05-D01-upstream	J05	jctx-J05-D02	jctx-J05-D01	upstream	14.103252410888672	5.0240631103515625	5.0240631103515625	无	unchanged	38.29669053908408
J05-D01-restore-L26-attention	J05	jctx-J05-D02	jctx-J05-D01	restore-L26-attention	13.85186767578125	4.772678375244141	4.772678375244141	无	unchanged	38.29669053908408
J05-D01-preceding	J05	jctx-J05-D02	jctx-J05-D01	preceding	9.3416748046875	0.2624855041503906	0.2624855041503906	无	unchanged	25.052002461246474
J05-D02-upstream	J05	jctx-J05-D01	jctx-J05-D02	upstream	24.0969181060791	-1.142354965209961	-1.142354965209961	无	unchanged	38.29669053908408
J05-D02-restore-L26-attention	J05	jctx-J05-D01	jctx-J05-D02	restore-L26-attention	24.203580856323242	-1.0356922149658203	-1.0356922149658203	无	unchanged	38.29669053908408
J05-D02-preceding	J05	jctx-J05-D01	jctx-J05-D02	preceding	25.208415985107422	-0.030857086181640625	-0.030857086181640625	无	unchanged	25.052002461246474
J06-D01-upstream	J06	jctx-J06-D02	jctx-J06-D01	upstream	12.296089172363281	5.154788970947266	5.154788970947266	无	unchanged	49.6326158194843
J06-D01-restore-L26-attention	J06	jctx-J06-D02	jctx-J06-D01	restore-L26-attention	11.82784652709961	4.686546325683594	4.686546325683594	无	unchanged	49.6326158194843
J06-D01-preceding	J06	jctx-J06-D02	jctx-J06-D01	preceding	7.3003082275390625	0.15900802612304688	0.15900802612304688	无	unchanged	34.869168979244165
J06-D02-upstream	J06	jctx-J06-D01	jctx-J06-D02	upstream	25.020395278930664	-2.4241161346435547	-2.4241161346435547	无	unchanged	49.6326158194843
J06-D02-restore-L26-attention	J06	jctx-J06-D01	jctx-J06-D02	restore-L26-attention	25.13196563720703	-2.3125457763671875	-2.3125457763671875	无	unchanged	49.6326158194843
J06-D02-preceding	J06	jctx-J06-D01	jctx-J06-D02	preceding	27.360767364501953	-0.08374404907226562	-0.08374404907226562	无	unchanged	34.869168979244165
J07-D01-upstream	J07	jctx-J07-D02	jctx-J07-D01	upstream	-18.654701232910156	0.3445625305175781	0.3445625305175781	有	unchanged	41.41616883457926
J07-D01-restore-L26-attention	J07	jctx-J07-D02	jctx-J07-D01	restore-L26-attention	-18.64311981201172	0.3561439514160156	0.3561439514160156	有	unchanged	41.41616883457926
J07-D01-preceding	J07	jctx-J07-D02	jctx-J07-D01	preceding	-18.981571197509766	0.01769256591796875	0.01769256591796875	有	unchanged	27.366459764292415
J07-D02-upstream	J07	jctx-J07-D01	jctx-J07-D02	upstream	-18.064712524414062	-0.72723388671875	-0.72723388671875	有	unchanged	41.41616883457926
J07-D02-restore-L26-attention	J07	jctx-J07-D01	jctx-J07-D02	restore-L26-attention	-17.887035369873047	-0.5495567321777344	-0.5495567321777344	有	unchanged	41.41616883457926
J07-D02-preceding	J07	jctx-J07-D01	jctx-J07-D02	preceding	-17.38720703125	-0.0497283935546875	-0.0497283935546875	有	unchanged	27.366459764292415
J08-D01-upstream	J08	jctx-J08-D02	jctx-J08-D01	upstream	-11.759723663330078	-0.4880943298339844	-0.4880943298339844	有	unchanged	36.88207878536937
J08-D01-restore-L26-attention	J08	jctx-J08-D02	jctx-J08-D01	restore-L26-attention	-11.575874328613281	-0.3042449951171875	-0.3042449951171875	有	unchanged	36.88207878536937
J08-D01-preceding	J08	jctx-J08-D02	jctx-J08-D01	preceding	-10.983768463134766	0.2878608703613281	0.2878608703613281	有	unchanged	28.891651375183702
J08-D02-upstream	J08	jctx-J08-D01	jctx-J08-D02	upstream	-11.449455261230469	1.0116500854492188	1.0116500854492188	有	unchanged	36.88207878536937
