object_id,query_id,source_kind,source_id,surface,start,end,original_definition,source_text,query_text,source_fit,query_fit,source_fit_provenance,query_fit_provenance,assessment_status
hit:7903:demo:5997:lex-0032:sense:01:4:7,7903,demo,5997,小仙女,4,7,在某些情况下被用来指代那些自私自利、双标、让人厌恶的女性。,哈哈哈，小仙女的事要你们管,我还在杭州等你呢，妖怪你在哪里？,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:7903:demo:3366:lex-0187:sense:01:11:13,7903,demo,3366,变态,11,13,用于描述心理方面不正常的群体，常含贬义。,这不是人妖，此乃糞坑黑变态的黑蛆,我还在杭州等你呢，妖怪你在哪里？,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:7903:demo:3366:lex-0287:sense:01:14:16,7903,demo,3366,黑蛆,14,16,对黑人群体的侮辱性用词。,这不是人妖，此乃糞坑黑变态的黑蛆,我还在杭州等你呢，妖怪你在哪里？,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:7903:demo:3366:lex-0441:sense:01:3:5,7903,demo,3366,人妖,3,5,泛指心理性别错位、男扮女装等非常态之人，含贬义。,这不是人妖，此乃糞坑黑变态的黑蛆,我还在杭州等你呢，妖怪你在哪里？,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:7903:demo:4690:lex-0562:sense:01:4:6,7903,demo,4690,魔怔,4,6,网络用语，指那些行为举止异常、情绪不稳定的现象，通常表现为对某些事物极度热爱，甚至产生戒断反应，失去这些事物后无法自拔。这种现象在网络上尤为常见，常常出现在社交网络骂战中。‌,这吧的都魔怔了喊不醒,我还在杭州等你呢，妖怪你在哪里？,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:7903:demo:6569:lex-0669:sense:01:1:2,7903,demo,6569,批,1,2,在部分方言或粗俗表达中可作女性生殖器的俗称；“批评”“批判”以及普通批次或程度构式中的“批”不能直接套用这一义项。,别批图啦，这图我都知道你从哪里偷来的,我还在杭州等你呢，妖怪你在哪里？,wrong_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:6006:lex-0005:sense:01:44:46,5086,demo,6006,黑哥,44,46,对黑人群体的侮辱性用词。,看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:2747:lex-0060:sense:01:74:77,5086,demo,2747,非洲佬,74,77,对黑人群体及非洲地区的侮辱性用词。,她得艾滋了你别去碰她不就好了，得个艾滋而已总好过去非洲送死吧。再说了，她可以嫁给男艾滋病人嘛，解决中国男艾滋病人的结婚需求不是挺好？中国同胞干嘛便宜非洲佬！,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
hit:5086:demo:7248:lex-0073:sense:01:15:18,5086,demo,7248,txl,15,18,中文'同性恋'拼音的首字母简写，用于代指同性恋群团。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,user_discussion,user_participated
hit:5086:demo:7248:lex-0073:sense:01:28:31,5086,demo,7248,txl,28,31,中文'同性恋'拼音的首字母简写，用于代指同性恋群团。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,valid_sense,inapplicable,ai_note,ai_note,ai_reviewed
