query_id,task,original_bucket,original_label,reviewed_label,original_mask,reviewed_mask,observed_behavior,proposed_roles,preparation_rank_proposed,proposal_note,strict_u_candidate_demo_ids,demo_answer_difference_ids,reference_analysis_eligible,proposal_human_adopted,input_control_eligible,pending_work
3683,hate,H_rescue,hate,non-hate,0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""4928"",""4046"",""6334""]","[""495"",""2948"",""5655""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3683,group,H_rescue,"[""Region""]",[],1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""6334""]","[""5110"",""6943"",""4928"",""4046"",""5655""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
541,hate,H_rescue,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",3,四个 NoCat 核心条件均正确；保留立场对照与单独的类别字段对比，不能用核心位型概括 G 的作用。,[],"[""2430""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
541,group,H_rescue,[],"[""LGBTQ"",""Sexism""]",0000,0011,仅 D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",3,保留含示例条件补全类别的正向候选；核查示例 826 等的原答案差异，分开定义规则关联和答案修订。,[],"[""4041"",""826"",""2430"",""7499"",""3156"",""4956""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
4615,hate,H_rescue,hate,hate,0011,0011,仅 D、SD 正确,"[""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""6062"",""4652"",""7880""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4615,group,H_rescue,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",0010,0010,仅 D 正确,"[""词典增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,[],"[""6153"",""2130"",""7880""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7903,hate,H_rescue,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""3366"",""5997"",""5708"",""4690""]","[""5529"",""5024""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7903,group,H_rescue,[],[],1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]",null,先按审核材料确定具体操作，再决定是否列入运行队列。,"[""3366"",""5997"",""4690""]","[""5024"",""5708""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
5086,hate,H_residual,hate,hate,0110,0110,仅 S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",2,保留单独正确、组合错误的重点现象；严格 U 筛查为空时，另定义定向对照，不放宽关联条件凑组。,[],"[""5113"",""6006""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
5086,group,H_residual,"[""LGBTQ"",""others""]","[""LGBTQ""]",0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",2,在当前审核参考下核查含示例条件多出的 others；示例答案差异与词典来源分别研究。,[],"[""127"",""5416"",""2120"",""7248"",""5113"",""243"",""1517"",""2747""]",True,False,False,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
