job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
Q01-D01-upstream	Q01	hjr-Q01-D02	hjr-Q01-D01	upstream	2.395153045654297	22.87649154663086	22.87649154663086	无	repair	27.207776051316046
Q01-D01-restore-L26-attention	Q01	hjr-Q01-D02	hjr-Q01-D01	restore-L26-attention	-8.27145767211914	12.209880828857422	12.209880828857422	有	unchanged	27.207776051316046
Q01-D01-restore-L28-mlp	Q01	hjr-Q01-D02	hjr-Q01-D01	restore-L28-mlp	-3.0732460021972656	17.408092498779297	17.408092498779297	有	unchanged	27.207776051316046
Q01-D01-restore-joint	Q01	hjr-Q01-D02	hjr-Q01-D01	restore-joint	-10.59885025024414	9.882488250732422	9.882488250732422	有	unchanged	27.207776051316046
Q01-D02-upstream	Q01	hjr-Q01-D01	hjr-Q01-D02	upstream	14.760353088378906	-9.973670959472656	-9.973670959472656	无	unchanged	27.207776051316046
Q01-D02-restore-L26-attention	Q01	hjr-Q01-D01	hjr-Q01-D02	restore-L26-attention	15.980289459228516	-8.753734588623047	-8.753734588623047	无	unchanged	27.207776051316046
Q01-D02-restore-L28-mlp	Q01	hjr-Q01-D01	hjr-Q01-D02	restore-L28-mlp	17.11212158203125	-7.6219024658203125	-7.6219024658203125	无	unchanged	27.207776051316046
Q01-D02-restore-joint	Q01	hjr-Q01-D01	hjr-Q01-D02	restore-joint	18.054183959960938	-6.679840087890625	-6.679840087890625	无	unchanged	27.207776051316046
Q02-D01-upstream	Q02	hjr-Q02-D02	hjr-Q02-D01	upstream	-4.949588775634766	15.648319244384766	-15.648319244384766	有	unchanged	23.888005817841897
Q02-D01-restore-L26-attention	Q02	hjr-Q02-D02	hjr-Q02-D01	restore-L26-attention	-11.41263198852539	9.18527603149414	-9.18527603149414	有	unchanged	23.888005817841897
Q02-D01-restore-L28-mlp	Q02	hjr-Q02-D02	hjr-Q02-D01	restore-L28-mlp	-8.0447998046875	12.553108215332031	-12.553108215332031	有	unchanged	23.888005817841897
Q02-D01-restore-joint	Q02	hjr-Q02-D02	hjr-Q02-D01	restore-joint	-12.981376647949219	7.6165313720703125	-7.6165313720703125	有	unchanged	23.888005817841897
Q02-D02-upstream	Q02	hjr-Q02-D01	hjr-Q02-D02	upstream	-11.519622802734375	-22.0909423828125	22.0909423828125	有	repair	23.888005817841897
Q02-D02-restore-L26-attention	Q02	hjr-Q02-D01	hjr-Q02-D02	restore-L26-attention	-6.0162506103515625	-16.587570190429688	16.587570190429688	有	repair	23.888005817841897
Q02-D02-restore-L28-mlp	Q02	hjr-Q02-D01	hjr-Q02-D02	restore-L28-mlp	-7.555961608886719	-18.127281188964844	18.127281188964844	有	repair	23.888005817841897
Q02-D02-restore-joint	Q02	hjr-Q02-D01	hjr-Q02-D02	restore-joint	-3.2684288024902344	-13.83974838256836	13.83974838256836	有	repair	23.888005817841897
