source_batch,object_id,text,hate,group,attack_severity,pending_tasks,hate_source,group_source,severity_source,online_material_confirmed
7,demo:6469,批评干嘛，求仁得仁又何求！求黑得黑，与黑长存嘛,hate,"[""Racism""]",1,,rule_mapping_from_user_score,ai_note,user_discussion,False
7,demo:649,回族不算被黑的吧？毕竟除了关外，回族在哪儿都挺强势的，唐山条约我还记得呢,non-hate,"[""Racism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6493,哈哈哈，没想到现在妹子都挺聪明，也知道嘿人那些手段了,hate,"[""Racism"", ""Sexism""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6525,说个最简单的，回家打开电视，调到cctv3，每天都有宣传黑人的节目,non-hate,"[""Racism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6553,毕竟东北人也就一亿人 肯定反驳力度差,non-hate,"[""Region""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6554,我不清楚那个文化，把你研究犹太人的证据说出来！ 我的观点就是法兰西列强进行黑奴贩卖，大量黑人被贩卖到法国，葡萄牙等地进行劳动，随着林肯解放黑奴，这些黑人就在其国家繁衍！ 你的呢？？？说出来听听,non-hate,"[""Racism"", ""Region""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6624,结果那个泼男就是他们另外反同吧的吧主？哎哟，我都兴奋了！打的就是你们窝里的老杂毛！把话带到，我回重庆的时候约他不要怂,hate,"[""Sexism"", ""others""]",4,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6629,我怀疑你还活在梦里全世界著名的公交车eglkd还以为自己受欢迎有人高价接盘现在是你们想嫁都没愿意娶的,hate,"[""Sexism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6631,现实中不敢跟黑人硬碰硬，网络上还收拾不了本国人？😆,non-hate,"[""Racism"", ""Region""]",0,,rule_mapping_from_user_score,user_discussion,user_discussion,False
7,demo:6644,为啥？就是因为现在中国女人地位高到离谱，男人任劳任怨还被女性瞧不起。破坏人类的根本原则,hate,"[""Region"", ""Sexism""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6658,人家那是和全世界联系起来的，眼界比我们开阔多了，有这种优势哪个女的不想嫁给他们？,non-hate,"[""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6764,其实在早些年，有个外国学家做过一篇调查的发现的是男人更支持女同婚姻，女人更支持男同婚姻,non-hate,"[""LGBTQ"", ""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6835,然后就是B站，舞蹈区，瑜伽区，健身区，女的恰钱和这些男的相安无事。而且说白了人，拳头没打到自己身上都不会痛的,non-hate,"[""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6852,小仙女不是说中国男人配不上中国女人吗？男人只好找外国女人了，合情合理,hate,"[""Region"", ""Sexism""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6931,骂南方人马来猴子的，都是瑞典和族混血老铁。,hate,"[""Racism"", ""Region""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:6989,我工作时被河南信阳女客户的素质大跌眼镜。。无语住了。,non-hate,[],0,,rule_mapping_from_user_score,user_discussion,user_discussion,False
7,demo:7133,原贴没了看来是被正义的小腐女们举报了,hate,"[""Sexism"", ""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7161,不会氙钕怕事情败露自己删了吧,hate,"[""Sexism"", ""others""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:717,一口一个普信男，你是微博里的普信女还是烂裤裆,hate,"[""Sexism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:718,按照你的逻辑你可以和男人doi的，只是你不想罢了,non-hate,"[""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7188,经统计黑人艾滋率，暴力犯罪率，没爹率都出奇的高，所以其实他们是对我自身生命安全的负责。假如你遇到一片雷区，然后心想我们不能种族歧视，雷区和马路耕地都必须一样，然后大胆的踩过去，那我也很支持你。😆,hate,"[""Racism""]",3,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7189,希望你们都能花钱娶女同,hate,"[""LGBTQ"", ""Sexism"", ""others""]",1,,rule_mapping_from_user_score,user_discussion,user_discussion,False
7,demo:72,在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?,hate,"[""Sexism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7212,就应该给媚黑的女人一耳光，这本来就是为她们好，更是为我们国家好，对待黑人，矫枉必须过正…,hate,"[""Racism"", ""Sexism""]",4,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7232,魔都+帝都从人人清北复交，到著名的排外说，再到男人没男子气概，女人跪舔老外，再到小市民精打细算小家子气斤斤计较，我真的不想列举了,non-hate,"[""Region"", ""Sexism"", ""others""]",0,,rule_mapping_from_user_score,ai_note,user_discussion,False
7,demo:7235,这是真女拳吧…😅还分上等级了,hate,"[""Sexism""]",1,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7247,让我看看你长啥样,non-hate,[],0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7248,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,non-hate,"[""LGBTQ"", ""Sexism"", ""others""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7253,可以这么说白皮是普遍性都长得很丑只有极个别长得还算中规中距而黄种人可以说基本上百分之90都长得非常不错而且黄种人也是极不显老的人种,hate,"[""Racism""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
7,demo:7319,黑人吧早被我们反黑站了，你还洗,hate,"[""Racism""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7350,你以为同性恋都很帅吗？就跟一个丑男想要美女要看自己配不配一样，一个丑的要命的同性恋能找着一个帅哥爱上你？,hate,"[""LGBTQ"", ""Sexism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7394,3女同还是一个系列的的片,non-hate,"[""LGBTQ"", ""Sexism""]",0,,rule_mapping_from_ai_score,ai_note,ai_note,False
8,demo:7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,hate,"[""Region"", ""Sexism"", ""others""]",2,,rule_mapping_from_ai_score,ai_note,ai_note,False
