family,task,label,score_mode,metric,cell,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,all,643,0.9748297553410983,0.0,0.0,5.386078262329099,0.0,1.250082015991211,1.250082015991211,-6.418514251708984,18.266887664794922,defined,0.002685546875,1,positive,193,30,420,0.3001555209953344,0.04665629860031104,0.6531881804043546,0.8035661062593594,1.1515720007022838
contrast,hate,hate,answer_sum,answer_sum/margin/hate,D,all,643,7.071388502699405,6.756189346313477,1.2539113998413087,14.281188392639157,4.436413764953613,9.351314544677734,4.914900779724121,-2.8955764770507812,19.036819458007812,defined,0.002685546875,1,positive,627,16,0,0.9751166407465007,0.024883359253499222,0.0,6.7746982128030595,7.369465201231035
contrast,hate,hate,answer_sum,answer_sum/margin/hate,LD,all,643,6.926447122315782,6.5065460205078125,1.1935508728027344,14.437301254272459,4.303313255310059,9.274115562438965,4.970802307128906,-2.8955764770507812,19.461267471313477,defined,0.002685546875,1,positive,623,20,0,0.968895800933126,0.03110419906687403,0.0,6.622963552415649,7.235039673474491
contrast,hate,hate,answer_sum,answer_sum/margin/hate,LxD,all,643,-1.1197711357247218,0.0,-6.4414873123168945,0.0,-1.6448259353637695,0.0,1.6448259353637695,-19.172683715820312,9.457172393798828,defined,0.00537109375,-1,negative,29,194,420,0.04510108864696734,0.30171073094867806,0.6531881804043546,-1.3111023731587648,-0.9333125692874795
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,L,all,643,-1.488147012490187,0.0,-17.72255994025401,8.99630742854444,0.0,0.0,0.0,-40.84303246333976,55.42545047533223,defined,0.002685546875,-1,negative,80,143,420,0.12441679626749612,0.2223950233281493,0.6531881804043546,-2.1843818247720472,-0.7932990255785334
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,D,all,643,2.329521293028016,3.768384873955384,-19.412129366539485,21.086367695719826,-5.626630990297125,10.574591243860134,16.201222234157257,-32.94629443320205,38.12706663051958,defined,0.002685546875,1,positive,393,250,0,0.6111975116640747,0.38880248833592534,0.0,1.3817890891579232,3.27421445155559
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,LD,all,643,1.676158887091254,2.545319556136649,-20.372785017124773,22.858459294496697,-7.570317165809192,10.574591243860134,18.144908409669327,-32.94629443320205,65.68269935903388,defined,0.002685546875,1,positive,369,274,0,0.5738724727838258,0.4261275272161742,0.0,0.5841758696097787,2.75253111861715
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,LxD,all,643,0.8347846065534252,0.0,-8.935008318432422,14.225875044779908,0.0,0.0,0.0,-31.697840840551866,37.26300636621624,defined,0.00537109375,1,positive,137,86,420,0.2130637636080871,0.13374805598755832,0.6531881804043546,0.30822762383182767,1.3701741284335804
contrast,group,Region,answer_sum,answer_sum/margin/Region,L,all,643,-1.5882611192065808,0.0,-17.699623541222607,7.595082536832274,0.0,0.0,0.0,-37.10935134415256,30.78684794740004,defined,0.002685546875,-1,negative,79,144,420,0.12286158631415241,0.223950233281493,0.6531881804043546,-2.179522003374428,-1.0005042394060921
contrast,group,Region,answer_sum,answer_sum/margin/Region,D,all,643,3.3746126277539883,3.6775131290292475,-16.07280868438683,21.28312043593599,-4.6401509905520175,11.459232912301543,16.09938390285356,-25.972845613686452,37.669712388283116,defined,0.002685546875,1,positive,405,238,0,0.6298600311041991,0.3701399688958009,0.0,2.5016111038014217,4.255898817013653
contrast,group,Region,answer_sum,answer_sum/margin/Region,LD,all,643,2.0952097041051663,3.041579018108706,-19.21920361814114,22.278533487030934,-6.828319099977033,11.150393961288056,17.97871306126509,-33.29835819174734,37.669712388283116,defined,0.002685546875,1,positive,374,269,0,0.5816485225505443,0.41835147744945567,0.0,1.1197584683429576,3.0666601284879227
contrast,group,Region,answer_sum,answer_sum/margin/Region,LxD,all,643,0.30885819555775873,0.0,-10.372045065394108,12.824468827745072,0.0,0.0,0.0,-35.4226275998988,29.751432329495273,defined,0.00537109375,1,positive,115,108,420,0.17884914463452567,0.16796267496111975,0.6531881804043546,-0.19766042785807267,0.819673885035316
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,L,all,643,-1.4105628826895014,0.0,-16.382305876405734,5.2956952324126725,0.0,0.0,0.0,-32.40575326024032,36.49890017529544,defined,0.002685546875,-1,negative,76,147,420,0.1181959564541213,0.2286158631415241,0.6531881804043546,-1.99302104980722,-0.836262422368685
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,D,all,643,0.5816645378381992,-0.24393056105446176,-15.359443620170067,16.221267838691475,-5.8250215260501905,6.823842498277979,12.64886402432817,-21.820793733374657,43.853040704961366,defined,0.002685546875,1,positive,315,328,0,0.48989113530326595,0.5101088646967341,0.0,-0.19502381786421305,1.3614050014487107
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,LD,all,643,-0.4774432882475346,-1.0509430762396441,-18.482158520419365,16.958319802526706,-7.461058816914656,6.233779947349456,13.694838764264112,-31.223031043870805,45.08543697852812,defined,0.002685546875,-1,negative,290,353,0,0.4510108864696734,0.5489891135303266,0.0,-1.3547072839676833,0.3957183145430851
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,LxD,all,643,0.3514550566037677,0.0,-9.326065518707628,11.222759358589908,0.0,0.0,0.0,-31.608364503842143,28.266914082284647,defined,0.00537109375,1,positive,125,98,420,0.19440124416796267,0.15241057542768274,0.6531881804043546,-0.11879840838056431,0.8393072916033151
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,L,all,643,0.6830627270663062,0.0,-11.32855183606872,16.376586674947028,0.0,0.0,0.0,-35.79474742634961,45.83242499450688,defined,0.002685546875,1,positive,114,108,421,0.17729393468118196,0.16796267496111975,0.6547433903576982,0.036448033885016294,1.3391790160780581
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,D,all,643,7.636423599812003,6.876963663008751,-11.422053606582399,27.342737676478535,-0.36022183223446147,15.100425277922092,15.460647110156554,-37.64880708961098,54.25078800061091,defined,0.002685546875,1,positive,470,173,0,0.7309486780715396,0.2690513219284603,0.0,6.702776719950923,8.561157601195191
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,LD,all,643,6.877375266592324,6.392704580079375,-13.191368383428989,29.310712614535753,-1.9730683151920942,14.713427712164743,16.68649602735684,-37.64880708961098,57.06862714192721,defined,0.002685546875,1,positive,441,202,0,0.6858475894245724,0.3141524105754277,0.0,5.843889744489791,7.886621260189373
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,LxD,all,643,-1.442111060285986,0.0,-17.787721647298984,8.084701923644529,0.0,0.0,0.0,-42.149127891159864,32.25371491230797,defined,0.00537109375,-1,negative,91,132,420,0.14152410575427682,0.2052877138413686,0.6531881804043546,-2.0463051167404975,-0.8578079933985171
contrast,group,others,answer_sum,answer_sum/margin/others,L,all,643,-0.7291217327197843,0.0,-18.120932569073208,18.199397728358374,0.0,0.0,0.0,-26.21963676266546,43.66631754302836,defined,0.002685546875,-1,negative,81,142,420,0.12597200622083982,0.2208398133748056,0.6531881804043546,-1.4152885748684783,-0.03746392698669505
contrast,group,others,answer_sum,answer_sum/margin/others,D,all,643,-0.9561310360158531,-0.9673607316749298,-16.48918154067723,14.079100811007665,-6.552271596999482,4.671467520917396,11.223739117916878,-35.014297848661364,38.06843503761244,defined,0.002685546875,-1,negative,288,355,0,0.447900466562986,0.552099533437014,0.0,-1.677020341587334,-0.2177853861832028
contrast,group,others,answer_sum,answer_sum/margin/others,LD,all,643,-0.4389587040906848,-0.8842200750792468,-19.574765840461815,19.54989532320385,-7.866773952246906,6.546401446739763,14.413175398986668,-35.014297848661364,45.20862731629835,defined,0.002685546875,-1,negative,297,346,0,0.4618973561430793,0.5381026438569206,0.0,-1.3571233411556078,0.49482656389419144
contrast,group,others,answer_sum,answer_sum/margin/others,LxD,all,643,1.2462940646449527,0.0,-7.157474328875209,13.473036561718295,0.0,0.0,0.0,-26.051814465737152,28.13393175851075,defined,0.00537109375,1,positive,151,72,420,0.23483670295489892,0.1119751166407465,0.6531881804043546,0.7749983393161572,1.7121370206190099
