protocol_id,query_id,task,operation,contrast,weights,score_mode,effects,interpretation_scope,strict_U_branch
EA-3169-hate-v1,3169,hate,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",answer_sum,"{""hate_direction"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-3.128314971923828},""label_margin/hate"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-3.128314971923828},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":3.128314971923828},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":3.128314971923828}}",natural_input_total_effect,False
EA-3169-hate-v1,3169,hate,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",answer_mean,"{""hate_direction"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.6772473653157551},""label_margin/hate"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.6772473653157551},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.6772473653157551},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.6772473653157551}}",natural_input_total_effect,False
EA-3169-hate-v1,3169,hate,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",total_with_eos,"{""hate_direction"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-3.128314971923828},""label_margin/hate"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-3.128314971923828},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":3.128314971923828},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":3.128314971923828}}",natural_input_total_effect,False
EA-3169-hate-v1,3169,hate,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",mean_with_eos,"{""hate_direction"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.5536260604858398},""label_margin/hate"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.5536260604858398},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.5536260604858398},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.5536260604858398}}",natural_input_total_effect,False
EA-3169-group-v1,3169,group,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",answer_sum,"{""fixed_foil_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328},""label_margin/LGBTQ"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9690465742874821},""label_margin/Racism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.34950690498813586},""label_margin/Region"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":2.582963881723636},""label_margin/Sexism"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.8269380053636297},""label_margin/others"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":5.983794087853887},""original_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328},""reviewed_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328}}",natural_input_total_effect,False
EA-3169-group-v1,3169,group,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",answer_mean,"{""fixed_foil_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3441333770751953},""label_margin/LGBTQ"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3050661198762563},""label_margin/Racism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.17926541808595653},""label_margin/Region"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.5071942450181146},""label_margin/Sexism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.14604833481603108},""label_margin/others"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3558377651059599},""original_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3441333770751953},""reviewed_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3441333770751953}}",natural_input_total_effect,False
EA-3169-group-v1,3169,group,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",total_with_eos,"{""fixed_foil_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328},""label_margin/LGBTQ"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.9690465742874821},""label_margin/Racism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.34950690498813586},""label_margin/Region"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":2.582963881723636},""label_margin/Sexism"":{""direction"":""negative"",""numeric_bound"":0.002685546875,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.8269380053636297},""label_margin/others"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":5.983794087853887},""original_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328},""reviewed_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.3437519073486328}}",natural_input_total_effect,False
EA-3169-group-v1,3169,group,single_demo_removal_dictionary_fixed,demo_removed_dictionary_fixed_minus_baseline,"{""demo_removed_dictionary_fixed"":1,""original"":-1}",mean_with_eos,"{""fixed_foil_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.17203489939371686},""label_margin/LGBTQ"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.2508719369800434},""label_margin/Racism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.16081491819016813},""label_margin/Region"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.4569121700507295},""label_margin/Sexism"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.09414818578826933},""label_margin/others"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.30896502860373687},""original_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.17203489939371686},""reviewed_margin"":{""direction"":""negative"",""numeric_bound"":0.00537109375,""raw_sign"":-1,""statistical_interval"":false,""value"":-0.17203489939371686}}",natural_input_total_effect,False
EA-5086-hate-v1,5086,hate,related_demo_source_factor,T0_L0_minus_baseline,"{""T0_L0"":1,""T1_L1"":-1}",answer_sum,"{""hate_direction"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3002338409423828},""label_margin/hate"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3002338409423828},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3002338409423828},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.3002338409423828}}",natural_input_total_effect,False
EA-5086-hate-v1,5086,hate,related_demo_source_factor,T0_L1_minus_baseline,"{""T0_L1"":1,""T1_L1"":-1}",answer_sum,"{""hate_direction"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.2902793884277344},""label_margin/hate"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.2902793884277344},""original_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.2902793884277344},""reviewed_margin"":{""direction"":""positive"",""numeric_bound"":0.002685546875,""raw_sign"":1,""statistical_interval"":false,""value"":0.2902793884277344}}",natural_input_total_effect,False
