job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J01-D01-upstream	J01	synthetic-J01-D02	synthetic-J01-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J01-D01-preceding	J01	synthetic-J01-D02	synthetic-J01-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J01-D01-no-dictionary-focal	J01	synthetic-J01-D00	synthetic-J01-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	3.6906488835811615	无	repair	24.0
J01-D01-no-dictionary-preceding	J01	synthetic-J01-D00	synthetic-J01-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	0.3506786823272705	有	unchanged	24.0
J02-D01-upstream	J02	synthetic-J02-D02	synthetic-J02-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J02-D01-preceding	J02	synthetic-J02-D02	synthetic-J02-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J02-D01-no-dictionary-focal	J02	synthetic-J02-D00	synthetic-J02-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	-3.6906488835811615	无	damage	24.0
J02-D01-no-dictionary-preceding	J02	synthetic-J02-D00	synthetic-J02-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	-0.3506786823272705	有	unchanged	24.0
J03-D01-upstream	J03	synthetic-J03-D02	synthetic-J03-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J03-D01-preceding	J03	synthetic-J03-D02	synthetic-J03-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J03-D01-no-dictionary-focal	J03	synthetic-J03-D00	synthetic-J03-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	3.6906488835811615	无	repair	24.0
J03-D01-no-dictionary-preceding	J03	synthetic-J03-D00	synthetic-J03-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	0.3506786823272705	有	unchanged	24.0
J04-D01-upstream	J04	synthetic-J04-D02	synthetic-J04-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J04-D01-preceding	J04	synthetic-J04-D02	synthetic-J04-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J04-D01-no-dictionary-focal	J04	synthetic-J04-D00	synthetic-J04-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	-3.6906488835811615	无	damage	24.0
J04-D01-no-dictionary-preceding	J04	synthetic-J04-D00	synthetic-J04-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	-0.3506786823272705	有	unchanged	24.0
G01-D01-upstream	G01	synthetic-G01-D02	synthetic-G01-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	22.627416997969522
G01-D01-preceding	G01	synthetic-G01-D02	synthetic-G01-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	22.627416997969522
G01-D01-no-dictionary-focal	G01	synthetic-G01-D00	synthetic-G01-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	3.6906488835811615	无	repair	16.97056274847714
G01-D01-no-dictionary-preceding	G01	synthetic-G01-D00	synthetic-G01-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	0.3506786823272705	有	unchanged	16.97056274847714
G02-D01-upstream	G02	synthetic-G02-D02	synthetic-G02-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	22.627416997969522
G02-D01-preceding	G02	synthetic-G02-D02	synthetic-G02-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	22.627416997969522
G02-D01-no-dictionary-focal	G02	synthetic-G02-D00	synthetic-G02-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	-3.6906488835811615	无	damage	16.97056274847714
G02-D01-no-dictionary-preceding	G02	synthetic-G02-D00	synthetic-G02-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	-0.3506786823272705	有	unchanged	16.97056274847714
G03-D01-upstream	G03	synthetic-G03-D02	synthetic-G03-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	22.627416997969522
G03-D01-preceding	G03	synthetic-G03-D02	synthetic-G03-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	22.627416997969522
G03-D01-no-dictionary-focal	G03	synthetic-G03-D00	synthetic-G03-D01	no-dictionary-focal	0.4846270978450775	3.6906488835811615	3.6906488835811615	无	repair	16.97056274847714
G03-D01-no-dictionary-preceding	G03	synthetic-G03-D00	synthetic-G03-D01	no-dictionary-preceding	-2.8553431034088135	0.3506786823272705	0.3506786823272705	有	unchanged	16.97056274847714
