request_id	query_id	condition	module	item_id	variant	m	bound	prediction	reference	resolution	delta_m	transition
ccr-541-C0-base	541	C0	baseline		base	-13.150806427001953	0.0003662109375	有	无	negative		
ccr-541-D-base	541	D	baseline		base	-14.997566223144531	0.0003662109375	有	无	negative		
ccr-541-L-base	541	L	baseline		base	-17.96680450439453	0.0003662109375	有	无	negative		
ccr-541-LD-base	541	LD	baseline		base	-20.394256591796875	0.0003662109375	有	无	negative		
ccr-3169-C0-base	3169	C0	baseline		base	27.9936580657959	0.0003662109375	无	无	positive		
ccr-3169-D-base	3169	D	baseline		base	-0.9781494140625	0.0003662109375	有	无	negative		
ccr-3169-L-base	3169	L	baseline		base	-20.481338500976562	0.0003662109375	有	无	negative		
ccr-3169-LD-base	3169	LD	baseline		base	-20.041423797607422	0.0003662109375	有	无	negative		
ccr-541-D-A01	541	D	answer	A01	base	-7.929973602294922	0.0003662109375	有	无	negative	7.067592620849609	unchanged
ccr-541-LD-A01	541	LD	answer	A01	base	-12.662216186523438	0.0003662109375	有	无	negative	7.7320404052734375	unchanged
ccr-541-D-A02	541	D	answer	A02	base	-6.0597991943359375	0.0003662109375	有	无	negative	8.937767028808594	unchanged
ccr-541-LD-A02	541	LD	answer	A02	base	-14.168899536132812	0.0003662109375	有	无	negative	6.2253570556640625	unchanged
ccr-541-D-A03	541	D	answer	A03	base	-10.210182189941406	0.0003662109375	有	无	negative	4.787384033203125	unchanged
ccr-541-LD-A03	541	LD	answer	A03	base	-17.346317291259766	0.0003662109375	有	无	negative	3.0479393005371094	unchanged
ccr-541-D-A04	541	D	answer	A04	base	-13.092201232910156	0.0003662109375	有	无	negative	1.905364990234375	unchanged
ccr-541-LD-A04	541	LD	answer	A04	base	-18.267452239990234	0.0003662109375	有	无	negative	2.1268043518066406	unchanged
ccr-541-D-A05	541	D	answer	A05	base	-17.588890075683594	0.0003662109375	有	无	negative	-2.5913238525390625	unchanged
ccr-541-LD-A05	541	LD	answer	A05	base	-22.465503692626953	0.0003662109375	有	无	negative	-2.071247100830078	unchanged
ccr-541-D-A06	541	D	answer	A06	base	-12.912578582763672	0.0003662109375	有	无	negative	2.0849876403808594	unchanged
ccr-541-LD-A06	541	LD	answer	A06	base	-19.642478942871094	0.0003662109375	有	无	negative	0.7517776489257812	unchanged
ccr-541-D-A07	541	D	answer	A07	base	-15.325325012207031	0.0003662109375	有	无	negative	-0.3277587890625	unchanged
ccr-541-LD-A07	541	LD	answer	A07	base	-20.871265411376953	0.0003662109375	有	无	negative	-0.4770088195800781	unchanged
ccr-541-D-A08	541	D	answer	A08	base	-15.78976058959961	0.0003662109375	有	无	negative	-0.7921943664550781	unchanged
ccr-541-LD-A08	541	LD	answer	A08	base	-20.65774154663086	0.0003662109375	有	无	negative	-0.2634849548339844	unchanged
ccr-541-D-A09	541	D	answer	A09	base	-14.614677429199219	0.0003662109375	有	无	negative	0.3828887939453125	unchanged
ccr-541-LD-A09	541	LD	answer	A09	base	-19.41881561279297	0.0003662109375	有	无	negative	0.9754409790039062	unchanged
ccr-541-D-A10	541	D	answer	A10	base	-17.29721450805664	0.0003662109375	有	无	negative	-2.2996482849121094	unchanged
ccr-541-LD-A10	541	LD	answer	A10	base	-21.590435028076172	0.0003662109375	有	无	negative	-1.1961784362792969	unchanged
ccr-3169-D-A11	3169	D	answer	A11	base	-12.783641815185547	0.0003662109375	有	无	negative	-11.805492401123047	unchanged
ccr-3169-LD-A11	3169	LD	answer	A11	base	-20.680938720703125	0.0003662109375	有	无	negative	-0.6395149230957031	unchanged
ccr-3169-D-A12	3169	D	answer	A12	base	4.5131072998046875	0.0003662109375	无	无	positive	5.4912567138671875	repair
ccr-3169-LD-A12	3169	LD	answer	A12	base	-18.663978576660156	0.0003662109375	有	无	negative	1.3774452209472656	unchanged
ccr-3169-D-A13	3169	D	answer	A13	base	3.717792510986328	0.0003662109375	无	无	positive	4.695941925048828	repair
ccr-3169-LD-A13	3169	LD	answer	A13	base	-9.923629760742188	0.0003662109375	有	无	negative	10.117794036865234	unchanged
ccr-3169-D-A14	3169	D	answer	A14	base	1.7280349731445312	0.0003662109375	无	无	positive	2.7061843872070312	repair
ccr-3169-LD-A14	3169	LD	answer	A14	base	-18.622920989990234	0.0003662109375	有	无	negative	1.4185028076171875	unchanged
ccr-3169-D-A15	3169	D	answer	A15	base	-2.11004638671875	0.0003662109375	有	无	negative	-1.13189697265625	unchanged
ccr-3169-LD-A15	3169	LD	answer	A15	base	-20.189754486083984	0.0003662109375	有	无	negative	-0.1483306884765625	unchanged
ccr-3169-D-A16	3169	D	answer	A16	base	-0.00675201416015625	0.0003662109375	有	无	negative	0.9713973999023438	unchanged
ccr-3169-LD-A16	3169	LD	answer	A16	base	-20.077526092529297	0.0003662109375	有	无	negative	-0.036102294921875	unchanged
ccr-3169-D-A17	3169	D	answer	A17	base	0.28949737548828125	0.0003662109375	无	无	positive	1.2676467895507812	repair
ccr-3169-LD-A17	3169	LD	answer	A17	base	-18.994705200195312	0.0003662109375	有	无	negative	1.0467185974121094	unchanged
ccr-3169-D-A18	3169	D	answer	A18	base	-1.4410858154296875	0.0003662109375	有	无	negative	-0.4629364013671875	unchanged
ccr-3169-LD-A18	3169	LD	answer	A18	base	-19.251949310302734	0.0003662109375	有	无	negative	0.7894744873046875	unchanged
ccr-3169-D-A19	3169	D	answer	A19	base	-2.5456275939941406	0.0003662109375	有	无	negative	-1.5674781799316406	unchanged
ccr-3169-LD-A19	3169	LD	answer	A19	base	-20.293373107910156	0.0003662109375	有	无	negative	-0.2519493103027344	unchanged
ccr-3169-D-A20	3169	D	answer	A20	base	-0.46833038330078125	0.0003662109375	有	无	negative	0.5098190307617188	unchanged
ccr-3169-LD-A20	3169	LD	answer	A20	base	-19.097949981689453	0.0003662109375	有	无	negative	0.9434738159179688	unchanged
ccr-541-L-L01	541	L	definition	L01	base	-16.361534118652344	0.0003662109375	有	无	negative	1.6052703857421875	unchanged
ccr-541-LD-L01	541	LD	definition	L01	base	-19.51052474975586	0.0003662109375	有	无	negative	0.8837318420410156	unchanged
ccr-541-L-L02	541	L	definition	L02	base	-19.02092742919922	0.0003662109375	有	无	negative	-1.0541229248046875	unchanged
ccr-541-LD-L02	541	LD	definition	L02	base	-20.743602752685547	0.0003662109375	有	无	negative	-0.3493461608886719	unchanged
ccr-541-L-L03	541	L	definition	L03	base	-15.626018524169922	0.0003662109375	有	无	negative	2.3407859802246094	unchanged
ccr-541-LD-L03	541	LD	definition	L03	base	-19.89522933959961	0.0003662109375	有	无	negative	0.4990272521972656	unchanged
ccr-541-L-L04	541	L	definition	L04	base	-18.78272247314453	0.0003662109375	有	无	negative	-0.81591796875	unchanged
ccr-541-LD-L04	541	LD	definition	L04	base	-20.685302734375	0.0003662109375	有	无	negative	-0.291046142578125	unchanged
ccr-3169-L-L05	3169	L	definition	L05	base	24.734024047851562	0.0003662109375	无	无	positive	45.215362548828125	repair
ccr-3169-LD-L05	3169	LD	definition	L05	base	1.62017822265625	0.0003662109375	无	无	positive	21.661602020263672	repair
ccr-3169-L-L06	3169	L	definition	L06	base	-20.87674331665039	0.0003662109375	有	无	negative	-0.3954048156738281	unchanged
ccr-3169-LD-L06	3169	LD	definition	L06	base	-21.039226531982422	0.0003662109375	有	无	negative	-0.997802734375	unchanged
ccr-3169-L-L07	3169	L	definition	L07	base	-20.23335838317871	0.0003662109375	有	无	negative	0.24798011779785156	unchanged
ccr-3169-LD-L07	3169	LD	definition	L07	base	-19.355499267578125	0.0003662109375	有	无	negative	0.6859245300292969	unchanged
ccr-3169-L-L08	3169	L	definition	L08	base	-20.760251998901367	0.0003662109375	有	无	negative	-0.2789134979248047	unchanged
ccr-3169-LD-L08	3169	LD	definition	L08	base	-20.14260482788086	0.0003662109375	有	无	negative	-0.1011810302734375	unchanged
ccr-541-D-B01-same	541	D	body	B01	same	-14.121597290039062	0.0003662109375	有	无	negative	0.8759689331054688	unchanged
ccr-541-D-B01-flip	541	D	body	B01	flip	-9.246917724609375	0.0003662109375	有	无	negative	5.750648498535156	unchanged
