family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,all,643,1.5614307931570761,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,Lq_hit,223,1.8071748878923768,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,Lq_no_hit,420,1.430952380952381,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,gold_size_0,252,1.003968253968254,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,gold_size_1,328,1.9329268292682926,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,gold_size_2plus,63,1.8571428571428572,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,gold_size_2_appendix,56,1.8392857142857142,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,C0,C0,gold_size_3_appendix,7,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,all,643,1.5303265940902022,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,Lq_hit,223,1.6771300448430493,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,Lq_no_hit,420,1.4523809523809523,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,gold_size_0,252,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,gold_size_1,328,1.8780487804878048,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,gold_size_2plus,63,1.8412698412698412,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,gold_size_2_appendix,56,1.8392857142857142,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLnew,CLnew,gold_size_3_appendix,7,1.8571428571428572,2.0,1.3,2.0,2.0,2.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,all,643,1.2628304821150855,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,Lq_hit,223,1.1793721973094171,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,Lq_no_hit,420,1.3071428571428572,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,gold_size_0,252,1.4325396825396826,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,gold_size_1,328,1.1524390243902438,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,gold_size_2plus,63,1.1587301587301588,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,gold_size_2_appendix,56,1.1607142857142858,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CD,CD,gold_size_3_appendix,7,1.1428571428571428,1.0,1.0,1.6999999999999993,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,all,643,1.3763608087091757,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,Lq_hit,223,1.515695067264574,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,Lq_no_hit,420,1.3023809523809524,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,gold_size_0,252,1.2063492063492063,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,gold_size_1,328,1.454268292682927,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,gold_size_2plus,63,1.6507936507936507,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,gold_size_2_appendix,56,1.6607142857142858,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,CLDnew,CLDnew,gold_size_3_appendix,7,1.5714285714285714,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/gold/rank,PLnew,PLnew,all,643,1.6018662519440123,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,defined,,,,,,,,,,,
