query_id,task,contrast,before,after,reference_eligible,original_transition,reviewed_transition,original_margin_delta,reviewed_margin_delta,score_mode_sensitive,transition_changed
3683,hate,remove_with_D,CLDnew,CLDnewNoCat,True,wrong_to_right,right_to_wrong,1.2666282653808594,-1.2666282653808594,False,True
3683,hate,remove_without_D,CLnew,CLnewNoCat,True,wrong_to_wrong,right_to_right,0.45068359375,-0.45068359375,False,True
3683,hate,S_given_D,CD,CLDnewNoCat,True,right_to_right,wrong_to_wrong,-2.4387149810791016,2.4387149810791016,False,True
3683,hate,S_vs_0,C0,CLnewNoCat,True,wrong_to_wrong,right_to_right,-8.165992736816406,8.165992736816406,False,True
3683,hate,D_vs_0,C0,CD,True,wrong_to_right,right_to_wrong,7.106359481811523,-7.106359481811523,False,True
3683,hate,D_given_S,CLnewNoCat,CLDnewNoCat,True,wrong_to_right,right_to_wrong,12.833637237548828,-12.833637237548828,False,True
541,hate,remove_with_D,CLDnew,CLDnewNoCat,True,wrong_to_right,wrong_to_right,1.1874809265136719,1.1874809265136719,False,False
541,hate,remove_without_D,CLnew,CLnewNoCat,True,right_to_right,right_to_right,1.4938697814941406,1.4938697814941406,False,False
541,hate,S_given_D,CD,CLDnewNoCat,True,right_to_right,right_to_right,-0.032405853271484375,-0.032405853271484375,False,False
541,hate,S_vs_0,C0,CLnewNoCat,True,right_to_right,right_to_right,1.1095924377441406,1.1095924377441406,False,False
541,hate,D_vs_0,C0,CD,True,right_to_right,right_to_right,-6.016059875488281,-6.016059875488281,False,False
541,hate,D_given_S,CLnewNoCat,CLDnewNoCat,True,right_to_right,right_to_right,-7.158058166503906,-7.158058166503906,False,False
4615,hate,remove_with_D,CLDnew,CLDnewNoCat,True,wrong_to_right,wrong_to_right,1.1265926361083984,1.1265926361083984,True,False
4615,hate,remove_without_D,CLnew,CLnewNoCat,True,wrong_to_wrong,wrong_to_wrong,-2.339275360107422,-2.339275360107422,False,False
4615,hate,S_given_D,CD,CLDnewNoCat,True,right_to_right,right_to_right,-2.7994384765625,-2.7994384765625,True,False
4615,hate,S_vs_0,C0,CLnewNoCat,True,wrong_to_wrong,wrong_to_wrong,-0.3379859924316406,-0.3379859924316406,False,False
4615,hate,D_vs_0,C0,CD,True,wrong_to_right,wrong_to_right,6.80351448059082,6.80351448059082,False,False
4615,hate,D_given_S,CLnewNoCat,CLDnewNoCat,True,wrong_to_right,wrong_to_right,4.342061996459961,4.342061996459961,True,False
7903,hate,remove_with_D,CLDnew,CLDnewNoCat,True,wrong_to_right,wrong_to_right,0.3365516662597656,0.3365516662597656,True,False
7903,hate,remove_without_D,CLnew,CLnewNoCat,True,right_to_right,right_to_right,4.725502014160156,4.725502014160156,False,False
7903,hate,S_given_D,CD,CLDnewNoCat,True,right_to_right,right_to_right,-5.3117828369140625,-5.3117828369140625,False,False
7903,hate,S_vs_0,C0,CLnewNoCat,True,right_to_right,right_to_right,6.131412506103516,6.131412506103516,False,False
7903,hate,D_vs_0,C0,CD,True,right_to_right,right_to_right,-4.906131744384766,-4.906131744384766,False,False
7903,hate,D_given_S,CLnewNoCat,CLDnewNoCat,True,right_to_right,right_to_right,-16.349327087402344,-16.349327087402344,False,False
5086,hate,remove_with_D,CLDnew,CLDnewNoCat,True,wrong_to_wrong,wrong_to_wrong,-0.02973175048828125,-0.02973175048828125,False,False
5086,hate,remove_without_D,CLnew,CLnewNoCat,True,wrong_to_right,wrong_to_right,1.3763885498046875,1.3763885498046875,False,False
5086,hate,S_given_D,CD,CLDnewNoCat,True,right_to_wrong,right_to_wrong,-2.912660598754883,-2.912660598754883,False,False
5086,hate,S_vs_0,C0,CLnewNoCat,True,wrong_to_right,wrong_to_right,3.5177783966064453,3.5177783966064453,False,False
