object_id,text,attack_severity,assessment_status,attack_forms,targets,rationale,candidate_scores,suggested_score,candidate_forms,hate_reference,group_reference,label_review_kind,severity_review_kind,severity_policy_version,severity_policy_sha256,text_sha256,base_version,hate_reference_policy_version,hate_reference_policy_sha256,group_reference_policy_version,group_reference_policy_sha256,human_numeric_score_confirmed,online_material_confirmed,user_score_rationale
demo:986,浙江人在东北不被歧视吧，浙江卫视台倒是全国各地都在骂，不知道你们浙江人骂不骂，在北京浙江卫视都被骂成韩国卫视了，比韩国人都能抄,2,scored,"[""group_stigmatization""]","[""浙江、东北和韩国相关人群""]",末句作者也认可了对韩国人的抄袭污名，用户判 2。Region 仍为 AI 类别草稿；报道框架不抵消另外认可的负面概括。,[],,[],,"[""Region""]",ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c0119f3d2376044f874943aa87d4ef024a0cbd9869b777590e3ebedd6b21cd4d,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,2 级：作者也认可了群体污名
demo:996,关键在国外主流国家，中国男人性吸引力都是最低的，尤其在欧美国家，不光中国人，亚裔地位都最低😅😅,0,scored,[],"[""中国男性"", ""亚裔""]",用户确认是描述社会处境、没有主观攻击，严重度 0；不能把最低地位或表情单独当作攻击。Racism、Region、Sexism 仍为 AI 类别草稿。,[],,[],,"[""Racism"", ""Region"", ""Sexism""]",ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,a39eeb90ca748eb65c7bee698de7b2e4c2fa703afff1caa8bcfd70847cb7a7ba,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,0 级：描述社会处境，没有主观攻击
query:1128,你见过吗？,0,scored,[],[],只询问是否见过，没有可见的攻击命题或身份对象。按 #4744 的文字标准拟 0／[]，不补上下文。,[],,[],non-hate,[],ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,43a96e09e90205a0c13919d8ee93965aa5cee7292ddaa38ab5190b6c5550f7ae,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
query:1160,为什么不找外星优质男人呢，人家有太空战舰呢,0,scored,[],[],用户明确判 0／[]。本句未成立针对人的攻击或实际身份评价单位；外星男人和太空战舰不据字面性别补标签。具体解释为 AI 整理，用户未额外提供理由。,[],,[],,null,ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,2d39460ca0b7271b685006dae2445c315eac4943def7a185977b02f7f70f7d84,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,0 / []
query:1292,凯勒奇计划，犹太人推动,0,scored,[],"[""被归为计划推动者的犹太人""]",用户判 0／Racism：仅提及，没有明确攻击。外部词义资料说明术语的阴谋论背景，但不能由背景替本句确定攻击立场，也不把裁决理解为认可该阴谋为事实。,[],,[],,"[""Racism""]",ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,6532578293ecc5d1c936dd07afd12d932f3f9661dad3fac20a162a9b10a4a288,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,0／Racism：仅提及，没有明确攻击
query:1746,关键是那么丑那么穷的h人，某些人还跪舔倒贴，这就是人的问题了，我们男的又不是sb！,2,scored,"[""group_stigmatization"", ""personal_insult""]","[""黑人"", ""被辱骂的交往者"", ""男性对比单位""]",对黑人作丑穷的污名概括，并辱骂部分交往者跪舔倒贴；男性也作为对比单位。拟 2／Racism、Sexism、others。others 对应另行受辱的“某些人”，不由黑人群体本身机械派生；h 的所指结合该句种族语境，不补国籍。,[],,[],hate,"[""Racism"", ""Sexism"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c926d181ed33012e6a29391be830630dff7aaabd0ffd6c45265c46f0522db0df,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
query:1900,湖北好像之前2020年武汉疫情的时候网络上就是微博好多人骂枪打九头鸟什么的。其实也没听懂是什么意思。反正就是黑称,0,scored,[],"[""湖北人""]",报告湖北人在疫情时受到地域辱骂，并说明自己不明白黑称；没有认可该辱称。参照 #7232，拟 0／Region；不把转述的鸟类词计为本句新攻击。,[],,[],non-hate,"[""Region""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,7027f53304f7a36960487c16c7725c0a45a2530cf3dd2c155c2fddc7a4630b64,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
query:2011,你说的这个例子不一样吧，毕竟不是黑人。至少，金发碧眼一般是西方白人，比黑人智商更高，就是更开化一点什么的。皮肤白色，很多中国的美女也是皮肤白色的。但是非洲，则一般智商平均水平偏低，并且黑色的皮肤也往往不受人喜欢。,2,scored,"[""group_stigmatization""]","[""黑人与白人""]",用户明确裁定 hate／2／Racism，未另给理由。按该结果保留一般种族污名解释；不把更聪明、更开化自动提升为 3，亦不由非洲和中国女性的例证另加 Region、Sexism。后两点为个案归纳，不是用户新增通则。,[],,[],hate,null,ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,0b66f108641b915a5b62a5c26b285fc881e4c8c9521837e7fcf4a197b35ff771,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,hate / 2 /  种族
query:2297,本质上根本就没有什么这个恋那个恋的，西方为了用身份政治来控制人民，以保证自己的剥削能够继续，才搞出了这些闹剧，把一群过街老鼠的怪癖放上大庭广众之下，让人们自发的结成两派，左手打右手，就没有合力去对付高高在上的资本财团，妙啊,3,scored,"[""dehumanization"", ""group_stigmatization""]","[""被称为过街老鼠的某种恋爱／偏好人群""]",用户明确判 hate／3／LGBTQ，未另给理由。按该个案把“这个恋那个恋”的实际所指归于性少数，并保留过街老鼠的非人化解释。资本话题不抵消对人群的独立辱骂；此处解释仍为 AI 整理。,[],,[],hate,null,ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,044fc2b9a8653daf4147adda853a85bcc6a17c268fc5334fe5adafb3e7994277,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,hate / 3 / LGBTQ
query:2802,嘿玩意只热爱人民币和LKD的标子,2,scored,"[""group_stigmatization""]","[""黑人"", ""被性污名化的女性""]",以黑人辱称和女性私生活辱称概括其偏好，拟 2／Racism、Sexism。LKD 采用 #1729 已明确的用法；没有独立具体个人目标，不自动增加 others。“玩意”也不单凭物品词升 3。,[],,[],hate,"[""Racism"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,4c150f4381fc0629e41afe3c374d39ce091c2cc0ed38465e05439d1a3d9db64c,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
