family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,all,643,-6.420585736145684,-5.830821990966797,-13.98634605407715,-0.08531150817871283,-9.571517944335938,-3.193574905395508,6.37794303894043,-17.955135345458984,6.068571090698242,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,Lq_hit,223,-4.711784345686703,-3.935028076171875,-12.109418487548828,0.29533271789550086,-6.539745330810547,-2.2615175247192383,4.278227806091309,-15.52016830444336,3.577707290649414,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,Lq_no_hit,420,-7.3278779029846195,-6.972658157348633,-14.573690605163574,-0.3626420974731495,-10.853291511535645,-4.100400924682617,6.752890586853027,-17.955135345458984,6.068571090698242,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,gold_size_0,252,-9.382257249620226,-9.223064422607422,-15.51502275466919,-3.538252639770508,-12.248289108276367,-6.656071662902832,5.592217445373535,-17.955135345458984,2.8835620880126953,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,gold_size_1,328,-4.861199477823769,-4.2965545654296875,-12.277589416503906,0.45374689102172405,-6.800680160522461,-2.216615676879883,4.584064483642578,-15.529876708984375,5.987831115722656,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,gold_size_2plus,63,-2.692609090653677,-2.7729530334472656,-6.289477920532226,1.8446199417114248,-4.733234405517578,-0.9499168395996094,3.7833175659179688,-10.846015930175781,6.068571090698242,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,gold_size_2_appendix,56,-2.6755169800349643,-2.794351577758789,-6.350748062133789,1.9877519607543945,-4.802929878234863,-0.5226693153381348,4.2802605628967285,-10.846015930175781,6.068571090698242,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,C0,C0,gold_size_3_appendix,7,-2.8293459756033763,-2.6718482971191406,-4.089865875244141,-1.5566076278686531,-3.308155059814453,-2.4622116088867188,0.8459434509277344,-4.3590240478515625,-1.233816146850586,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,CLnew,CLnew,all,643,-8.381893531716258,-7.8767242431640625,-17.507059478759764,0.7147418975830077,-13.78369140625,-3.0205020904541016,10.763189315795898,-20.14763641357422,6.061101913452148,defined,,,,,,,,,,,
condition,hate,hate,answer_sum,answer_sum/margin/hate,CLnew,CLnew,Lq_hit,223,-2.997918329965908,-2.3514938354492188,-10.33891944885254,2.043613815307617,-5.055746078491211,-0.32646751403808594,4.729278564453125,-19.27029037475586,6.061101913452148,defined,,,,,,,,,,,
