query_id,task,original_label,reviewed_label,material_label,original_status,reference_eligible,pending
3683,hate,"""hate""","""non-hate""",null,suspected_error,True,
3683,group,"[""Region""]",[],[],suspected_error,True,
541,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
541,group,[],"[""LGBTQ"", ""Sexism""]","[""LGBTQ"", ""Sexism""]",suspected_error,True,
4615,hate,"""hate""","""hate""","""hate""",accepted,True,
4615,group,"[""Racism"", ""Sexism""]","[""Racism"", ""Sexism""]","[""Sexism""]",accepted,True,
7903,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
7903,group,[],[],[],accepted,True,
5086,hate,"""hate""","""hate""","""hate""",accepted,True,
5086,group,"[""LGBTQ"", ""others""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,True,
3169,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
3169,group,[],[],[],accepted,True,
1160,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
1160,group,"[""Sexism""]",[],[],suspected_error,True,
3898,hate,"""hate""","""hate""","""hate""",accepted,True,
3898,group,"[""Racism""]","[""Racism"", ""Sexism""]","[""Racism"", ""Sexism""]",suspected_error,True,
61,hate,"""hate""","""hate""","""hate""",accepted,True,
61,group,"[""Racism""]","[""Sexism""]","[""Sexism""]",suspected_error,True,
5423,hate,"""hate""","""hate""","""hate""",accepted,True,
5423,group,"[""Racism""]","[""Racism"", ""others""]","[""Racism"", ""others""]",suspected_error,True,
7646,hate,"""non-hate""","""hate""","""hate""",suspected_error,True,
7646,group,[],"[""others""]","[""others""]",suspected_error,True,
1292,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
1292,group,[],"[""Racism""]","[""Racism""]",suspected_error,True,
7960,hate,"""non-hate""","""hate""","""hate""",suspected_error,True,
7960,group,[],"[""others""]","[""others""]",suspected_error,True,
7244,hate,"""hate""","""hate""","""hate""",accepted,True,
7244,group,"[""Region""]","[""Region""]","[""Region""]",accepted,True,
554,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
554,group,[],"[""Racism""]","[""Racism""]",suspected_error,True,
1746,hate,"""hate""","""hate""","""hate""",accepted,True,
1746,group,"[""Racism"", ""Sexism""]","[""Racism"", ""Sexism"", ""others""]","[""Racism"", ""Sexism"", ""others""]",suspected_error,True,
2297,hate,"""hate""","""hate""","""hate""",accepted,True,
2297,group,"[""Region""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,True,
1900,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
1900,group,"[""Region""]","[""Region""]","[""Region""]",accepted,True,
4756,hate,"""hate""","""hate""","""hate""",accepted,True,
4756,group,"[""Racism""]","[""Racism""]","[""Racism""]",accepted,True,
7285,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
7285,group,"[""Racism""]","[""Sexism""]","[""Sexism""]",suspected_error,True,
6037,hate,"""hate""","""hate""","""hate""",accepted,True,
6037,group,"[""Sexism""]","[""Sexism""]","[""Sexism""]",accepted,True,
2802,hate,"""hate""","""hate""","""hate""",accepted,True,
2802,group,"[""Racism"", ""Sexism""]","[""Racism"", ""Sexism""]","[""Racism"", ""Sexism""]",accepted,True,
376,hate,"""hate""","""hate""","""hate""",accepted,True,
376,group,"[""LGBTQ"", ""others""]","[""LGBTQ""]","[""LGBTQ""]",suspected_error,True,
4080,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
4080,group,"[""Region""]","[""Racism"", ""Region""]","[""Racism"", ""Region""]",suspected_error,True,
1128,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
1128,group,[],[],[],accepted,True,
4189,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
4189,group,"[""Sexism""]","[""Sexism""]","[""Sexism""]",accepted,True,
3919,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
3919,group,[],[],"[""others""]",accepted,True,
3950,hate,"""hate""","""hate""","""hate""",accepted,True,
3950,group,"[""Sexism""]","[""Sexism""]","[""Sexism"", ""others""]",accepted,True,
4026,hate,"""hate""","""non-hate""","""non-hate""",suspected_error,True,
4026,group,"[""Region""]","[""Region""]","[""Region""]",accepted,True,
4137,hate,"""non-hate""","""non-hate""","""non-hate""",accepted,True,
4137,group,[],"[""LGBTQ"", ""Sexism""]","[""LGBTQ"", ""Sexism""]",suspected_error,True,
4450,hate,"""hate""","""hate""","""hate""",accepted,True,
4450,group,"[""Region""]","[""Region""]","[""Region""]",accepted,True,
2011,hate,"""hate""","""hate""","""hate""",accepted,True,
2011,group,"[""Racism"", ""Region""]","[""Racism""]","[""Racism""]",suspected_error,True,
