id,content,label,x,y,cluster
2448,我的天啊，求求你坦白吧，放过人家,non-hate,-17.530895,20.353611,9
5977,出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多,non-hate,30.185808,-11.108366,5
1942,她没必要这么敏感,non-hate,-11.678933,19.327578,4
7140,这种东西是上面的锅，甩给女性不大好,non-hate,-0.9428717,22.897316,4
6442,说明现在法制社会啊←_←大家都挺爱护女性的,non-hate,5.8615537,27.500416,4
7108,大哥你私信没开,non-hate,-41.138885,0.4907418,7
2234,答主回答的时候是不是有些难过啊，抱抱，我们都理解你的,non-hate,-19.712868,7.4256306,6
4452,为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。,non-hate,32.660633,-16.249043,5
291,我主张拆掉屋顶的时候才有人同意开窗户。,non-hate,10.415323,3.85294,2
3787,妇女报是妇联名下的么？,non-hate,4.5114393,35.65046,4
5962,因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的,non-hate,5.738775,30.177116,4
7978,怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？,non-hate,-34.19866,2.8284194,7
2733,对啊，好看的很多的都是混血,non-hate,18.528688,16.105865,3
7725,反串一律水葬,non-hate,-49.60007,2.8733897,0
2125,这贴看的我鸡皮疙瘩起来了,non-hate,-28.28793,1.2631625,0
3909,真想不到这人居然还在！,non-hate,-13.05076,-25.872005,0
5721,不要随意评论。毕竟大家都是人，你的评论会伤害到别人。性取向是别人的自由。请你善良,non-hate,-8.315859,38.657978,1
3204,如果你已经不会听风就是雨，那么说明你成熟了,non-hate,-3.2930636,4.1344104,9
1374,你可以不给，她可以不嫁，很公平啊,non-hate,17.989428,32.12484,4
2033,吧里没落了,non-hate,-35.99576,6.4500194,7
7890,省都没出过几次，你就不要说话了好吧！最基本的人文地理知识都缺乏😆,non-hate,30.407595,-12.071803,5
1256,说的好，生动代表了河南人那股聪明劲,non-hate,34.477688,-31.297646,8
6720,世界女权组织，这名听着就吓人,non-hate,4.270075,34.839012,4
7237,没有广西吗？,non-hate,50.98423,-22.630745,5
4744,可以说，以上的地域歧视只能说是略有夸大。但是几乎全部都有事实依据。要真是空穴来风根本不可能流传开来。,non-hate,27.517193,-10.383523,5
7688,你是个什么逻辑，臆想别人喜欢你?,non-hate,-17.725216,34.43258,9
5832,难道不是小孩贫血，好心人献血过多，改变了血型吗?,non-hate,14.69603,14.19071,2
1652,反正我遇见的河南人都还不错,non-hate,33.624516,-32.447475,5
5720,这个赞太少了点吧。,non-hate,-14.383473,-14.968348,8
5436,花呗干什么的,non-hate,-32.929752,33.824226,7
7934,这人老挠弹了，之前就被人举报封过，大过年又出来发病了,non-hate,-27.575527,0.8381413,7
3822,没必要纠结这么多，我敢说99.9%的女性都是想为自己的丈夫生孩子的，如果你要是遇到0.1%，那就是你自己的问题了，话说我只想要一个孩子，我老婆想要两个。,non-hate,10.83452,33.345173,4
2655,很难不赞同，不过补充一点，杨靖宇将军是河南的，本名马尚德，驻马店的骄傲🍉,non-hate,32.623844,-37.54274,5
6339,个人感觉浙江比苏南上海友好非常多，实地都去过,non-hate,34.42572,-18.063076,5
6903,湖北也跑了,non-hate,38.450882,-18.162012,5
7851,你比苏维埃联盟还要牢不可破,non-hate,-31.22656,-25.950819,9
533,谁说你了，给自己加这么多戏,non-hate,-28.490602,-15.578507,9
2627,我帮你，我浴霸六级,non-hate,-39.510048,-20.494637,7
3846,逐字逐句看完，有一个观点我有一点反对意见，异性之间的行为符合人伦天道,non-hate,-1.3854377,26.124228,1
2184,我沈阳人，我当兵的时候好多战友都是黑龙江富拉尔基的，我们相处的一直很好，我还想以后去哈尔滨定居，不用因为少数低素质人就敌视整个地区。,non-hate,36.107613,-10.27764,5
7328,王者荣耀要做的速速，在大厅发消息，一个人，一分钟3条，10分钟30一小时180条！每条0.2，时薪36！！不限量，而且发出去就算进扣扣群,non-hate,-27.935768,10.43337,7
6268,跟这个没关系，主要是80年代，河南是全国小偷各地集团的汇聚中心，因为当时铁路为主，而河南是全国铁路交汇的枢纽，小偷最多，导致河南名声被连累，,non-hate,30.104147,-30.05872,5
2708,动物都有同性恋，人类能没有？😅多读书，别读死书,non-hate,-10.828458,44.77091,1
6560,因为牛奶和巧克力都挺好吃的,non-hate,15.846396,10.500162,8
3612,rush，增加kuai感的,non-hate,-42.314392,-15.231511,0
5739,知乎的三观很正，所以我喜欢这里,non-hate,-20.35157,-16.593954,8
7041,没办法我天生的改不了,non-hate,-5.1620116,10.046533,8
605,我是高贵的中国人,non-hate,20.799156,-3.3696487,3
6814,👍️ 金庸大师，诚不我欺啊,non-hate,-11.5996475,-41.82489,8
323,还是我们的子女好看，白白的精致,non-hate,5.619359,15.483317,8
3813,唉，不得不说彼此都任重道远啊,non-hate,-0.753495,-20.247559,8
5342,穷黑龙江也不是最穷的,non-hate,42.474716,-10.562054,5
1148,一个有正常工作生活的人根本没那精力天天发这种帖子，这玩意估计也是靠这个赚钱的,non-hate,-25.86375,2.5745096,7
7955,我寻思人长得帅的也看不上你啊⁉,non-hate,-10.773489,11.2937355,0
7872,这垃圾酒，喝他妈,non-hate,-30.225853,11.159739,0
6355,租借女友可以拜托相亲烦恼，每次回去都换一个，久而久之父母就放弃了。,non-hate,15.326269,29.30093,4
6051,这比在竞选新吧宠的路上，大家理解一下，给他一个机会好好表现。毕竟不是人人都可以享受集全吧宠爱于一身。,non-hate,-34.92901,8.946442,7
283,在东北上学，对这里普遍印象很好，但一部分群体，莫名的有种害怕？,non-hate,36.176323,-7.675662,5
5298,山东热衷于考公务员，不属实？,non-hate,44.256416,-21.18352,5
2266,异性恋不需要你尊重啊，这是世界上每个生物正常的生物本能。,non-hate,-10.591144,40.08442,1
2522,真的有那么生气吗，我不信😆,non-hate,-18.146837,-14.269578,2
1922,你可以看一下这个，这证明了我所言非虚,non-hate,-21.15168,-22.180536,8
8025,哪个小野冢转了爹的帖子啊，也不进来磕个头,non-hate,-32.05856,3.3054488,7
1521,可能因为河南同学比他高了一百分🤣🤣🤣心理不平衡,non-hate,27.409004,-35.200363,5
6864,这个国家同婚合法吗,non-hate,-2.7416618,41.201984,1
1357,中国这么多人，啥样人都有，脑袋灵光的女性更是大有人在的🤝,non-hate,4.721776,18.096376,4
7819,带头的属于是恰烂钱的，跟风的就是铁nt,non-hate,-24.424158,5.615716,7
3487,东北人表示赞同??,non-hate,37.500782,-5.3037505,5
162,婚恋不可能平等,non-hate,15.876676,32.8434,4
227,努力是假的吧我看他天天钓鱼,non-hate,-44.556698,12.48108,0
1525,无论哪个国家的人都是有好有坏,non-hate,15.163646,0.2845865,3
2387,我去过南方几乎所有的省，而且不是走马观花式的那种，我是平均在每个省都待了两三个月,non-hate,25.08635,-16.898302,5
4493,日本人侵略东北要从1895开始算，东北人抵抗日本侵略至少50年,non-hate,43.202496,-1.2388084,5
4320,不同意同性恋不代表反同性恋,non-hate,-13.751706,42.28472,1
1309,我看3楼是友军,non-hate,-6.8471622,-25.782013,8
6039,当然如果是爱出去乱约的，无论男女都非常的恶心,non-hate,-6.444341,36.12186,4
2782,贬低自己国家有什么意思？,non-hate,11.290257,-1.3981488,2
6573,我爷爷叔叔都是阿訇，不过我不信教,non-hate,31.190046,-3.2709866,3
2789,所以美国等于全世界？,non-hate,15.796594,-23.274223,8
6923,这个大概是学校里几个同学一起约出来玩,non-hate,-17.744452,9.10621,8
6661,那你应该去放生吧,non-hate,-25.172386,-29.300613,9
5442,监狱医院？监狱墓地！,non-hate,25.68803,-30.01292,2
4061,楼主它换名字了,non-hate,-42.722,16.459234,7
7817,这个视频比较恶臭,non-hate,-19.235113,-5.034321,0
4374,在信仰、价值取向、生活观念、文化认同等方面没有达到一致，无论白人、黑人都是异族；古话说的好：非我族类，其心必异。多看看世界历史上排华、歧华事件，一旦爆发华人在当地就是被掠杀的对象，不要觉得我说的危言耸听，史实就是这样。疫情期间美国那鸟地方不也在歧华？在他们眼里中国人就低人一等，因为他们文化继承里包含着殖民文化带来的种族优越感。,non-hate,27.413181,7.8524394,3
1735,与那些又有什么关系，毕竟性质不同，我们只是互相喜欢，恰好爱上了一个同性的人，我们也很惊讶😑，不是所有同性恋的感情都是那样的,non-hate,-10.820495,41.63456,1
1537,你赚了，河南男的活好,non-hate,34.960438,-31.772762,5
7647,地域黑子出来答话,non-hate,26.455841,-8.4450445,5
3859,卖钩子的弄啥咧~,non-hate,-46.40526,11.063304,7
7769,这样把脑子不好的都输出,non-hate,-18.105398,-7.9984956,0
2054,爱马仕不香么？,non-hate,-1.4124162,-34.14969,8
7766,跪舔的小号，装什么大瓣蒜，连自己是什么东西都不知道？,non-hate,-33.06351,2.5524142,7
5397,事实就是早期你们异性恋先从动物身上传过来的。,non-hate,-11.688934,47.084576,1
6499,河南官方认证,non-hate,36.16402,-35.73009,5
7661,层主是女性反串的吗,non-hate,1.5487745,35.966938,4
3019,魔方基因？一听就不靠谱😆,non-hate,16.082804,13.330587,0
6989,我工作时被河南信阳女客户的素质大跌眼镜。。无语住了。,non-hate,32.014507,-32.35085,5
3626,好好好你最棒。,non-hate,-28.217558,-27.753159,9
2542,但是人家不会跪着安排豪华宿舍、美女学伴、高额奖金😅,non-hate,2.233248,-27.58352,8
4794,那我说异性恋不好，被骂，是不是别人太偏激了？,non-hate,-13.314338,38.09416,1
3194,你的截图说的很有道理,non-hate,-21.602531,-22.382664,9
7296,我家老人只喜欢看本地台那些八卦消息，而我都是看cctv13,non-hate,9.885442,-9.74065,5
2255,我觉得他就是个牺牲品，需要转移视线的时候直接随便曝光一个明星就行了。,non-hate,-22.930527,3.1007602,6
1001,你自己自尊自强谁会不尊重你，何来压迫之说。,non-hate,-5.1484585,2.1827207,6
7546,我不能跟你说得太细，因为圈子太小了。我在中资建筑工程公司，然后在非洲前后待过12年。,non-hate,24.47694,-16.632912,3
6308,人造子宫早就80年代就成功，微量偏向化基因改造早就有了，因为阻力无法推行。老龄化的人口结构会逼着政府推行此政策。,non-hate,10.507022,39.17089,4
7713,这明明是个辱华的玩意，没想到还有些nc追捧它。,non-hate,12.058628,-3.0645247,2
2411,😓😓😓看见了，我早就举报了，这玩意就是最恶心的,non-hate,-26.599186,-3.1052725,7
1914,你之前说荷兰有多包容同性恋是有问题的,non-hate,-14.178151,43.785835,1
273,刚刚最新收集到的，在中国的土地上这个黑人会不会是非洲国家乌干达的？,non-hate,30.60906,10.425894,3
826,我也没因为吴亦凡是异性恋就讨厌所有异性恋啊🤔。性取向和道德水平又不相关。因为谁谁谁做了坏事所以就讨厌这个人的群体里的所有人。这是啥？这段时间偏见吧？,non-hate,-10.504899,37.37653,1
3153,真没人黑天津吧🤔,non-hate,22.08677,-15.85745,5
7187,也不知道一大堆人品有问题骗婚的是谁,non-hate,-19.170519,16.464098,7
2444,确实要有人管理了,non-hate,-1.9367203,-18.714098,8
2386,兄弟们，给他送温暖,non-hate,-33.047592,-29.053255,0
6795,接下来这些黑人会要求政治权力,non-hate,31.050196,16.077282,3
6198,性方面也是比不了的,non-hate,-12.14319,7.223051,8
6937,现在包括安徽苏北整个江淮系大概占25%,non-hate,31.229105,-20.874277,5
4294,上海人已经躺平了，你们说的都对对对对对,non-hate,24.995964,-21.321297,5
5123,艾滋病你了解一下,non-hate,-0.4577016,51.05924,9
2690,我觉得歧视这个词被用烂了也用错了，歧视指的是不正确不符合事实的认识，如果一个观点符合事实那它就算不得歧视,non-hate,17.417772,5.2096553,6
2137,这个作者一口一个中国女性，他只是在说女权?,non-hate,5.1439085,32.864483,4
6650,你这话说的，我反驳的点是他说女性之间友谊的虚伪而不是人品的不端。别把男女分开说，是个人周围产生品行不端的大家就会离开他，这都是非常正常的。跟女的不女的没关系。,non-hate,0.6068429,27.491108,4
7522,如何评价这种人,non-hate,-23.73759,-7.4763207,6
3122,犯罪预备军。明明很丑,non-hate,-9.754707,-4.5143714,0
1103,以前的邻居是我爸老同事一个回族大伯过节就送给我家油香。人好,non-hate,31.15004,-4.5085044,8
876,你是全国人？,non-hate,15.475881,-22.931084,9
3425,外国女人说中国男人对吗？,non-hate,14.625239,21.93847,4
7951,你妈养你这么大，你这样说她我觉得你丢人，她当初不如把你丢掉，没哪个父母不爱自己的孩子都，她这样说一定事出有因，倒是你，真的不懂事,non-hate,9.02085,10.084237,6
3490,就是一个外网普通论坛，什么都可以发，可能就是一些极端人士发的极端的话。,non-hate,-32.496765,6.1987963,7
5169,度度拿不出我是小号的证据只能转进，转进两次都被我打脸打回来了，也是够窝囊的,non-hate,-32.463062,2.1358023,7
7898,你们特莫sb吧，脑袋进屎了吧,non-hate,-20.277594,-0.58271205,0
2602,可是如果那个撒匹是自己亲人呢，怎么办？还能割离？,non-hate,-26.73677,29.762543,2
3734,如果各位不想被地域黑，同样地，对别的地区也不要地域黑,non-hate,26.188528,-8.948956,5
7795,集美们，拿刀真的有用😅,non-hate,-1.4238808,18.46571,0
6232,🐶快把陕西也算上，现在轮到陕西了，西北也快沦陷了,non-hate,49.461258,-18.27241,5
5322,李将军？他可是一名好人,non-hate,-5.3903522,-31.661406,8
5899,我们要怎样才能阻止这东西,non-hate,-26.625107,-1.6044347,2
6848,劳子每天编辑文案，记录与敌人战争的每一天,non-hate,-22.86146,-4.7839746,7
7929,这个freya冯丽的言论属于反人类了，微博是不是没有管理人员啊😲,non-hate,-27.220041,7.1180086,7
6215,第一还听说用传播范围定罪有无的，传播范围小就无罪了？再说艾滋病男传女的几率要大于女传男哦。,non-hate,-0.6010555,48.11081,1
6336,加油！！坚持！！这个吧不能再沦陷了！,non-hate,-31.76467,4.6053824,7
1741,是你上来先讲一句骄傲的先富人，请问你从我的文章中怎么看出我骄傲?,non-hate,5.7061667,-31.705803,6
6213,不过专车比其他确实贵几赔,non-hate,-6.4745183,-20.016985,8
6416,有些人啊，就是活的不明白怎么让自己活得好，才是真实需求，别人过得不好，自己就开心了，这叫虚荣再说了，上海生上海长，活得不如人意的人也很多，哪个地方都有，很正常的事情，个例e非得上升到地图炮，真的是无语,non-hate,27.328648,-12.426317,6
7805,这b的确不是好人,non-hate,-15.624664,-7.196263,2
18,Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進小黑屋。,non-hate,-6.671838,2.2912805,6
221,我刚刚看了你的回答 冒昧问一句你老公是什么家庭出生的 我觉得我也忍不了爱情背叛 而且主要是其实你应该当初上个985研究生遇到更好的男人,non-hate,4.9827743,21.63753,6
7746,不错了快感恩命贵们吧,non-hate,-12.550391,-32.643272,8
5849,河南人的确骗过我啊,non-hate,34.75336,-33.238037,5
575,美国有种族歧视，中国有地域歧视很正常,non-hate,24.219198,3.74378,3
2120,其实，爱滋在男同里的比例很低，反倒是异性恋得爱滋的比例高，不信去上网查查。我国对同性恋采取不反对、不提倡。,non-hate,-0.98383105,47.833363,1
3303,祝大家周末愉快,non-hate,-20.932468,-35.710747,8
4199,女权组织都批判。。。什么成分？,non-hate,4.6533647,33.66708,4
3894,因为太多人的否定了，所以我还是害怕,non-hate,-1.6561941,-5.631413,2
2160,其实只要记住两点就行。1.作案者是美国人。2.此人名字是一个典型的阿拉伯名字,non-hate,21.155529,9.575643,3
3556,从十年前开始，你就应该天天刷这答案。,non-hate,5.833168,-19.229488,8
3172,前一阵子有几个拿学历说事的喷我，说我不用写作业不上学是文盲辍学者。我寻思着这个社会上还在上学的才是少数吧。,non-hate,-1.0139872,-0.31040636,6
3630,我们这里不管男的女的，如果不结婚就不能上族谱……虽然说现代也不在乎这些,non-hate,14.529839,34.3547,4
1511,你起诉动物吗？,non-hate,-11.801672,-14.428483,9
2696,怎么？我就是这样觉得！,non-hate,-17.817894,-16.558601,8
4718,6666 自然而然的事 不应该被污名化,non-hate,-25.327238,-10.325129,8
1589,毕竟人家祖上也说说中国话，跟咱也勉强算同文同种,non-hate,30.281708,1.9065145,3
3852,这也太不公平了,non-hate,-13.613615,-7.613856,2
2641,楼主自我认知非常清晰,non-hate,-21.26839,-18.410162,9
5238,不好意思 不懂什么是踩评论………我以为是赞的意思??,non-hate,-29.51072,-7.665406,7
7621,双标给他玩明白了,non-hate,-17.264885,-10.0226,0
4291,我室友就是河南的😂天天听他说，洛阳口音,non-hate,35.569473,-28.6423,5
7177,哈哈哈，笑死我了，你自己说的你自己真信吗？我说我家的狗会打鸣，还真有人来借我的狗去报晓？,non-hate,-32.41491,16.77999,6
5052,你说的这个微博上曝光过……,non-hate,-40.446316,-9.256252,7
7226,基本上人的意识是由于现在的大脑产生的。也就是每个人出生的时候，DNA和环境（物质）一起来组装一个新的人体，大脑既需要DNA来组装成基础模块，也同时从环境中学习知识，共同来形成意识（以及一些意志）。人死亡时大脑就死亡了。但之前的DNA还是之前（加上在环境中不受意志所控的变异），如果在死亡前选择生育，它们会和新的DNA组合（其他人身体内的DNA）成新的DNA模块，形成新的人体，但这个人已经是别人了。所以之前的人已经完全死亡了。DNA是没有意志的，所以不存在“你的个体”被传递这种事。被传递的只是DNA的信息。如果要定义“通过复制基因可以得到永生”，就和没有买彩票却幻想明天中了五百万要怎么花其实差不多的。因为本质上都是幻想。,non-hate,11.250371,41.512882,6
3819,做过错事的来领道歉信，按格式写完交给我，谢谢,non-hate,-30.643957,2.1245348,7
3860,天津人心碎……就说没钱就是原罪呗,non-hate,22.001848,-15.911044,2
1508,c语言那个点开动态看一看是不是第一定律,non-hate,-19.258627,-20.489408,8
2925,确实，你稍微可以去了解一下中国男孩在东南亚和欧洲的风评。绝对比国内好得很多很多。,non-hate,15.483846,21.278069,3
5811,北欧三国是怎么积累财富的？,non-hate,33.71515,6.645456,3
7077,个人觉得，如果是结婚的话，如果自己不是处也不能要求对方是处吧。而且现在社会很开放，情侣在谈恋爱发生这种事情也不奇怪了,non-hate,-1.4541463,43.464428,1
1207,发达还穷的叮当响？你以为南方穷人少？,non-hate,46.179764,-12.613392,5
1132,你要考虑一下是不是上梁不正下梁歪。,non-hate,-6.8938484,3.415974,6
10,猪头肉哈哈哈哈哈,non-hate,-1.5201797,-37.400055,0
2588,如果你的亲朋好友出现了同性恋呢,non-hate,-13.905189,45.54567,1
4396,那当时李世民祖宗能想到以后会同化吗？没有啊，人家就没想过生纯汉族血统后代,non-hate,34.125206,3.0157847,3
6237,麻烦你下回举证用：江桥抗战，国际公认反法西斯战争第一枪！,non-hate,42.80935,0.0686237,8
2686,视频是好视频，有教育意义,non-hate,-16.263292,-30.024567,8
3173,妥妥的钓鱼理她干嘛,non-hate,-44.736694,10.573113,7
6193,你自己的命，我劝你珍惜一点。每个生命的出生都是奇迹。,non-hate,0.54876745,3.7154758,9
4400,河南几亿人，出几个人渣还是有可能的😅,non-hate,32.080154,-29.871284,5
2687,答主有个逻辑漏洞，不是说支持就是多么高尚多么厉害，这与口味怎么样是没法比较的，因为这牵涉的是人最基本的权利能否得到保障，而这些支持的人就是在保护作为“人”的最基本权利,non-hate,0.6323143,9.686608,6
161,直男不会挑礼物不是很正常，男的一出生就要知道那些高端口红吗,non-hate,-5.100569,24.977482,6
4157,我完全同意你找,non-hate,-18.962933,-23.119179,9
676,当然。连动物都知道公母，雌雄之别,non-hate,-2.7001345,36.211586,8
4393,如此下去，恐怕人要变得越来越傻了,non-hate,-3.804944,-8.583358,2
663,结果女权吧的活了不到五分钟就被删帖了,non-hate,-0.43006477,32.29308,4
824,但她害起当地的中国人，工作中暗中搞鬼，被辞退了破坏中国公司在当地的商业进展不会手软。,non-hate,19.950603,0.23629114,2
4332,这个段子几年前就有了，一直不缺搬运工,non-hate,-21.670883,-9.107072,8
7198,评论区里面的三观真让人叹为观止。 这就是大国气度？ 如此狭隘就是我们几千年文化提炼出来的精华？,non-hate,9.136487,-2.9256349,6
987,黑人没有大量贩卖到法国葡萄牙,non-hate,31.30213,12.75032,3
2151,这不得好好庆祝下。,non-hate,-11.59283,-28.484224,8
4259,这话术辣嘴，我没法强逼自己说出口,non-hate,-18.09008,-10.9959,0
2202,哈哈，骂的最狠的还是山东人自己🤣,non-hate,44.4718,-19.851234,5
4588,不少啊，但最起码有自知之明就是好的，你能不能看一看图片上的题目？,non-hate,-2.7862988,-12.87656,6
4580,有他的地方就有他儿子,non-hate,0.49182266,-32.448635,0
5051,楼主说的非常棒,non-hate,-21.09776,-18.905268,8
5605,全国高考都做不到同一张试卷，还大同世界呢，这不开玩笑么,non-hate,15.9421425,-25.347532,3
7053,你随意就好,non-hate,-29.652246,-20.842318,9
7695,你接不接受有什么关系吗？你给男人掏彩礼？还是给男人买房买车，工资卡上交？你什么都不给男人，那你接不接受真的毫无价值,non-hate,8.713883,31.463036,4
4301,我什么时候说被国男抛弃女性就活该了？被抛弃的女性永远是受害者，渣男部分国界，不负责任的男人到处都有,non-hate,14.227289,23.791725,4
4518,额，器质性变化不好恢复。你不介意么,non-hate,-4.455237,13.075052,6
