id,content,label,x,y,cluster
2448,我的天啊，求求你坦白吧，放过人家,non-hate,13.550543,-0.089768514,2
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,13.089502,-2.458817,3
5977,出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多,non-hate,8.358974,0.030210363,1
1942,她没必要这么敏感,non-hate,13.598713,-0.39784884,2
1646,我190+，但是这种墓垢还是铁鲨鼻,Sexism,13.508028,0.61237067,4
2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,LGBTQ,14.805588,1.483381,3
4460,居然没有一个拳师冲。,Sexism,13.768615,0.7222544,2
1460,征尼大将军,Racism,11.173693,0.59225637,4
7140,这种东西是上面的锅，甩给女性不大好,non-hate,14.508979,-1.3759614,3
6442,说明现在法制社会啊←_←大家都挺爱护女性的,non-hate,14.412576,-1.2290053,3
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,10.701966,-2.5839229,0
1313,举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人,Sexism,14.438947,-1.1850843,3
7108,大哥你私信没开,non-hate,12.994625,1.2534786,4
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,12.1751175,-2.6211784,0
2234,答主回答的时候是不是有些难过啊，抱抱，我们都理解你的,non-hate,12.8588915,0.419517,3
4452,为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。,non-hate,7.857045,0.6274116,1
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,11.7578335,2.7831202,0
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,14.397317,-0.83188075,3
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,8.489136,-0.51375574,1
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,7.103691,-0.16327818,1
4683,要把一滴血原则带到中国来,Racism,10.414037,-0.7223576,2
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,10.904193,-2.5180972,0
7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,LGBTQ,15.781474,1.8574684,3
291,我主张拆掉屋顶的时候才有人同意开窗户。,non-hate,11.750044,-0.33562547,2
7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,Sexism,13.662158,-1.3781234,4
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,15.246353,-1.3358254,3
927,广州就是黑河南、黑北方的总部,Region,8.252814,-0.875822,1
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,11.0805435,-1.0673765,4
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,6.4762683,-0.4672181,1
3235,好家伙，间接黑了一波北京（玩笑）,Region,8.494397,0.63356173,1
6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,Racism,12.495258,-2.9993749,0
6091,默滚出中国就行了。,Racism,11.234642,-1.3095374,2
1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,others,12.682485,-1.3492131,0
2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,others,16.803291,0.17918335,3
1442,失足妇女是要钱，可以理解。,Sexism,13.490645,-0.8194312,2
3787,妇女报是妇联名下的么？,non-hate,15.330939,-1.2243624,2
2269,女quan真的是要挑起争端吗？大言不惭的攻击郭嘉的执fa制度，明明厌男，却又想结婚找男人要20万的彩礼，讨厌男人还让它的哥哥帮它寻找yan遇。不理解，实在是不理解。搞女quan是为了压榨男性的剩余价值吗？,Sexism,14.98743,-1.1426927,3
5962,因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的,non-hate,15.13071,-1.3827515,3
460,没有世界帮助，非洲还生活在原始社会。,Racism,10.6014805,-2.8800538,0
638,女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,Sexism,14.98145,-0.84898466,3
1950,无艾不是真基,others,14.681757,2.9430656,4
7978,怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？,non-hate,13.342319,1.6207144,4
1037,第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。,Sexism,13.967875,-1.7350475,2
2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,Racism,11.878383,-1.7514306,4
7090,性取向都扭曲了的人怎么会觉得恶心呢😓,LGBTQ,15.326431,2.0175538,3
3319,精神科医生好久不见我是反同二局的,LGBTQ,15.752198,2.3894296,4
6035,哈哈雀食，上大人果然都是你这样😄,Region,12.560066,1.8527589,4
7526,钓鱼的吧，除非让你全家女性照顾黑人,others,11.741394,-2.8356252,0
