job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J01-D01-upstream	J01	synthetic-J01-D02	synthetic-J01-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J01-D01-restore-L26-attention	J01	synthetic-J01-D02	synthetic-J01-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	3.4836385250091553	无	repair	32.0
J01-D01-restore-L28-mlp	J01	synthetic-J01-D02	synthetic-J01-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	3.8013622760772705	无	repair	32.0
J01-D01-restore-joint	J01	synthetic-J01-D02	synthetic-J01-D01	restore-joint	-0.6792386770248413	2.5267831087112427	2.5267831087112427	有	unchanged	32.0
J01-D01-preceding	J01	synthetic-J01-D02	synthetic-J01-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J01-D02-upstream	J01	synthetic-J01-D01	synthetic-J01-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J01-D02-restore-L26-attention	J01	synthetic-J01-D01	synthetic-J01-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	-3.4836385250091553	有	damage	32.0
J01-D02-restore-L28-mlp	J01	synthetic-J01-D01	synthetic-J01-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	-3.8013622760772705	有	damage	32.0
J01-D02-restore-joint	J01	synthetic-J01-D01	synthetic-J01-D02	restore-joint	0.6792386770248413	-2.5267831087112427	-2.5267831087112427	无	unchanged	32.0
J01-D02-preceding	J01	synthetic-J01-D01	synthetic-J01-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J02-D01-upstream	J02	synthetic-J02-D02	synthetic-J02-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J02-D01-restore-L26-attention	J02	synthetic-J02-D02	synthetic-J02-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	-3.4836385250091553	无	damage	32.0
J02-D01-restore-L28-mlp	J02	synthetic-J02-D02	synthetic-J02-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	-3.8013622760772705	无	damage	32.0
J02-D01-restore-joint	J02	synthetic-J02-D02	synthetic-J02-D01	restore-joint	-0.6792386770248413	2.5267831087112427	-2.5267831087112427	有	unchanged	32.0
J02-D01-preceding	J02	synthetic-J02-D02	synthetic-J02-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J02-D02-upstream	J02	synthetic-J02-D01	synthetic-J02-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	32.0
J02-D02-restore-L26-attention	J02	synthetic-J02-D01	synthetic-J02-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	3.4836385250091553	有	repair	32.0
J02-D02-restore-L28-mlp	J02	synthetic-J02-D01	synthetic-J02-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	3.8013622760772705	有	repair	32.0
J02-D02-restore-joint	J02	synthetic-J02-D01	synthetic-J02-D02	restore-joint	0.6792386770248413	-2.5267831087112427	2.5267831087112427	无	unchanged	32.0
J02-D02-preceding	J02	synthetic-J02-D01	synthetic-J02-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	32.0
J03-D01-upstream	J03	synthetic-J03-D02	synthetic-J03-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J03-D01-restore-L26-attention	J03	synthetic-J03-D02	synthetic-J03-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	3.4836385250091553	无	repair	32.0
J03-D01-restore-L28-mlp	J03	synthetic-J03-D02	synthetic-J03-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	3.8013622760772705	无	repair	32.0
J03-D01-restore-joint	J03	synthetic-J03-D02	synthetic-J03-D01	restore-joint	-0.6792386770248413	2.5267831087112427	2.5267831087112427	有	unchanged	32.0
J03-D01-preceding	J03	synthetic-J03-D02	synthetic-J03-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J03-D02-upstream	J03	synthetic-J03-D01	synthetic-J03-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J03-D02-restore-L26-attention	J03	synthetic-J03-D01	synthetic-J03-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	-3.4836385250091553	有	damage	32.0
J03-D02-restore-L28-mlp	J03	synthetic-J03-D01	synthetic-J03-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	-3.8013622760772705	有	damage	32.0
J03-D02-restore-joint	J03	synthetic-J03-D01	synthetic-J03-D02	restore-joint	0.6792386770248413	-2.5267831087112427	-2.5267831087112427	无	unchanged	32.0
J03-D02-preceding	J03	synthetic-J03-D01	synthetic-J03-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J04-D01-upstream	J04	synthetic-J04-D02	synthetic-J04-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J04-D01-restore-L26-attention	J04	synthetic-J04-D02	synthetic-J04-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	-3.4836385250091553	无	damage	32.0
J04-D01-restore-L28-mlp	J04	synthetic-J04-D02	synthetic-J04-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	-3.8013622760772705	无	damage	32.0
J04-D01-restore-joint	J04	synthetic-J04-D02	synthetic-J04-D01	restore-joint	-0.6792386770248413	2.5267831087112427	-2.5267831087112427	有	unchanged	32.0
J04-D01-preceding	J04	synthetic-J04-D02	synthetic-J04-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J04-D02-upstream	J04	synthetic-J04-D01	synthetic-J04-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	32.0
J04-D02-restore-L26-attention	J04	synthetic-J04-D01	synthetic-J04-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	3.4836385250091553	有	repair	32.0
J04-D02-restore-L28-mlp	J04	synthetic-J04-D01	synthetic-J04-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	3.8013622760772705	有	repair	32.0
J04-D02-restore-joint	J04	synthetic-J04-D01	synthetic-J04-D02	restore-joint	0.6792386770248413	-2.5267831087112427	2.5267831087112427	无	unchanged	32.0
J04-D02-preceding	J04	synthetic-J04-D01	synthetic-J04-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	32.0
G01-D01-upstream	G01	synthetic-G01-D02	synthetic-G01-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	22.627416997969522
G01-D01-restore-L26-attention	G01	synthetic-G01-D02	synthetic-G01-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	3.4836385250091553	无	repair	22.627416997969522
G01-D01-restore-L28-mlp	G01	synthetic-G01-D02	synthetic-G01-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	3.8013622760772705	无	repair	22.627416997969522
G01-D01-restore-joint	G01	synthetic-G01-D02	synthetic-G01-D01	restore-joint	-0.6792386770248413	2.5267831087112427	2.5267831087112427	有	unchanged	22.627416997969522
G01-D01-preceding	G01	synthetic-G01-D02	synthetic-G01-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	22.627416997969522
G01-D02-upstream	G01	synthetic-G01-D01	synthetic-G01-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	22.627416997969522
G01-D02-restore-L26-attention	G01	synthetic-G01-D01	synthetic-G01-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	-3.4836385250091553	有	damage	22.627416997969522
G01-D02-restore-L28-mlp	G01	synthetic-G01-D01	synthetic-G01-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	-3.8013622760772705	有	damage	22.627416997969522
G01-D02-restore-joint	G01	synthetic-G01-D01	synthetic-G01-D02	restore-joint	0.6792386770248413	-2.5267831087112427	-2.5267831087112427	无	unchanged	22.627416997969522
G01-D02-preceding	G01	synthetic-G01-D01	synthetic-G01-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	22.627416997969522
G02-D01-upstream	G02	synthetic-G02-D02	synthetic-G02-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	22.627416997969522
G02-D01-restore-L26-attention	G02	synthetic-G02-D02	synthetic-G02-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	-3.4836385250091553	无	damage	22.627416997969522
G02-D01-restore-L28-mlp	G02	synthetic-G02-D02	synthetic-G02-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	-3.8013622760772705	无	damage	22.627416997969522
G02-D01-restore-joint	G02	synthetic-G02-D02	synthetic-G02-D01	restore-joint	-0.6792386770248413	2.5267831087112427	-2.5267831087112427	有	unchanged	22.627416997969522
G02-D01-preceding	G02	synthetic-G02-D02	synthetic-G02-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	22.627416997969522
G02-D02-upstream	G02	synthetic-G02-D01	synthetic-G02-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	22.627416997969522
G02-D02-restore-L26-attention	G02	synthetic-G02-D01	synthetic-G02-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	3.4836385250091553	有	repair	22.627416997969522
G02-D02-restore-L28-mlp	G02	synthetic-G02-D01	synthetic-G02-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	3.8013622760772705	有	repair	22.627416997969522
G02-D02-restore-joint	G02	synthetic-G02-D01	synthetic-G02-D02	restore-joint	0.6792386770248413	-2.5267831087112427	2.5267831087112427	无	unchanged	22.627416997969522
G02-D02-preceding	G02	synthetic-G02-D01	synthetic-G02-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	22.627416997969522
G03-D01-upstream	G03	synthetic-G03-D02	synthetic-G03-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	22.627416997969522
G03-D01-restore-L26-attention	G03	synthetic-G03-D02	synthetic-G03-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	3.4836385250091553	无	repair	22.627416997969522
G03-D01-restore-L28-mlp	G03	synthetic-G03-D02	synthetic-G03-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	3.8013622760772705	无	repair	22.627416997969522
G03-D01-restore-joint	G03	synthetic-G03-D02	synthetic-G03-D01	restore-joint	-0.6792386770248413	2.5267831087112427	2.5267831087112427	有	unchanged	22.627416997969522
G03-D01-preceding	G03	synthetic-G03-D02	synthetic-G03-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	22.627416997969522
G03-D02-upstream	G03	synthetic-G03-D01	synthetic-G03-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	22.627416997969522
G03-D02-restore-L26-attention	G03	synthetic-G03-D01	synthetic-G03-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	-3.4836385250091553	有	damage	22.627416997969522
G03-D02-restore-L28-mlp	G03	synthetic-G03-D01	synthetic-G03-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	-3.8013622760772705	有	damage	22.627416997969522
G03-D02-restore-joint	G03	synthetic-G03-D01	synthetic-G03-D02	restore-joint	0.6792386770248413	-2.5267831087112427	-2.5267831087112427	无	unchanged	22.627416997969522
G03-D02-preceding	G03	synthetic-G03-D01	synthetic-G03-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	22.627416997969522
G04-D01-upstream	G04	synthetic-G04-D02	synthetic-G04-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	22.627416997969522
G04-D01-restore-L26-attention	G04	synthetic-G04-D02	synthetic-G04-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	-3.4836385250091553	无	damage	22.627416997969522
G04-D01-restore-L28-mlp	G04	synthetic-G04-D02	synthetic-G04-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	-3.8013622760772705	无	damage	22.627416997969522
G04-D01-restore-joint	G04	synthetic-G04-D02	synthetic-G04-D01	restore-joint	-0.6792386770248413	2.5267831087112427	-2.5267831087112427	有	unchanged	22.627416997969522
G04-D01-preceding	G04	synthetic-G04-D02	synthetic-G04-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	22.627416997969522
G04-D02-upstream	G04	synthetic-G04-D01	synthetic-G04-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	22.627416997969522
G04-D02-restore-L26-attention	G04	synthetic-G04-D01	synthetic-G04-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	3.4836385250091553	有	repair	22.627416997969522
G04-D02-restore-L28-mlp	G04	synthetic-G04-D01	synthetic-G04-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	3.8013622760772705	有	repair	22.627416997969522
G04-D02-restore-joint	G04	synthetic-G04-D01	synthetic-G04-D02	restore-joint	0.6792386770248413	-2.5267831087112427	2.5267831087112427	无	unchanged	22.627416997969522
G04-D02-preceding	G04	synthetic-G04-D01	synthetic-G04-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	22.627416997969522
B01-D01-upstream	B01	synthetic-B01-D02	synthetic-B01-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	22.627416997969522
B01-D01-restore-L26-attention	B01	synthetic-B01-D02	synthetic-B01-D01	restore-L26-attention	0.2776167392730713	3.4836385250091553	3.4836385250091553	无	repair	22.627416997969522
B01-D01-restore-L28-mlp	B01	synthetic-B01-D02	synthetic-B01-D01	restore-L28-mlp	0.5953404903411865	3.8013622760772705	3.8013622760772705	无	repair	22.627416997969522
B01-D01-restore-joint	B01	synthetic-B01-D02	synthetic-B01-D01	restore-joint	-0.6792386770248413	2.5267831087112427	2.5267831087112427	有	unchanged	22.627416997969522
B01-D01-preceding	B01	synthetic-B01-D02	synthetic-B01-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	22.627416997969522
B01-D02-upstream	B01	synthetic-B01-D01	synthetic-B01-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	22.627416997969522
B01-D02-restore-L26-attention	B01	synthetic-B01-D01	synthetic-B01-D02	restore-L26-attention	-0.2776167392730713	-3.4836385250091553	-3.4836385250091553	有	damage	22.627416997969522
B01-D02-restore-L28-mlp	B01	synthetic-B01-D01	synthetic-B01-D02	restore-L28-mlp	-0.5953404903411865	-3.8013622760772705	-3.8013622760772705	有	damage	22.627416997969522
B01-D02-restore-joint	B01	synthetic-B01-D01	synthetic-B01-D02	restore-joint	0.6792386770248413	-2.5267831087112427	-2.5267831087112427	无	unchanged	22.627416997969522
B01-D02-preceding	B01	synthetic-B01-D01	synthetic-B01-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	22.627416997969522
